MARCA_ITV,COUNT
"ACURA",1
"APRILIA",46
"BENELLI",8
"BETA",68
"BMW",575
"DAELIM",97
"DERBI",10
"DUCATI",85
"GAS-GAS",10
"GENERIC",11
"GUZZI-HISPANIA",1
"HANWAY",53
"HARLEY DAVIDSON",102
"HM",1
"HMC",1
"HONDA",1321
"HUSQVARNA",103
"HYOSUNG",36
"IMOTO",1
"INDIAN MOTORCYCLE",19
"JTG",2
"KAWASAKI",417
"KEEWAY",138
"KENROD",6
"KTM",360
"KYMCO",991
"LEONART",3
"LIFAN",7
"LML",30
"LUCLA",1
"MASH",37
"MBK",2
"MONKEY BIKES",2
"MONSTERPRO",2
"MONTESA",46
"MOTO GUZZI",18
"MOTOR HISPANIA",1
"MV AGUSTA",14
"NO STOCK BIKES",2
"PEUGEOT",152
"PIAGGIO",624
"PIONEER",1
"RIDE",14
"RIEJU",58
"RIYA",30
"ROYAL ENFIELD",20
"S.Y.M",328
"SANYOU",5
"SCOMADI",20
"SHERCO",51
"SKY TEAM",1
"SUMCO",5
"SUZUKI",313
"TGB",4
"TRIUMPH",118
"VICTORY MOTOR DIVISION",2
"WANGYE",1
"YAMAHA",1299
"YIYING",2
