MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","Alicante/Alacant","Comunidad Valenciana","600",2
"AJP","AJP PR7","Barcelona","Cataluña","600",11
"AJP","AJP PR7","Bizkaia","País Vasco","600",1
"AJP","AJP PR7","Burgos","Castilla y León","600",1
"AJP","AJP PR7","Cádiz","Andalucía","600",1
"AJP","AJP PR7","Ciudad Real","Castilla-La Mancha","600",2
"AJP","AJP PR7","Córdoba","Andalucía","600",1
"AJP","AJP PR7","Gipuzkoa","País Vasco","600",1
"AJP","AJP PR7","Girona","Cataluña","600",2
"AJP","AJP PR7","Granada","Andalucía","600",1
"AJP","AJP PR7","Guadalajara","Castilla-La Mancha","600",2
"AJP","AJP PR7","Huelva","Andalucía","600",1
"AJP","AJP PR7","Huesca","Aragón","600",2
"AJP","AJP PR7","Illes Balears","Illes Balears","600",3
"AJP","AJP PR7","Jaén","Andalucía","600",1
"AJP","AJP PR7","Madrid","Comunidad de Madrid","600",4
"AJP","AJP PR7","Málaga","Andalucía","600",3
"AJP","AJP PR7","Navarra","Comunidad Foral de Navarra","600",1
"AJP","AJP PR7","Palmas (Las)","Canarias","600",1
"AJP","AJP PR7","Pontevedra","Galicia","600",1
"AJP","AJP PR7","Salamanca","Castilla y León","600",1
"AJP","AJP PR7","Sevilla","Andalucía","600",5
"AJP","AJP PR7","Tarragona","Cataluña","600",1
"AJP","AJP PR7","Zaragoza","Aragón","600",1
"AJP","SPR 125 ENDURO","Madrid","Comunidad de Madrid","124",1
"AJP","SPR 125 ENDURO","Palmas (Las)","Canarias","124",1
"AJP","SPR 125 SUPERMOTO","Palmas (Las)","Canarias","124",1
"AJP","SPR 510 ENDURO","Bizkaia","País Vasco","501",1
"AJP","SPR 510 ENDURO","Ciudad Real","Castilla-La Mancha","501",1
"ALPINA DI RENANIA","STRADA 125CC","Barcelona","Cataluña","125",5
"ALPINA DI RENANIA","STRADA 125CC","Girona","Cataluña","125",2
"ALPINA DI RENANIA","STRADA 125CC","Lleida","Cataluña","125",1
"ANDES","U3 (125)","Cantabria","Cantabria","124",1
"ANDES","U3 (125)","Madrid","Comunidad de Madrid","124",1
"ANDES","U3 (125)","Pontevedra","Galicia","124",1
