MARCA_ITV,COUNT
"AJP",27
"ALPINA DI RENANIA",4
"ANDES",3
"APRILIA",758
"ARIIC",5
"BAJAJ",183
"BENDA",264
"BENELLI",184
"BETA",292
"BMW",2998
"BRIXTON",19
"BSA",48
"CFMOTO",802
"CYCLONE",297
"DAYANG",5
"DUCATI",509
"EFUN",65
"F.B MONDIAL",7
"FANTIC MOTOR",46
"GASGAS",74
"GUSITE",4
"HANWAY",2
"HARLEY-DAVIDSON",154
"HERO MOTOCORP",117
"HONDA",11683
"HUSQVARNA",277
"HYOSUNG",3
"INDIAN",78
"ITALJET",63
"JIAJUE",5
"KAWASAKI",2059
"KEEWAY",520
"KOVE",503
"KTM",1373
"KYMCO",2416
"LAMBRETTA",52
"LEONART",27
"LETBE",124
"LINHAI",9
"MACBOR",471
"MALAGUTI",18
"MALCOR IBERICA",6
"MBP",8
"MH MOTORCYCLES",271
"MITT",454
"MONDIAL",7
"MONTESA",42
"MORBIDELLI",234
"MOTO GUZZI",71
"MOTO MORINI",230
"MOTORBIKE",1
"MOTRON MOTORRAD",5
"MTR BIKES",6
"MUSATTI",1
"MV AGUSTA",41
"NEXT",88
"NO STOCK BIKES",1
"ORCAL",1
"PEUGEOT",376
"PIAGGIO",1195
"QJMOTOR",1654
"REDMOTO",23
"RIEJU",1399
"ROYAL ALLOY",7
"ROYAL ENFIELD",365
"SCORPA",5
"SHERCO",173
"SKY TEAM",3
"SUZUKI",817
"SWM",20
"SYM",2320
"TM MOTO",8
"TM RACING",1
"TRIUMPH",746
"TRS",81
"UM",20
"VENT S.R.L.",21
"VERTIGO MOTORS",3
"VESPA",1
"VOGE",5648
"WOTTAN",190
"YAMAHA",7778
"ZNEN",18
"ZONTES",5085
