MARCA_ITV,MODELO_ITV,KW_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,COUNT
"ARENA","VORTEX","4.00","L3e",1
"BMW","CE 02","6.00","L3e",2
"BMW","CE 04","15.00","L3e",3
"BMW","CE04","11.00","L3e",1
"CECOTEC","CECOTEC SHARK RS","3.00","L3e",1
"CECOTEC","VULCANO","6.00","L3e",2
"E RIDE PRO","SS 3.0","6.00","L3e",1
"E-BROH","BRAVO CR","5.00","L3e",1
"E-BROH","BRAVO GLE","5.00","L3e",1
"E-BROH","BRAVO GLS","5.00","L3e",1
"E-BROH","VERACRUZ","4.70","L3e",1
"E-ZI","GOCCIA GEV3000","3.00","L3e",1
"EFUN","LION","11.00","L3e",20
"EFUN","PUSA90","5.50","L3e",9
"EFUN","TIGER 100","7.10","L3e",1
"FANTIC MOTOR","--","3.00","L3e",1
"FELQ","FW03","3.00","L3e",1
"FELQ","FW07","5.00","L3e",1
"HONDA","EVP4","4.20","L3e",4
"HORWIN","F80","4.30","L3e",2
"JNEN","MODEL 1","3.50","L3e",2
"NEXT","MOJITO","3.50","L3e",3
"NEXT","OVEGA","10.00","L3e",3
"NIU","NQIX 300","5.00","L3e",1
"NIU","RQI SPORT","7.50","L3e",2
"NWOW","RIDER-X","8.00","L3e",1
"PIAGGIO","PIAGGIO 1","2.00","L3e",4
"PURSANG","E-TRACK","8.00","L3e",1
"RAY ELECTRIC MOTORS","RAY 7.7","11.00","L3e",5
"RIEJU","RAY7.7","11.00","L3e",1
"SEGWAY","--","7.80","L3e",4
"SEGWAY","E250S","5.00","L3e",5
"SILENCE","S01+","7.50","L3e",8
"SILENCE","S01","7.00","L3e",45
"SILENCE","S02","4.00","L3e",2
"SILENCE","S02","7.00","L3e",8
"SILENCE","SEAT MÓ ESCOOTER 125","7.00","L3e",3
"STARK","STARK VARG","9.00","L3e",8
"STARK","VARG","9.00","L3e",30
"SUPER SOCO","CPX","4.00","L3e",1
"SURRON","ULTRA BEE","6.00","L3e",2
"ULTRAVIOLETTE AUTOMOTIVE PRIVA","F77 MACH 2 RECON","9.50","L3e",2
"ULTRAVIOLETTE AUTOMOTIVE PRIVA","F77 SUPERSTREET RECON","9.50","L3e",4
"VELCA","CALIMA S","5.15","L3e",1
"VELCA","CALIMA","4.00","L3e",1
"VELCA","DP01","6.30","L3e",2
"VELCA","DP03","9.50","L3e",1
"VELCA","EON","11.00","L3e",10
"VELCA","JSQ1","8.00","L3e",1
"VELCA","ONE","7.00","L3e",15
"VELCA","TRAMONTANA S","4.68","L3e",1
"VELCA","VORTEX","8.00","L3e",2
"YASAN MOTOR","E-BEE","4.00","L3e",1
"ZERO MOTORCYCLES","DS 14.4","11.00","L3e",1
"ZERO MOTORCYCLES","DS 15.6","11.00","L3e",3
"ZERO MOTORCYCLES","DSR 15.6","33.00","L3e",1
"ZERO MOTORCYCLES","DSR/X","36.00","L3e",1
"ZERO MOTORCYCLES","S 14.4","11.00","L3e",1
"ZERO MOTORCYCLES","S 15.6","11.00","L3e",1
"ZERO MOTORCYCLES","ZERO MOTORCYCLE XE","6.00","L3e",1
"ZXMCO","WIZY GT-E","3.00","L3e",2
