MARCA_ITV,COUNT
"ABENDAÑO",7
"AJP",1
"APRILIA",104
"ASIAWING",1
"BENELLI",339
"BETA",108
"BMW",1228
"BRIXTON",88
"CF MOTO",19
"DAELIM",72
"DAYANG",6
"DUCATI",192
"E-BROH",3
"EZNEN",1
"FANTIC MOTOR",5
"FKMOTORS",7
"GASGAS",126
"GOES",45
"HANWAY",29
"HARLEY-DAVIDSON",74
"HONDA",2972
"HUSQVARNA",204
"HYOSUNG",40
"INDIAN",39
"KANDI MX",2
"KAWASAKI",727
"KEEWAY",251
"KSR MOTO",23
"KTM",687
"KYMCO",945
"LAMBRETTA",19
"LEIHU",1
"LEONART",6
"LONCIN",9
"MACBOR",298
"MALAGUTI",37
"MALCOR",5
"MASH",12
"MH MOTORCYCLES",41
"MITT",76
"MONDIAL",16
"MONKEY BIKES",2
"MONTESA",20
"MOTO GUZZI",69
"MOTORBIKE",2
"MUTT",5
"MV AGUSTA",13
"NO STOCK BIKES",1
"ORCAL",24
"PEUGEOT",269
"PIAGGIO",854
"PIONEER",2
"REDMOTO",2
"RIEJU",138
"ROYAL ENFIELD",55
"SHERCO",75
"SUMCO",10
"SUZUKI",338
"SWM",18
"SYM",565
"TIANDA",7
"TIANYING",3
"TM RACING",1
"TRIUMPH",219
"TRS",37
"UM",109
"VERTIGO MOTORS",8
"VOGE",68
"WOTTAN",185
"YAMAHA",2127
"ZNEN",6
"ZONTES",328
