MARCA_ITV,COUNT
"ADLYMOTO",1
"AEON",19
"AGM",1
"AIYUMO",3
"ALPINA",1
"APRILIA",952
"BENELLI",127
"BETA",488
"BMW",7425
"BMW I",1
"CF MOTO",7
"DAELIM",1622
"DERBI",245
"DUCATI",1266
"GASGAS",242
"GENERIC",151
"GILERA",1
"GOES",6
"GUZZI",274
"HANGLONG",4
"HANWAY",747
"HARLEY-DAVIDSON",1603
"HDK",1
"HM",11
"HONDA",19943
"HUSABERG",1
"HUSQVARNA-CAGIVA",674
"HYOSUNG",249
"IMOTO",4
"INDIAN",32
"JONWAY",34
"JTG",16
"KAWASAKI",4817
"KEEWAY",2938
"KENROD",92
"KTM",2479
"KYMCO",17105
"LAMBRETTA",12
"LEONART",28
"LIFAN",75
"LML",366
"LUCLA",3
"MASH",470
"MBK",56
"MINELLI",1
"MINIMOTO",10
"MONKEY BIKES",71
"MONSTERPRO",7
"MONTESA",96
"MOTOR HISPANIA",15
"MOTRAC",38
"MTR",4
"MV AGUSTA",145
"NO STOCK BIKES",4
"OSSA",10
"PEUGEOT",3370
"PGO",6
"PIAGGIO",11627
"PIONEER",6
"POLARIS",2
"QINGQI",3
"RIDE",409
"RIEJU",941
"RIYA",375
"ROYAL ENFIELD",147
"SAMADA",1
"SANYOU",114
"SCOMADI",129
"SCORPA",1
"SHERCO",345
"SKY TEAM",12
"SUMCO",97
"SUZUKI",6681
"SYM",6555
"TGB",195
"TNT MOTOR",5
"TRIUMPH",1693
"TURBHO",12
"VESPA",4
"VICTORY MOTOR",3
"WANGYE",1
"WILDLANDER",7
"YAMAHA",17232
"YIBEN",9
"YIYING",85
"ZETHS",1
"ZHENHUA",9
"ZNEN",52
