MARCA_ITV,COUNT
"ACURA",17
"AEON",7
"APRILIA",739
"BENELLI",239
"BETA",594
"BMW",9406
"BMW I",3
"BRIXTON",7
"CF MOTO",5
"CSR",1
"DAELIM",1716
"DERBI",215
"DUCATI",1721
"FOSTI",1
"GASGAS",409
"GENERIC",139
"GILERA",19
"GOES",32
"GUZZI",2
"HANGLONG",2
"HANWAY",1228
"HARLEY-DAVIDSON",1912
"HM",60
"HMC",1
"HONDA",24276
"HUDSON BOSS",51
"HUSQVARNA",1094
"HYOSUNG",724
"IMOTO",3
"INDIAN",150
"INNOCENTI",1
"JONWAY",14
"JTG",13
"KAWASAKI",8248
"KEEWAY",3847
"KENROD",103
"KINROAD",1
"KSR MOTO",15
"KTM",4592
"KYMCO",20589
"LAMBRETTA",4
"LEONART",22
"LIFAN",112
"LINTEX",22
"LML",341
"LUCLA",4
"MASH",598
"MBK",28
"MH MOTORCYCLES",76
"MONKEY BIKES",47
"MONSTERPRO",10
"MONTESA",261
"MOTO GUZZI",358
"MOTO SPA",1
"MOTOR HISPANIA",4
"MTR",6
"MV AGUSTA",134
"MX",7
"NO STOCK BIKES",4
"ORCAL",51
"OSSA",7
"OVERBIKES",1
"PEUGEOT",5289
"PGO",4
"PIAGGIO",13174
"PIONEER",6
"QINGQI",1
"RIDE",325
"RIEJU",791
"RIYA",518
"ROYAL ENFIELD",322
"SANYOU",96
"SCOMADI",454
"SCORPA",16
"SCUTUM",31
"SHERCO",492
"SKY TEAM",45
"SLINGSHOT",1
"SUMCO",76
"SUZUKI",7381
"SWM",10
"SYM",8234
"TGB",118
"TIANYING",2
"TM RACING",1
"TNT MOTOR",15
"TRIUMPH",2172
"TRS",47
"TURBHO",4
"VERTIGO MOTORS",56
"VICTORY MOTOR",87
"WANGYE",1
"WOTTAN",14
"YAMAHA",21167
"YIBEN",7
"YIYING",8
"ZERO MOTORCYCLES",3
"ZHENHUA",15
"ZNEN",41
