MARCA_ITV,COUNT
"ADLYMOTO",2
"AEON",1
"AIYUMO",5
"AJP",16
"APRILIA",729
"ARIIC",13
"ASIAWING",3
"BENELLI",3369
"BETA",662
"BMW",12612
"BRIXTON",554
"BULLIT",15
"CC",1
"CF MOTO",80
"DAELIM",1179
"DERBI",1
"DUCATI",2710
"EFUN",298
"EZNEN",1
"FANTIC MOTOR",38
"FKMOTORS",5
"FOXI",8
"GAS-GAS",321
"GOES",875
"HANWAY",478
"HARLEY DAVIDSON",1852
"HARTFORD",2
"HONDA",36207
"HUDSON BOSS",1
"HUSQVARNA",1855
"HYOSUNG",177
"INDIAN",2
"INDIAN MOTORCYCLE",339
"JNEN",28
"JTG",3
"KANDI MX",39
"KAWASAKI",8732
"KEEWAY",2749
"KENROD",21
"KSR MOTO",13
"KSR MOTO AUSTRIA",322
"KTM",6167
"KYMCO",18607
"LAMBRETTA",159
"LEONART",100
"LEXMOTO",23
"LIFAN",1
"LML",1
"LONCIN",35
"MACBOR",2040
"MALAGUTI",163
"MALCOR",79
"MASH",333
"MBK",1
"MESSERSCHMITT",49
"MH MOTORCYCLES",325
"MONDIAL",495
"MONKEY BIKES",45
"MONTESA",176
"MOTO GUZZI",557
"MOTO SPA",15
"MOTORBIKE",8
"MUTTI",10
"MV AGUSTA",87
"MX",1
"NO STOCK BIKES",2
"NOOMA",7
"NORTON",2
"ORCAL",40
"PEUGEOT",2583
"PIAGGIO",11759
"PIONEER",24
"RIDE",1
"RIEJU",900
"RIYA",160
"ROYAL ALLOY",41
"ROYAL ENFIELD",947
"S.Y.M",8444
"SANBEN",35
"SCOMADI",99
"SCORPA",5
"SHERCO",545
"SIN MARCA",4
"SKY TEAM",34
"SUMCO",266
"SUZUKI",6175
"SWM",172
"TARO",8
"TIANDA",54
"TIANYING",12
"TM RACING",20
"TNT MOTOR",1
"TRIUMPH",2353
"TRS",220
"UM",459
"VARIO",5
"VENT SRL",17
"VERTIGO MOTORS",88
"VICTORY MOTOR DIVISION",1
"WANGYE",19
"WOTTAN",1708
"YAMAHA",25219
"YINGANG",3
"ZHENHUA",9
"ZNEN",7
"ZONTES",470
