MARCA_ITV,COUNT
"ACURA",1
"AEON",1
"AIYUMO",1
"AJP",1
"APRILIA",462
"ASIAWING",2
"BENELLI",1348
"BETA",672
"BMW",10378
"BMW I",1
"BRIXTON",221
"CC",3
"CF MOTO",12
"COLIBRI",8
"DAELIM",1292
"DERBI",103
"DUCATI",2277
"GAS-GAS",627
"GENERIC",26
"GILERA",3
"GOES",270
"GUZZI",1
"GUZZI-HISPANIA",1
"HANWAY",798
"HARLEY DAVIDSON",2008
"HM",133
"HONDA",28244
"HUDSON BOSS",29
"HUSQVARNA",947
"HYOSUNG",239
"INDIAN MOTORCYCLE",199
"JIA JUE",6
"JONWAY",22
"JTG",1
"KAWASAKI",6549
"KEEWAY",2746
"KENROD",26
"KSR MOTO",42
"KSR MOTO AUSTRIA",62
"KTM",4211
"KYMCO",15165
"LAMBRETTA",1
"LEONART",52
"LIFAN",54
"LINHAI",2
"LINTEX",68
"LML",111
"MACBOR",188
"MASH",641
"MBK",1
"MH MOTORCYCLES",436
"MONDIAL",377
"MONKEY BIKES",24
"MONSTERPRO",9
"MONTESA",175
"MOTO GUZZI",307
"MOTO SPA",5
"MTR",1
"MV AGUSTA",107
"MX",21
"NO STOCK BIKES",2
"NORTON",2
"ORCAL",14
"OSSA",6
"OVERBIKES",2
"PEUGEOT",2555
"PGO",1
"PIAGGIO",10524
"PIONEER",1
"POLARIS",1
"QINGQI",1
"RIDE",207
"RIEJU",720
"RIYA",460
"ROYAL ENFIELD",370
"S.Y.M",6724
"SANYOU",139
"SCOMADI",273
"SCORPA",6
"SCUTUM",2
"SHERCO",436
"SKY TEAM",25
"SUMCO",89
"SUPER",3
"SUZUKI",4846
"SWM",43
"TGB",113
"TIANDA",16
"TIANYING",1
"TM RACING",1
"TORROT",1
"TRIUMPH",2221
"TRS",84
"TRUEBA",1
"UM",112
"VERTIGO MOTORS",37
"VICTORY MOTOR DIVISION",19
"VICTORY MOTORCYCLES",2
"VICTORY MOTORCYCLES DIV",15
"WOTTAN",602
"YAMAHA",21982
"YIYING",33
"ZHENHUA",10
"ZHENUA",1
"ZNEN",24
