MARCA_ITV,COUNT
"APRILIA",44
"BENELLI",119
"BETA",25
"BMW",602
"BRIXTON",24
"COLIBRI",1
"DAELIM",96
"DUCATI",113
"GAS-GAS",45
"GENERIC",2
"GOES",34
"HANWAY",68
"HARLEY DAVIDSON",115
"HM",14
"HONDA",2243
"HUDSON BOSS",4
"HUSQVARNA",82
"HYOSUNG",12
"INDIAN MOTORCYCLE",8
"KAWASAKI",482
"KEEWAY",261
"KSR MOTO",1
"KSR MOTO AUSTRIA",5
"KTM",394
"KYMCO",1238
"LEONART",14
"LINTEX",8
"LML",7
"MACBOR",23
"MASH",60
"MH MOTORCYCLES",56
"MONDIAL",41
"MONTESA",6
"MOTO GUZZI",18
"MTR",1
"MV AGUSTA",14
"MX",3
"NO STOCK BIKES",1
"ORCAL",3
"PEUGEOT",185
"PIAGGIO",755
"RIDE",5
"RIEJU",59
"RIYA",44
"ROYAL ENFIELD",18
"S.Y.M",668
"SCOMADI",35
"SCUTUM",1
"SHERCO",22
"SKY TEAM",2
"SUMCO",13
"SUZUKI",310
"SWM",2
"TGB",10
"TIANDA",2
"TRIUMPH",132
"TRS",4
"UM",21
"VERTIGO MOTORS",1
"WOTTAN",109
"YAMAHA",1707
"ZHENHUA",1
"ZNEN",2
