MARCA_ITV,COUNT
"ABENDAÑO",34
"AJP",67
"ANDES",1
"APRILIA",1138
"ARIIC",37
"ASIAWING",1
"BAYE",NaN
"BENELLI",2941
"BETA",867
"BMW",11962
"BRIXTON",902
"BULLIT",6
"CC",2
"CF MOTO",129
"CFMOTO",121
"CITROEN",1
"DAELIM",422
"DAYANG",44
"DUCATI",2394
"E-BROH",15
"EFUN",70
"EZNEN",15
"FANTIC MOTOR",108
"FKMOTORS",68
"GASGAS",1110
"GOES",329
"GUZZI",2
"HANWAY",386
"HARLEY-DAVIDSON",999
"HMC",1
"HONDA",36284
"HUSQVARNA",1497
"HYOSUNG",403
"INDIAN",407
"KANDI MX",26
"KAWASAKI",7049
"KEEWAY",2544
"KSR MOTO",206
"KTM",5925
"KYMCO",10552
"LAMBRETTA",265
"LEIHU",18
"LEONART",96
"LEXMOTO",4
"LINHAI",10
"LONCIN",32
"MACBOR",2767
"MALAGUTI",240
"MALCOR",99
"MALCOR IBERICA",9
"MASH",136
"MESSERSCHMITT",81
"MH MOTORCYCLES",392
"MITT",1079
"MONDIAL",298
"MONKEY BIKES",29
"MONTESA",119
"MOTO GUZZI",731
"MOTOHAPPY",3
"MOTORBIKE",7
"MOTOVESPA",2
"MOTRON MOTORRAD",292
"MUTT",127
"MUTTI",11
"MV AGUSTA",129
"MX",16
"NO STOCK BIKES",2
"NORTON",2
"ORCAL",319
"PEUGEOT",2656
"PIAGGIO",11221
"PIONEER",22
"QINGQI",1
"REDMOTO",27
"RIEJU",938
"RIYA",8
"ROYAL ALLOY",10
"ROYAL ENFIELD",1108
"SCOMADI",1
"SCORPA",4
"SHERCO",624
"SKY TEAM",1
"SUMCO",169
"SUZUKI",2555
"SWM",145
"SYM",8487
"TIANDA",22
"TIANYING",50
"TIBSA",2
"TM RACING",55
"TRIUMPH",2363
"TRS",283
"UM",1125
"VARIO",1
"VENT S.R.L.",1
"VENT SRL",3
"VERTIGO MOTORS",79
"VOGE",610
"WANGYE",15
"WOTTAN",1691
"YAMAHA",23918
"ZNEN",7
"ZONTES",3685
"ZUNDAPP",1
