MARCA_ITV,COUNT
"AJP",21
"ALPINA DI RENANIA",3
"APRILIA",428
"ARIIC",33
"BENDA",31
"BENELLI",245
"BETA",58
"BMW",1010
"BRIXTON",36
"BSA",3
"BULLIT",1
"CFMOTO",234
"DAELIM",19
"DUCATI",177
"EFUN",12
"FANTIC MOTOR",56
"GAS GAS",2
"GASGAS",61
"HANWAY",30
"HARLEY-DAVIDSON",79
"HONDA",5278
"HUSQVARNA",178
"HYOSUNG",10
"INDIAN MOTORCYCLE",33
"ITALJET",1
"JONWAY",1
"KAWASAKI",910
"KEEWAY",347
"KL",7
"KOVE",36
"KTM",605
"KYMCO",1373
"LAMBRETTA",27
"LEONART",11
"LINHAI",26
"MACBOR",122
"MALAGUTI",5
"MALCOR IBERICA",9
"MBP",15
"MH MOTORCYCLES",151
"MITT",258
"MONDIAL",14
"MONKEY BIKES",8
"MONTESA",2
"MOTO GUZZI",56
"MOTO MORINI",32
"MOTRON MOTORRAD",12
"MTR BIKES",6
"MUTT",20
"MV AGUSTA",23
"ORCAL",18
"PEUGEOT",247
"PIAGGIO",1039
"QJMOTOR",327
"REDMOTO",8
"RIEJU",157
"RIYA",2
"ROYAL ALLOY",2
"ROYAL ENFIELD",159
"SCORPA",1
"SHERCO",65
"SUMCO",1
"SUZUKI",380
"SWM",12
"SYM",1351
"TM RACING",2
"TRIUMPH",335
"TRS",13
"UM",84
"VERTIGO MOTORS",5
"VOGE",759
"WOTTAN",91
"WOTTAN MOTOR",13
"YAMAHA",3576
"ZONTES",1169
