MARCA_ITV,COUNT
"AJP",139
"ALPINA DI RENANIA",8
"ANDES",36
"APRILIA",2838
"ARIIC",123
"ASIAWING",2
"BAJAJ",652
"BENDA",752
"BENELLI",1196
"BETA",759
"BMW",13500
"BRIXTON",106
"BSA",21
"CFMOTO",1508
"CYCLONE",841
"DAELIM",8
"DAYANG",8
"DUCATI",2258
"EFUN",147
"F.B MONDIAL",51
"FANTIC MOTOR",320
"GASGAS",242
"GUZZI",1
"HANWAY",6
"HARLEY-DAVIDSON",787
"HERO",23
"HERO MOTOCORP",59
"HONDA",53925
"HUSQVARNA",839
"HYOSUNG",105
"INDIAN",328
"ITALJET",47
"JIAJUE",3
"KAWASAKI",8790
"KEEWAY",2484
"KL",1
"KL SERVICE",2
"KOVE",1051
"KTM",3118
"KYMCO",13706
"LAMBRETTA",381
"LEONART",146
"LETBE",262
"LINHAI",94
"MACBOR",2136
"MALAGUTI",49
"MALCOR IBERICA",58
"MASH",3
"MBP",269
"MH MOTORCYCLES",1380
"MITT",2335
"MONDIAL",185
"MONKEY BIKES",20
"MONTESA",88
"MORBIDELLI",1150
"MOTO GUZZI",431
"MOTO MORINI",200
"MOTORBIKE",4
"MOTRON MOTORRAD",62
"MTR BIKES",27
"MUTT",19
"MV AGUSTA",181
"MX",1
"NEXT",189
"ORCAL",29
"PEUGEOT",2000
"PIAGGIO",6733
"QJMOTOR",6804
"REDMOTO",71
"REGAL-RAPTOR",2
"RIEJU",1858
"RIYA",1
"ROYAL ALLOY",20
"ROYAL ENFIELD",1688
"SCORPA",9
"SHERCO",431
"SKY TEAM",1
"SUMCO",2
"SUZUKI",2175
"SWM",235
"SYM",12617
"TM MOTO",27
"TM RACING",3
"TRIUMPH",3674
"TRS",131
"UM",256
"URAL",1
"VENT",2
"VENT S.R.L.",7
"VENT SRL",1
"VERTIGO MOTORS",22
"VESPA",1
"VM RACING",1
"VOGE",17201
"VORTEX",1
"WOTTAN",1354
"YAMAHA",35347
"ZNEN",25
"ZONTES",20139
