MARCA_ITV,COUNT
"APRILIA",47
"ARIIC",3
"BENELLI",215
"BETA",56
"BMW",972
"BRIXTON",41
"BULLIT",1
"CF MOTO",5
"DAELIM",70
"DUCATI",195
"EFUN",18
"FANTIC MOTOR",7
"GASGAS",8
"GOES",34
"HANWAY",29
"HARLEY-DAVIDSON",95
"HONDA",2124
"HUSQVARNA",122
"HYOSUNG",5
"INDIAN",13
"KANDI MX",1
"KAWASAKI",499
"KEEWAY",149
"KSR MOTO",15
"KTM",487
"KYMCO",1010
"LAMBRETTA",5
"LEONART",7
"LONCIN",7
"MACBOR",145
"MALAGUTI",16
"MALCOR",6
"MASH",31
"MESSERSCHMITT",8
"MH MOTORCYCLES",14
"MONDIAL",17
"MONKEY BIKES",3
"MONTESA",18
"MOTO GUZZI",28
"MOTO SPA",1
"MUTTI",3
"MV AGUSTA",4
"ORCAL",5
"PEUGEOT",159
"PIAGGIO",683
"PIONEER",2
"RIEJU",43
"RIYA",3
"ROYAL ALLOY",1
"ROYAL ENFIELD",62
"SANBEN",1
"SCOMADI",1
"SHERCO",56
"SUMCO",16
"SUZUKI",339
"SWM",12
"SYM",445
"TIANDA",2
"TIANYING",1
"TM RACING",4
"TRIUMPH",129
"TRS",18
"UM",17
"VERTIGO MOTORS",3
"WOTTAN",108
"YAMAHA",1467
"ZONTES",24
