MARCA_ITV,MODELO_ITV,KW_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,COUNT
"ARENA","R30","3.20","L3e",2
"BMW","CE 02","6.00","L3e",3
"BMW","CE 04","11.00","L3e",1
"BMW","CE04","15.00","L3e",5
"CECOTEC","CECOTEC SHARK RS","3.00","L3e",1
"CECOTEC","VULCANO","6.00","L3e",5
"E-BROH","BRAVO GLE","5.00","L3e",2
"EFUN","PUMA","9.90","L3e",8
"EFUN","PUSA90","5.50","L3e",10
"FELQ","FW06","5.00","L3e",1
"HORWIN","HORWIN SK3","4.00","L3e",1
"HORWIN","SK3","4.00","L3e",1
"LIVEWIRE","S2 ALPINISTA","30.00","L3e",1
"LIVEWIRE","S2 MULHOLLAND","30.00","L3e",1
"LVNENG","LX08MAX","4.00","L3e",147
"LVNENG","NCS S","4.65","L3e",10
"NEXTELECTRICMOTORS","NX PLUS","4.00","L3e",5
"NEXTELECTRICMOTORS","OVEGA","10.00","L3e",1
"NEXT","MOJITO","3.50","L3e",7
"NEXT","OVEGA","10.00","L3e",2
"NIU","MQI GT L3 4KWH EXTENDI","3.10","L3e",2
"NIU","NQI GTS SPORTL3 3,2KWH","4.60","L3e",3
"NUUK","ZICLYK","3.50","L3e",1
"NWOW","NWOW-02A","6.80","L3e",1
"OXWIN","ES1 PRO","5.00","L3e",2
"PIAGGIO","PIAGGIO 1","2.00","L3e",4
"QJMOTOR","G3","3.50","L3e",1
"QUAZZAR","E-DIVINE PLUS","4.00","L3e",1
"SAKURA","JS2A","4.00","L3e",2
"SEGWAY","--","7.80","L3e",4
"SILENCE","S01+","7.50","L3e",9
"SILENCE","S01","7.00","L3e",24
"SILENCE","S02","7.00","L3e",6
"SILENCE","SEAT MÓ ESCOOTER 125","7.00","L3e",25
"SUPER SOCO","CPX","4.00","L3e",2
"SUPER SOCO","CPXPRO","4.00","L3e",1
"SWAPPER","TWO+","4.70","L3e",1
"SWAPPER","X+","3.00","L3e",3
"ULTRAVIOLETTE AUTOMOTIVE","F77 MACH 2 RECON","9.50","L3e",2
"VELCA","CALIMA S","5.15","L3e",5
"VELCA","JSQ1","8.00","L3e",9
"VELCA","ONE","7.00","L3e",9
"VELCA","TRAMONTANA S","4.68","L3e",3
"VOSTOK","C8S EXPRESS PLUS","5.00","L3e",1
"YADEA","C1S PRO","6.00","L3e",1
"ZERO MOTORCYCLES","DS 14.4","11.00","L3e",1
"ZERO MOTORCYCLES","DS","11.00","L3e",1
"ZERO MOTORCYCLES","DSR 15.6","33.00","L3e",2
"ZERO MOTORCYCLES","DSR-X ZF17.3","36.00","L3e",1
"ZERO MOTORCYCLES","DSR/X ZF17.3","36.00","L3e",1
"ZERO MOTORCYCLES","DSR/X","36.00","L3e",1
