MARCA_ITV,COUNT
"A.J.S.",1
"ACURA",1
"ADLYMOTO",1
"AEON",2
"APRILIA",664
"ARIIC",13
"ASIAWING",23
"BENELLI",2599
"BETA",665
"BMW",10549
"BRIXTON",460
"BULLIT",12
"BULTACO",1
"CC",4
"CF MOTO",54
"COLIBRI",2
"DAELIM",1331
"DERBI",25
"DUCATI",2440
"EFUN",102
"FANTIC MOTOR",3
"GASGAS",757
"GENERIC",46
"GILERA",1
"GOES",638
"GUZZI",3
"HANGLONG",1
"HANWAY",688
"HARLEY-DAVIDSON",2017
"HM",27
"HONDA",31506
"HUDSON BOSS",64
"HUSQVARNA",1556
"HYOSUNG",175
"INDIAN",295
"JNEN",41
"JONWAY",1
"JTG",8
"KANDI MX",30
"KAWASAKI",7297
"KEEWAY",2898
"KENROD",27
"KSR MOTO",293
"KTM",5743
"KYMCO",16001
"LAMBRETTA",87
"LEONART",79
"LEXMOTO",28
"LIFAN",1
"LINTEX",4
"LML",40
"MACBOR",1368
"MALCOR",77
"MASH",420
"MBK",1
"MH MOTORCYCLES",230
"MONDIAL",592
"MONKEY BIKES",3
"MONSTERPRO",4
"MONTESA",168
"MOTO GUZZI",391
"MOTO SPA",60
"MOTOR HISPANIA",1
"MOTORBIKE",3
"MOTOVESPA",1
"MTR",1
"MV AGUSTA",105
"MX",10
"NO STOCK BIKES",4
"NORTON",7
"ORCAL",25
"PEUGEOT",3590
"PIAGGIO",10938
"PIONEER",28
"RIDE",16
"RIEJU",875
"RIYA",402
"ROAD RACE IBIZA BIKES",1
"ROYAL ALLOY",28
"ROYAL ENFIELD",605
"SANBEN",33
"SANYOU",3
"SCOMADI",206
"SCORPA",4
"SHERCO",486
"SKY TEAM",13
"SUMCO",240
"SUZUKI",5595
"SWM",112
"SYM",8374
"TARO",5
"TGB",21
"TIANDA",60
"TIANYING",6
"TM RACING",55
"TNT MOTOR",4
"TRIUMPH",2248
"TRS",171
"UM",400
"VENT SRL",31
"VERTIGO MOTORS",57
"VICTORY MOTOR",1
"WOTTAN",1232
"YAM",2
"YAMAHA",24491
"YAMAHA - MBK",2
"YINGANG",1
"YIYING",30
"ZHENHUA",3
"ZNEN",5
"ZONTES",52
