FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV
"11032026","0","","HONDA","SH125i","Girona","Cataluña","125"
"11032026","0","","PIAGGIO","MEDLEY 125","Málaga","Andalucía","125"
"11032026","0","","KTM","KTM 300 EXC","Palmas (Las)","Canarias","293"
"11032026","0","","HONDA","ADV 750","Cádiz","Andalucía","745"
"11032026","0","","HONDA","FORZA125","Burgos","Castilla y León","125"
"11032026","0","","HARLEY-DAVIDSON","ROAD GLIDE","Lleida","Cataluña","1923"
"11032026","0","","MITT","TY125T-58E","Cantabria","Cantabria","125"
"11032026","0","","KEEWAY","XDV 125 EVO PRO","Málaga","Andalucía","125"
"11032026","0","","ZONTES","ZT125-G1","Badajoz","Extremadura","125"
"11032026","0","","SYM","JET 14","Cádiz","Andalucía","125"
"11032026","0","","ZONTES","368D","Navarra","Comunidad Foral de Navarra","368"
"11032026","0","","HONDA","ADV 350","Madrid","Comunidad de Madrid","330"
"11032026","0","","VOGE","625DSX","Badajoz","Extremadura","581"
"11032026","0","","VOGE","SR3","Cádiz","Andalucía","244"
"11032026","0","","VOGE","DS900X","Sevilla","Andalucía","895"
"11032026","0","","ROYAL ENFIELD","HIMALAYAN 452","Madrid","Comunidad de Madrid","452"
"11032026","0","","HONDA","CB 500 X","Madrid","Comunidad de Madrid","471"
"11032026","0","","BENELLI","BKX 125","Madrid","Comunidad de Madrid","125"
"11032026","0","","RIEJU","NKD 125","Zaragoza","Aragón","124"
"11032026","0","","YAMAHA","XMAX 125","Ceuta","Ceuta","125"
"11032026","0","","QJMOTOR","FORT 125 N E5+","Sevilla","Andalucía","125"
"11032026","0","","HONDA","XL750 Transalp","Alicante/Alacant","Comunidad Valenciana","755"
"11032026","0","","VOGE","DS800X RALLY","Alicante/Alacant","Comunidad Valenciana","798"
"11032026","0","","QJMOTOR","SRT 900 S","Sevilla","Andalucía","904"
"11032026","0","","BAJAJ","PULSAR NS 125","Girona","Cataluña","124"
"11032026","0","","SYM","JET 14","Alicante/Alacant","Comunidad Valenciana","125"
"11032026","0","","YAMAHA","XSR-125","Sevilla","Andalucía","125"
"11032026","0","","VOGE","SR16","Ceuta","Ceuta","125"
"11032026","0","","PIAGGIO","VESPA PRIMAVERA 125 AB","Madrid","Comunidad de Madrid","124"
"11032026","0","","PIAGGIO","MEDLEY 125","Barcelona","Cataluña","125"
"11032026","0","","BMW","M 1000 XR","Madrid","Comunidad de Madrid","999"
