MARCA_ITV,COUNT
"AJP",5
"ALPINA DI RENANIA",1
"APRILIA",136
"ARIIC",2
"BAJAJ",14
"BENDA",56
"BENELLI",31
"BETA",31
"BMW",370
"BRIXTON",3
"BSA",10
"CFMOTO",159
"CYCLONE",48
"DUCATI",56
"EFUN",7
"F.B MONDIAL",1
"FANTIC MOTOR",3
"GASGAS",8
"HARLEY-DAVIDSON",27
"HERO MOTOCORP",15
"HONDA",1740
"HUSQVARNA",36
"INDIAN MOTORCYCLE",9
"ITALJET",3
"KAWASAKI",334
"KEEWAY",82
"KOVE",28
"KTM",239
"KYMCO",373
"LAMBRETTA",8
"LEONART",4
"LETBE",17
"LINHAI",2
"MACBOR",67
"MALAGUTI",2
"MH MOTORCYCLES",57
"MITT",81
"MONDIAL",2
"MONTESA",13
"MORBIDELLI",48
"MOTO GUZZI",17
"MOTO MORINI",27
"MOTRON MOTORRAD",2
"MTR BIKES",2
"MV AGUSTA",5
"NEXT",12
"PEUGEOT",72
"PIAGGIO",195
"QJMOTOR",275
"REDMOTO",4
"RIEJU",242
"ROYAL ENFIELD",58
"SCORPA",3
"SHERCO",26
"SKY TEAM",1
"SUZUKI",118
"SYM",381
"TM MOTO",2
"TRIUMPH",97
"TRS",12
"UM",4
"VENT S.R.L.",3
"VERTIGO MOTORS",1
"VOGE",966
"WOTTAN",26
"WOTTAN MOTOR",13
"YAMAHA",1241
"ZNEN",2
"ZONTES",892
