MARCA_ITV,MODELO_ITV,COD_PROVINCIA_VEH,CILINDRADA_ITV,COUNT
"MITT","TY125T-58E","SE","125",1
"MITT","TY125T-58E","Z","125",1
"MITT","URBAN","MA","125",1
"MONTESA","4RIDE","B","259",1
"MONTESA","4RIDE","M","259",1
"MONTESA","COTA 4RT 301RR","B","298",7
"MONTESA","COTA 4RT 301RR","C","298",1
"MORBIDELLI","C1002V","M","997",1
"MORBIDELLI","F125","B","125",1
"MORBIDELLI","F125","C","125",1
"MORBIDELLI","F352","B","349",1
"MORBIDELLI","SC 125","B","125",1
"MORBIDELLI","SC 125","M","125",1
"MORBIDELLI","SC 125","V","125",1
"MORBIDELLI","SC125 RE","SS","125",1
"MORBIDELLI","SC300","A","278",1
"MORBIDELLI","SC300","B","278",1
"MORBIDELLI","T1002VX","B","997",2
"MORBIDELLI","T1002VX","O","997",1
"MORBIDELLI","T125 X","BA","124",1
"MORBIDELLI","T125 X","CO","124",1
"MORBIDELLI","T125 X","LE","124",1
"MORBIDELLI","T352X","TF","349",1
"MORBIDELLI","T502X","A","486",1
"MORBIDELLI","T502X","B","486",1
"MORBIDELLI","T502X","M","486",1
"MORBIDELLI","T502X","O","486",1
"MORBIDELLI","T502X","OU","486",1
"MORBIDELLI","T502X","SE","486",1
"MOTO GUZZI","STELVIO","CA","1042",1
"MOTO GUZZI","STELVIO","H","1042",1
"MOTO GUZZI","STELVIO","T","1042",1
"MOTO GUZZI","V7 STONE","B","853",1
"MOTO GUZZI","V7 STONE","IB","853",1
"MOTO GUZZI","V85 TT","AB","853",1
"MOTO GUZZI","V85 TT","B","853",2
"MOTO GUZZI","V85 TT","BI","853",1
"MOTO MORINI","CALIBRO 700","A","693",1
"MOTO MORINI","CALIBRO 700","M","693",1
"MOTO MORINI","CALIBRO 700","O","693",1
"MOTO MORINI","X-CAPE","B","649",2
"MOTO MORINI","X-CAPE","BA","649",1
"MOTO MORINI","X-CAPE","GI","649",1
"MOTO MORINI","X-CAPE","L","649",1
"MOTO MORINI","X-CAPE","LE","649",1
"MOTO MORINI","X-CAPE","M","649",1
"MOTO MORINI","X-CAPE","PO","649",2
"MOTO MORINI","X-CAPE","SE","649",1
"MOTO MORINI","X-CAPE","TE","649",1
"MOTO MORINI","X-CAPE","TF","649",1
"MTR BIKES","GRAND TOUR","SE","125",1
"MTR BIKES","S8-ZY125","GC","124",1
"MV AGUSTA","F3 RR","M","798",1
"MV AGUSTA","TURISMO VELOCE LUSSO","M","798",2
"NEXT","MOJITO","A","0",3
"NEXT","MOJITO","IB","0",2
"NEXT","MOJITO","V","0",1
"NEXT","NX CROSS 125I","B","125",1
"NEXT","NX CROSS 125I","MA","125",1
"NEXT","NX CROSS 125I","MU","125",1
"NEXT","NX2 125I","A","125",1
"NEXT","NX2 125I","AL","125",1
"NEXT","NX2 125I","IB","125",1
"NEXT","NX2 125I","MU","125",1
"NEXT","OVEGA","M","0",1
"NEXT","OVEGA","MA","0",1
"NEXT","OVEGA","MU","0",1
"NEXTELECTRICMOTORS","NX PLUS","A","0",1
"NEXTELECTRICMOTORS","NX PLUS","SS","0",1
"NIU","MQI GT L3 3KWH ESTANDA","L","0",1
"NIU","MQI GT L3 4KWH EXTENDI","L","0",1
"NIU","NQI GTS SPORTL3 3","2KWH","B",1
"NIU","NQIX 500","T","0",1
"NIU","RQI SPORT","M","0",2
"NIU","RQI SPORT","S","0",1
"PEUGEOT","DJANGO","GR","125",1
"PEUGEOT","DJANGO","M","125",1
"PEUGEOT","DJANGO","MU","125",2
"PEUGEOT","DJANGO","SE","125",1
"PEUGEOT","KISBEE M","A","125",6
"PEUGEOT","KISBEE M","AL","125",2
"PEUGEOT","KISBEE M","CA","125",2
"PEUGEOT","KISBEE M","IB","125",1
"PEUGEOT","KISBEE M","M","125",3
"PEUGEOT","KISBEE M","MA","125",1
"PEUGEOT","PULSION EVO","AL","125",1
"PEUGEOT","PULSION EVO","B","125",1
"PEUGEOT","PULSION EVO","M","125",2
"PEUGEOT","PULSION EVO","MU","125",3
"PEUGEOT","PULSION EVO","Z","125",1
"PEUGEOT","TWEET FL 125 CC","M","125",3
"PEUGEOT","TWEET FL 125 CC","T","125",1
"PEUGEOT","TWEET FL 125 CC","VA","125",1
"PEUGEOT","XP","M","399",1
"PIAGGIO","BEVERLY 310 HPE","BI","310",1
"PIAGGIO","BEVERLY 310 HPE","GR","310",1
"PIAGGIO","BEVERLY 400 HPE","B","399",2
"PIAGGIO","BEVERLY 400 HPE","MU","399",1
"PIAGGIO","BEVERLY 400 HPE","TF","399",1
"PIAGGIO","LIBERTY 125 ABS","B","124",5
"PIAGGIO","LIBERTY 125 ABS","CA","124",27
"PIAGGIO","LIBERTY 125 ABS","CO","124",2
"PIAGGIO","LIBERTY 125 ABS","H","124",2
"PIAGGIO","LIBERTY 125 ABS","M","124",1
"PIAGGIO","LIBERTY 125 ABS","MU","124",2
"PIAGGIO","LIBERTY 125 ABS","PO","124",5
"PIAGGIO","LIBERTY 125 ABS","SE","124",5
"PIAGGIO","LIBERTY 125 ABS","V","124",1
"PIAGGIO","MEDLEY 125","B","125",3
"PIAGGIO","MEDLEY 125","C","125",1
"PIAGGIO","MEDLEY 125","GR","125",4
"PIAGGIO","MEDLEY 125","H","125",2
"PIAGGIO","MEDLEY 125","IB","125",1
"PIAGGIO","MEDLEY 125","MA","125",1
"PIAGGIO","MEDLEY 125","MU","125",1
"PIAGGIO","MEDLEY 125","NA","125",1
"PIAGGIO","MEDLEY 125","S","125",1
"PIAGGIO","MEDLEY 125","SE","125",2
"PIAGGIO","MEDLEY 125","SS","125",1
"PIAGGIO","MEDLEY 125","TF","125",2
"PIAGGIO","MEDLEY 200","A","174",1
"PIAGGIO","VESPA GTS","A","310",2
"PIAGGIO","VESPA GTS","CA","310",1
"PIAGGIO","VESPA GTS","IB","310",1
"PIAGGIO","VESPA GTS","M","310",1
"PIAGGIO","VESPA GTS","V","310",1
"PIAGGIO","VESPA GTS 125","CS","125",1
"PIAGGIO","VESPA GTS 125","MU","125",1
"PIAGGIO","VESPA GTS 125","SE","125",2
"PIAGGIO","VESPA GTS 125","V","125",1
"PIAGGIO","VESPA GTS SUPERTECH","A","310",1
"PIAGGIO","VESPA PRIMAVERA 125","A","124",5
"PIAGGIO","VESPA PRIMAVERA 125","CA","124",2
"PIAGGIO","VESPA PRIMAVERA 125","H","124",1
"PIAGGIO","VESPA PRIMAVERA 125","IB","124",1
"PIAGGIO","VESPA PRIMAVERA 125","L","124",1
"PIAGGIO","VESPA PRIMAVERA 125","MA","124",3
"PIAGGIO","VESPA PRIMAVERA 125","MU","124",1
"PIAGGIO","VESPA PRIMAVERA 125","TF","124",1
"PIAGGIO","VESPA PRIMAVERA 125","V","124",3
"PIAGGIO","VESPA PRIMAVERA 125 AB","ML","124",1
"PIAGGIO","VESPA PRIMAVERA 125 AB","SE","124",1
"PIAGGIO","VESPA SPRINT 125","AL","124",1
"PIAGGIO","VESPA SPRINT 125","CR","124",1
"QJMOTOR","ATR 125","B","125",1
"QJMOTOR","ATR 125 E5+","A","125",1
"QJMOTOR","ATR 125 E5+","AB","125",1
"QJMOTOR","ATR 125 E5+","AL","125",1
"QJMOTOR","ATR 125 E5+","B","125",3
"QJMOTOR","ATR 125 E5+","CA","125",1
"QJMOTOR","ATR 125 E5+","CO","125",1
"QJMOTOR","ATR 125 E5+","GC","125",2
"QJMOTOR","ATR 125 E5+","IB","125",2
"QJMOTOR","ATR 125 E5+","M","125",1
"QJMOTOR","ATR 125 E5+","MA","125",2
"QJMOTOR","ATR 125 E5+","O","125",2
"QJMOTOR","ATR 125 E5+","S","125",1
"QJMOTOR","ATR 125 E5+","SE","125",1
"QJMOTOR","ATR 125 E5+","TF","125",1
"QJMOTOR","ATR 125 E5+","V","125",2
"QJMOTOR","ATR 125 E5+","Z","125",1
"QJMOTOR","FORT 125 N E5+","B","125",2
"QJMOTOR","FORT 125 N E5+","CE","125",1
"QJMOTOR","FORT 125 N E5+","IB","125",1
"QJMOTOR","FORT 125 N E5+","M","125",1
"QJMOTOR","FORT 125 N E5+","MU","125",1
"QJMOTOR","FORT 125 N E5+","O","125",1
"QJMOTOR","FORT 125 N E5+","SE","125",2
"QJMOTOR","FORT 125 N E5+","T","125",1
"QJMOTOR","FORT 350","B","350",2
"QJMOTOR","FORT 4.0 E5+","B","350",1
"QJMOTOR","FORT 4.0 E5+","GI","350",1
"QJMOTOR","FORT 4.0 E5+","S","350",1
"QJMOTOR","LTR 125 E5+","CS","125",1
"QJMOTOR","LTR 125 E5+","MA","125",1
"QJMOTOR","MTX 125","A","125",1
"QJMOTOR","MTX 125","GR","125",1
"QJMOTOR","MTX 125","MU","125",1
"QJMOTOR","MTX 125 E5+","B","125",10
"QJMOTOR","MTX 125 E5+","IB","125",1
"QJMOTOR","MTX 125 E5+","M","125",1
"QJMOTOR","MTX 125 E5+","MA","125",1
"QJMOTOR","MTX 125 E5+","V","125",4
"QJMOTOR","SQ 16 E5+","B","125",6
"QJMOTOR","SQ 16 E5+","GI","125",1
"QJMOTOR","SQ 16 E5+","M","125",1
"QJMOTOR","SQ 16 E5+","MA","125",1
"QJMOTOR","SQ 16 E5+","SE","125",1
"QJMOTOR","SRK 125 R E5+","B","125",1
"QJMOTOR","SRK 125 R E5+","L","125",1
"QJMOTOR","SRK 125 R E5+","MU","125",1
"QJMOTOR","SRK 125 R E5+","TF","125",1
"QJMOTOR","SRK 125 S E5+","B","125",3
"QJMOTOR","SRK 125 S E5+","C","125",1
"QJMOTOR","SRK 125 S E5+","GI","125",1
"QJMOTOR","SRK 125 S E5+","LE","125",1
"QJMOTOR","SRK 125 S E5+","M","125",1
"QJMOTOR","SRK 125 S E5+","VI","125",1
"QJMOTOR","SRK 125 S E5+","Z","125",1
"QJMOTOR","SRK 600","M","554",1
"QJMOTOR","SRK 600","V","554",1
"QJMOTOR","SRT 300 DX","B","292",1
"QJMOTOR","SRT 500 X 35KW","B","554",1
"QJMOTOR","SRT 600 SX E5+","B","554",3
"QJMOTOR","SRT 600 SX E5+","CA","554",1
"QJMOTOR","SRT 600 SX E5+","CS","554",1
"QJMOTOR","SRT 600 SX E5+","M","554",3
"QJMOTOR","SRT 600 SX E5+","O","554",1
"QJMOTOR","SRT 600 SX E5+","TF","554",1
"QJMOTOR","SRT 700 E5+","AL","698",1
"QJMOTOR","SRT 700 E5+","CS","698",1
"QJMOTOR","SRT 700 E5+","IB","698",1
"QJMOTOR","SRT 700 E5+","J","698",1
"QJMOTOR","SRT 700 E5+","M","698",1
"QJMOTOR","SRT 700 E5+","MA","698",2
"QJMOTOR","SRT 700 E5+","SE","698",2
"QJMOTOR","SRT 700 E5+","TO","698",1
"QJMOTOR","SRT 700 E5+","V","698",2
"QJMOTOR","SRT 700 X","A","698",1
"QJMOTOR","SRT 700 X","C","698",1
"QJMOTOR","SRT 700 X E5+","A","698",1
"QJMOTOR","SRT 700 X E5+","AB","698",1
"QJMOTOR","SRT 700 X E5+","B","698",2
"QJMOTOR","SRT 700 X E5+","CA","698",1
"QJMOTOR","SRT 700 X E5+","CC","698",1
"QJMOTOR","SRT 700 X E5+","GR","698",1
"QJMOTOR","SRT 700 X E5+","J","698",1
"QJMOTOR","SRT 700 X E5+","MA","698",2
"QJMOTOR","SRT 700 X E5+","TF","698",1
"QJMOTOR","SRT 700 X E5+","V","698",1
"QJMOTOR","SRT 800","M","754",1
"QJMOTOR","SRT 800 X","M","754",2
"QJMOTOR","SRT 900 S","B","904",2
"QJMOTOR","SRT 900 S","GI","904",1
"QJMOTOR","SRT 900 SX","AL","904",1
"QJMOTOR","SRT 900 SX","B","904",1
"QJMOTOR","SRT 900 SX","T","904",1
"QJMOTOR","SRV 12 E5+","TF","125",1
"QJMOTOR","SRV 125","MU","125",1
"QJMOTOR","SRV 125 E5+","B","125",1
"QJMOTOR","SRV 125 E5+","CS","125",1
"QJMOTOR","SRV 125 E5+","M","125",1
"QJMOTOR","SRV 125 E5+","SE","125",1
"QJMOTOR","TRX 125 E5+","B","125",1
"QJMOTOR","TRX 125 E5+","TF","125",1
"REDMOTO","---","A","249",1
"REDMOTO","---","AL","249",1
"REDMOTO","---","O","249",1
"RIEJU","CENTURY125","HU","124",1
"RIEJU","N/A","AL","297",1
"RIEJU","N/A","B","297",3
"RIEJU","N/A","CA","297",1
"RIEJU","N/A","H","297",1
"RIEJU","N/A","J","297",1
"RIEJU","N/A","L","297",1
"RIEJU","N/A","MU","297",1
"RIEJU","N/A","V","297",2
"RIEJU","NKD 125","BI","124",1
"RIEJU","NKD 125","CA","124",1
"RIEJU","NKD 125","CR","124",1
"RIEJU","NKD 125","H","124",2
"RIEJU","NKD 125","IB","124",1
"RIEJU","NKD 125","NA","124",1
"RIEJU","NKD 125","SE","124",1
"RIEJU","NKD 125","T","124",2
"RIEJU","NKD 125","VA","124",1
"RIEJU","NOT APPLICABLE","AL","124",1
"RIEJU","NOT APPLICABLE","CA","124",3
"RIEJU","NOT APPLICABLE","GI","124",1
"RIEJU","NOT APPLICABLE","MA","124",1
"RIEJU","NOT APPLICABLE","SE","124",3
"RIEJU","NOT APPLICABLE","V","124",1
"RIEJU","RALLY 307","A","292",1
"RIEJU","RALLY 307","AB","292",4
"RIEJU","RALLY 307","AL","292",4
"RIEJU","RALLY 307","B","292",16
"RIEJU","RALLY 307","BA","292",2
"RIEJU","RALLY 307","BI","292",4
"RIEJU","RALLY 307","BU","292",2
"RIEJU","RALLY 307","C","292",2
"RIEJU","RALLY 307","CO","292",1
"RIEJU","RALLY 307","CR","292",2
"RIEJU","RALLY 307","CS","292",3
"RIEJU","RALLY 307","GC","292",1
"RIEJU","RALLY 307","GI","292",6
"RIEJU","RALLY 307","GR","292",1
"RIEJU","RALLY 307","H","292",1
"RIEJU","RALLY 307","HU","292",2
"RIEJU","RALLY 307","IB","292",1
"RIEJU","RALLY 307","L","292",1
"RIEJU","RALLY 307","LE","292",1
"RIEJU","RALLY 307","LO","292",1
"RIEJU","RALLY 307","M","292",10
"RIEJU","RALLY 307","MA","292",2
"RIEJU","RALLY 307","MU","292",1
"RIEJU","RALLY 307","S","292",3
"RIEJU","RALLY 307","SS","292",6
"RIEJU","RALLY 307","T","292",5
"RIEJU","RALLY 307","V","292",8
"RIEJU","RALLY 307","VA","292",1
"RIEJU","RALLY 307","VI","292",2
"RIEJU","RAY7.7","GI","0",1
"RIEJU","RAY7.7","S","0",1
"RIEJU","XPLORA 557","B","554",1
"RIEJU","XPLORA 557","MA","554",1
"ROYAL ENFIELD","CLASSIC 650 TWIN","MU","648",2
"ROYAL ENFIELD","CONTINENTAL GT 650","MU","648",1
"ROYAL ENFIELD","GOAN CLASSIC 350","A","349",1
"ROYAL ENFIELD","GOAN CLASSIC 350","C","349",1
"ROYAL ENFIELD","GOAN CLASSIC 350","CA","349",1
"ROYAL ENFIELD","GOAN CLASSIC 350","MA","349",1
"ROYAL ENFIELD","GUERRILLA 450","M","452",1
"ROYAL ENFIELD","GUERRILLA 450","MA","452",1
"ROYAL ENFIELD","GUERRILLA 450","TO","452",1
"ROYAL ENFIELD","HIMALAYAN 452","AB","452",1
"ROYAL ENFIELD","HIMALAYAN 452","AL","452",1
"ROYAL ENFIELD","HIMALAYAN 452","B","452",4
"ROYAL ENFIELD","HIMALAYAN 452","BI","452",1
"ROYAL ENFIELD","HIMALAYAN 452","GI","452",1
"ROYAL ENFIELD","HIMALAYAN 452","GR","452",1
"ROYAL ENFIELD","HIMALAYAN 452","M","452",3
"ROYAL ENFIELD","HIMALAYAN 452","MA","452",1
"ROYAL ENFIELD","HIMALAYAN 452","T","452",1
"ROYAL ENFIELD","HIMALAYAN 452","TF","452",1
"ROYAL ENFIELD","HIMALAYAN 452","V","452",1
"ROYAL ENFIELD","HIMALAYAN 452","VA","452",1
"ROYAL ENFIELD","HNTR 350","B","349",1
"ROYAL ENFIELD","HNTR 350","Z","349",1
"ROYAL ENFIELD","INTERCEPTOR BEAR 650","A","648",1
"ROYAL ENFIELD","INTERCEPTOR BEAR 650","M","648",1
"ROYAL ENFIELD","INTERCEPTOR BEAR 650","VA","648",1
"ROYAL ENFIELD","INTERCEPTOR BEAR 650","Z","648",1
"ROYAL ENFIELD","SUPER METEOR 650","J","648",1
"SCORPA","300CC","B","295",1
"SHERCO","125 SE-R","A","125",1
"SHERCO","250 SE-R","AB","249",1
"SHERCO","250 SE-R","L","249",1
"SHERCO","250 SE-R","T","249",1
"SHERCO","300 SE-R","C","293",1
"SHERCO","300 SE-R","GU","293",1
"SHERCO","300 SE-R","M","293",1
"SHERCO","300 SEF-R","B","304",1
"SHERCO","300 ST","B","294",1
"SHERCO","300 ST","M","294",1
"SHERCO","300CC","B","295",1
"SHERCO","N.A","IB","125",1
"SHERCO","N.A","O","125",1
"SHERCO","N.A","T","125",1
"SILENCE","S01","AB","0",1
"SILENCE","S01","B","0",6
"SILENCE","S01","M","0",9
"SILENCE","S01","SE","0",2
"SILENCE","S01+","B","0",5
"SILENCE","S01+","O","0",1
"SILENCE","S02","A","0",1
"SILENCE","S02","B","0",7
"SILENCE","S02","GR","0",3
"SILENCE","S02","M","0",17
"SILENCE","S02","MA","0",1
"SILENCE","S02","PO","0",1
"SILENCE","SEAT MÓ ESCOOTER 125","A","0",1
"SILENCE","SEAT MÓ ESCOOTER 125","O","0",2
"SILENCE","SEAT MÓ ESCOOTER 125","V","0",1
"SILENCE","SEAT MÓ ESCOOTER 125","Z","0",1
"SKY TEAM","SKYMAX 125","TF","124",1
"STARK","VARG","AL","0",1
"STARK","VARG","B","0",7
"STARK","VARG","GC","0",1
"STARK","VARG","GR","0",1
"STARK","VARG","HU","0",1
"STARK","VARG","MA","0",1
"STARK","VARG","TO","0",1
"STARK","VARG","V","0",1
"STARK","VARG","VA","0",1
"STARK","VARG","VI","0",1
"SUPER SOCO","CPX","GR","0",1
"SURRON","ULTRA BEE","IB","0",1
"SURRON","ULTRA BEE","M","0",1
"SURRON","ULTRA BEE","MA","0",1
"SUZUKI","AN400","GI","400",1
"SUZUKI","DL650","PO","645",1
"SUZUKI","DL800","C","776",1
"SUZUKI","DL800","M","776",1
"SUZUKI","DL800","MA","776",2
"SUZUKI","DL800","MU","776",1
"SUZUKI","DL800","SE","776",1
"SUZUKI","DL800","TE","776",1
"SUZUKI","DL800","TF","776",1
"SUZUKI","DL800","VA","776",1
"SUZUKI","DL800","Z","776",1
"SUZUKI","DL800U","M","776",3
"SUZUKI","DR-Z400","MA","398",1
"SUZUKI","DR-Z400","O","398",1
"SUZUKI","GSX-S1000","NA","999",1
"SUZUKI","GSX-S1000","V","999",1
"SUZUKI","GSX-S1000T","B","999",1
"SUZUKI","GSX-S1000T","GR","999",1
"SUZUKI","GSX-S1000T","SE","999",1
"SUZUKI","GSX-S1000T","V","999",1
"SUZUKI","GSX-S1000X","B","999",1
"SUZUKI","GSX-S1000X","GC","999",1
"SUZUKI","GSX800","TF","776",1
"SUZUKI","GSX800T","H","776",1
"SUZUKI","GSX800U","A","776",1
"SUZUKI","GSX800U","M","776",1
"SUZUKI","GSX800U","MA","776",1
"SUZUKI","GSX800U","S","776",1
"SUZUKI","GSX800U","TF","776",1
"SUZUKI","GSX800U","VI","776",1
"SUZUKI","SV650U","B","645",1
"SUZUKI","UB125L","A","124",1
"SUZUKI","UB125L","AB","124",1
"SUZUKI","UB125L","B","124",3
"SUZUKI","UB125L","BI","124",4
"SUZUKI","UB125L","CA","124",1
"SUZUKI","UB125L","CO","124",1
"SUZUKI","UB125L","M","124",3
"SUZUKI","UB125L","MU","124",1
"SUZUKI","UB125L","O","124",1
"SUZUKI","UB125L","SG","124",1
"SUZUKI","UB125L","T","124",2
"SUZUKI","UB125L","V","124",2
"SUZUKI","UZ125","A","124",2
"SUZUKI","UZ125","AB","124",2
"SUZUKI","UZ125","B","124",1
"SUZUKI","UZ125","CO","124",1
"SUZUKI","UZ125","GC","124",1
"SUZUKI","UZ125","IB","124",2
"SUZUKI","UZ125","MA","124",1
"SUZUKI","UZ125","SE","124",1
"SUZUKI","UZ125","TF","124",1
"SYM","ADX 125 LC TCS E5+","IB","125",1
"SYM","ADX 125 LC TCS E5+","TF","125",2
"SYM","ADX 125 LC TCS E5+","Z","125",1
"SYM","ADX 300 TCS","AL","278",1
"SYM","ADX 300 TCS","B","278",5
"SYM","ADX 300 TCS","GI","278",1
"SYM","ADX 300 TCS","IB","278",1
"SYM","ADX 300 TCS","SE","278",2
"SYM","ADXTG 400","B","399",1
"SYM","ADXTG 400","CA","399",1
"SYM","ADXTG 400","SE","399",1
"SYM","ADXTG 400","SS","399",1
"SYM","CRUISYM 125 TCS E5+","GU","124",1
"SYM","CRUISYM 125 TCS E5+","M","124",1
"SYM","CRUISYM 125 TCS E5+","SE","124",1
"SYM","CRUISYM 125 TCS E5+","SS","124",1
"SYM","CRUISYM 125I ABS E5","M","124",1
"SYM","FUGUE 125 ABS TOP CASE","A","124",1
"SYM","FUGUE 125 ABS TOP CASE","CA","124",1
"SYM","FUGUE 125 ABS TOP CASE","TF","124",1
"SYM","FUGUE 125 ABS TOP CASE","V","124",1
"SYM","JET 14","A","125",2
"SYM","JET 14","B","125",7
"SYM","JET 14","CA","125",3
"SYM","JET 14","CO","125",4
"SYM","JET 14","CS","125",1
"SYM","JET 14","GI","125",7
"SYM","JET 14","GR","125",1
"SYM","JET 14","H","125",1
"SYM","JET 14","HU","125",1
"SYM","JET 14","IB","125",7
"SYM","JET 14","M","125",4
"SYM","JET 14","MA","125",2
"SYM","JET 14","O","125",1
"SYM","JET 14","SE","125",2
"SYM","JET 14","TF","125",3
"SYM","JET 14","V","125",1
"SYM","JET X","A","125",3
"SYM","JET X","AB","125",1
"SYM","JET X","B","125",8
"SYM","JET X","C","125",1
"SYM","JET X","CA","125",2
"SYM","JET X","CS","125",1
"SYM","JET X","GI","125",1
"SYM","JET X","IB","125",1
"SYM","JET X","J","125",1
"SYM","JET X","M","125",2
"SYM","JET X","MA","125",2
"SYM","JET X","MU","125",1
"SYM","JET X","SA","125",1
"SYM","JET X","SE","125",3
"SYM","JET X","SS","125",1
"SYM","JET X","T","125",2
"SYM","JET X","V","125",2
"SYM","JET X","ZA","125",1
"SYM","JOYMAX Z 125 E5","M","124",1
"SYM","JOYMAX Z 300 E5+","A","278",1
"SYM","JOYMAX Z 300 E5+","B","278",1
"SYM","JOYMAX Z 300 E5+","IB","278",1
"SYM","JOYMAX Z 300 E5+","MU","278",1
"SYM","JOYMAX Z 300 E5+","SS","278",1
"SYM","MAXSYM 400I GT","GI","399",1
"SYM","MAXSYM 400I GT","IB","399",1
"SYM","MAXSYM 400I GT","MA","399",1
"SYM","MAXSYM 400I GT","NA","399",1
"SYM","MAXSYM 400I GT","T","399",1
"SYM","MAXSYM TL 508 E5+","A","508",1
"SYM","MAXSYM TL 508 E5+","GI","508",1
"SYM","MAXSYM TL 508 E5+","V","508",1
"SYM","SYMPHONY 125","A","125",11
"SYM","SYMPHONY 125","B","125",25
"SYM","SYMPHONY 125","BI","125",2
"SYM","SYMPHONY 125","CO","125",1
"SYM","SYMPHONY 125","CS","125",2
"SYM","SYMPHONY 125","GC","125",1
"SYM","SYMPHONY 125","GI","125",11
"SYM","SYMPHONY 125","GR","125",2
"SYM","SYMPHONY 125","IB","125",3
"SYM","SYMPHONY 125","J","125",1
"SYM","SYMPHONY 125","M","125",6
"SYM","SYMPHONY 125","MA","125",7
"SYM","SYMPHONY 125","MU","125",4
"SYM","SYMPHONY 125","NA","125",1
"SYM","SYMPHONY 125","OU","125",2
"SYM","SYMPHONY 125","SE","125",1
"SYM","SYMPHONY 125","SS","125",3
"SYM","SYMPHONY 125","T","125",3
"SYM","SYMPHONY 125","V","125",1
"TALARIA","KOMODO","B","0",2
"TALARIA","KOMODO","CU","0",1
"TM MOTO","---","AL","299",1
"TM MOTO","---","GR","299",1
"TRIUMPH","BONNEVILLE BOBBER","A","1200",1
"TRIUMPH","BONNEVILLE BOBBER  (E5","A","1200",1
"TRIUMPH","BONNEVILLE SPEEDMASTER","TO","1200",1
"TRIUMPH","BONNEVILLE T120","M","1200",1
"TRIUMPH","BONNEVILLE T120 BLACK","B","1200",1
"TRIUMPH","BONNEVILLE T120 BLACK","CO","1200",1
"TRIUMPH","BONNEVILLE T120 BLACK","SS","1200",1
"TRIUMPH","DAYTONA 660","B","660",1
"TRIUMPH","ROCKET 3 STORM GT","CR","2458",1
"TRIUMPH","ROCKET 3 STORM R","CA","2458",1
"TRIUMPH","SCRAMBLER 1200 XE","CA","1200",1
"TRIUMPH","SCRAMBLER 1200 XE","M","1200",1
"TRIUMPH","SCRAMBLER 400 X","L","398",1
"TRIUMPH","SCRAMBLER 400 XC","M","398",1
"TRIUMPH","SCRAMBLER 400XC","B","398",1
"TRIUMPH","SPEED 400","B","398",2
"TRIUMPH","SPEED 400","BI","398",1
"TRIUMPH","SPEED 400","O","398",1
"TRIUMPH","SPEED 400","T","398",1
"TRIUMPH","SPEED TWIN 900","B","900",1
"TRIUMPH","SPEED TWIN CAFER RACER","B","1200",1
"TRIUMPH","SPEED TWIN CAFER RACER","M","1200",1
"TRIUMPH","STREET TRIPLE 765 RX","M","765",1
"TRIUMPH","STREET TRIPLE R (A2)","B","765",1
"TRIUMPH","STREET TRIPLE RS","B","765",1
"TRIUMPH","TIGER 900 ALPINE EDITI","M","888",1
"TRIUMPH","TIGER 900 ALPINE EDITI","SE","888",1
"TRIUMPH","TIGER 900 DESERT EDITI","M","888",1
"TRIUMPH","TIGER 900 GT PRO","GC","888",1
"TRIUMPH","TIGER 900 GT PRO","MA","888",1
"TRIUMPH","TIGER 900 GT PRO","Z","888",1
"TRIUMPH","TIGER 900 RALLY PRO","B","888",1
"TRIUMPH","TIGER 900 RALLY PRO","CU","888",1
"TRIUMPH","TIGER SPORT","B","660",1
"TRIUMPH","TIGER SPORT","IB","660",1
"TRIUMPH","TIGER SPORT","M","660",1
"TRIUMPH","TIGER SPORT","V","660",1
"TRIUMPH","TIGER SPORT 800","B","798",1
"TRIUMPH","TIGER SPORT 800 TOURIN","SG","798",1
"TRIUMPH","TRIDENT 660","A","660",1
"TRIUMPH","TRIDENT 660","GC","660",1
"TRIUMPH","TRIDENT 660","M","660",2
"TRIUMPH","TRIDENT 660","O","660",1
"TRIUMPH","TRIDENT 660 - TRIPLE T","M","660",1
"TRS","TR1 250I","J","248",1
"TRS","TR1 300","B","294",1
"TRS","TR1 300","IB","294",1
"TRS","TR1 300","O","294",1
"TRS","TR1 300","PO","294",1
"TRS","TR1 300I","L","294",1
"TRS","TR1 300I","MA","294",1
"TRS","TR1 300I","NA","294",1
"ULTRAVIOLETTE AUTOMOTIVE PRIVA","F77 MACH 2 RECON","A","0",1
"ULTRAVIOLETTE AUTOMOTIVE PRIVA","F77 SUPERSTREET RECON","T","0",1
"UM","CHILL 125","ZA","125",1
"VELCA","EON","M","0",3
"VELCA","ONE","A","0",1
"VELCA","ONE","M","0",1
"VELCA","ONE","NA","0",1
"VELCA","TRAMONTANA S","A","0",1
"VELCA","VORTEX","A","0",1
"VELCA","VORTEX","B","0",1
"VELCA","VORTEX","M","0",1
"VELIMOTOR","VMX10S","M","0",1
"VENT S.R.L.","---","B","249",3
"VMOTO","STASH","B","0",1
"VMOTO","STASH","MA","0",1
"VOGE","300RALLY","A","292",1
"VOGE","300RALLY","AV","292",1
"VOGE","300RALLY","BU","292",1
"VOGE","300RALLY","C","292",1
"VOGE","300RALLY","CO","292",1
"VOGE","300RALLY","CS","292",1
"VOGE","300RALLY","CU","292",1
"VOGE","300RALLY","GR","292",1
"VOGE","300RALLY","IB","292",1
"VOGE","300RALLY","LE","292",1
"VOGE","300RALLY","M","292",2
