FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,POTENCIA_ITV,NUM_PLAZAS,LOCALIDAD_VEHICULO,COD_PROVINCIA_VEH,COD_PROVINCIA_MAT,FEC_TRAMITE,CODIGO_POSTAL,PERSONA_FISICA_JURIDICA,CODIGO_ITV,SERVICIO,COD_MUNICIPIO_INE_VEH,MUNICIPIO,KW_ITV,TIPO_CARNET,TIPO_ITV,VARIANTE_ITV,VERSION_ITV,MASA_ORDEN_MARCHA_ITV,MASA_MAXIMA_TECNICA_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,CARROCERIA,CONSUMO_WH_KM_ITV,CLASIFICACION_REGLAMENTO_VEHICULOS_ITV,CATEGORIA_VEHICULO_ELECTRICO,AUTONOMIA_VEHICULO_ELECTRICO,MARCA_VEHICULO_BASE,FABRICANTE_VEHICULO_BASE,TIPO_VEHICULO_BASE,VARIANTE_VEHICULO_BASE,VERSION_VEHICULO_BASE
"09122025","0","","SEGWAY","--","0","1.51","2","GETAFE","M","SG","09122025","28904","D","","B00","28065","GETAFE","7.80","A1","","000","00","101","280","L3e","ND","44","0400","BEV","009000","","","","",""
"09122025","0","","SILENCE","S01+","0","1.45","2","BARCELONA","B","B","09122025","08008","X","","A01","08019","BARCELONA","7.50","A1","","7","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"09122025","0","","HONDA","EVP4","0","0.78","2","COLLOTO (SIERO)","O","O","09122025","33010","X","","B00","33066","SIERO","4.20","A1","","1","1","119","292","L3e","","63","0400","BEV","007200","","","","",""
"09122025","0","","SILENCE","S01","0","1.35","2","SEVILLA","SE","SE","09122025","41008","D","","B00","41091","SEVILLA","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"09122025","0","","SILENCE","S01","0","1.35","2","BORMUJOS","SE","SE","09122025","41930","D","","B00","41017","BORMUJOS","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"09122025","0","","HORWIN","F80","0","0.83","1","YUNCLER","TO","B","09122025","45529","D","","B00","45203","YUNCLER","4.30","A1","","HH4300DQ","L","58","185","L3e","","34","0400","BEV","010400","","","","",""
