FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,POTENCIA_ITV,NUM_PLAZAS,LOCALIDAD_VEHICULO,COD_PROVINCIA_VEH,COD_PROVINCIA_MAT,FEC_TRAMITE,CODIGO_POSTAL,PERSONA_FISICA_JURIDICA,CODIGO_ITV,SERVICIO,COD_MUNICIPIO_INE_VEH,MUNICIPIO,KW_ITV,TIPO_CARNET,TIPO_ITV,VARIANTE_ITV,VERSION_ITV,MASA_ORDEN_MARCHA_ITV,MASA_MAXIMA_TECNICA_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,CARROCERIA,CONSUMO_WH_KM_ITV,CLASIFICACION_REGLAMENTO_VEHICULOS_ITV,CATEGORIA_VEHICULO_ELECTRICO,AUTONOMIA_VEHICULO_ELECTRICO,MARCA_VEHICULO_BASE,FABRICANTE_VEHICULO_BASE,TIPO_VEHICULO_BASE,VARIANTE_VEHICULO_BASE,VERSION_VEHICULO_BASE
"16122025","0","","EFUN","LION","125","2.14","2","PALMAR, EL (EL PALMAR)","MU","MU","16122025","30120","D","","B00","30030","MURCIA","11.00","A1","","0","0","161","371","L3e","","57","0400","BEV","029000","","","","",""
"16122025","0","","BMW","CE 04","0","2.91","2","CAPDEPERA","IB","B","16122025","07580","X","","A13","07014","CAPDEPERA","15.00","A2","","0C51","A","175","410","L3e","","77","0400","BEV","013000","","","","",""
"16122025","0","","SILENCE","S02","0","0.77","2","BARCELONA","B","B","16122025","08008","X","","B00","08019","BARCELONA","4.00","A1","","00","00","91","293","L3e","ND","55","0400","BEV","013800","","","","",""
"16122025","0","","BMW","CE 04","0","2.91","2","CAPDEPERA","IB","B","16122025","07580","X","","A13","07014","CAPDEPERA","15.00","A2","","0C51","A","175","410","L3e","","77","0400","BEV","013000","","","","",""
"16122025","0","","OXWIN","ES1 PRO","0","0.97","2","MÁLAGA","MA","MA","16122025","29002","X","","B00","29067","MALAGA","5.00","A1","","01","01","90","288","L3e","","32","0400","BEV","010700","","","","",""
"16122025","0","","EFUN","PUSA90","0","1.07","2","BARBASTRO","HU","HU","16122025","22300","D","","B00","22048","BARBASTRO","5.50","A1","","02","01","90","261","L3e","","43","0400","BEV","011300","","","","",""
"16122025","0","","NIU","NQIX 500","0","1.74","2","MASNOU, EL","B","SG","16122025","08320","D","","B00","08118","EL MASNOU","9.00","A1","","GA-T","00","104","300","L3e","ND","51","0400","BEV","009500","","","","",""
"16122025","0","","SILENCE","S02","0","0.77","2","BARCELONA","B","B","16122025","08008","X","","B00","08019","BARCELONA","4.00","A1","","00","00","91","293","L3e","ND","55","0400","BEV","013800","","","","",""
"16122025","0","","BMW","CE 04","0","2.91","2","CAPDEPERA","IB","B","16122025","07580","X","","A13","07014","CAPDEPERA","15.00","A2","","0C51","A","175","410","L3e","","77","0400","BEV","013000","","","","",""
"16122025","0","","VELCA","ONE","0","1.35","2","ESTRECHO DE SAN GINES","MU","AL","16122025","30381","D","","B00","30016","CARTAGENA","7.00","A1","","A","2","103","300","L3e","","60","0400","BEV","013500","","","","",""
"16122025","0","","SILENCE","S02","0","0.77","2","BARCELONA","B","B","16122025","08008","X","","B00","08019","BARCELONA","4.00","A1","","00","00","91","293","L3e","ND","55","0400","BEV","013800","","","","",""
"16122025","0","","SEGWAY","--","0","1.51","2","SEVILLA","SE","SE","16122025","41006","D","","B00","41091","SEVILLA","7.80","A1","","000","00","101","280","L3e","ND","44","0400","BEV","009000","","","","",""
"16122025","0","","SEGWAY","--","0","1.51","2","PALMA","IB","IB","16122025","07015","D","","B00","07040","PALMA","7.80","A1","","000","00","101","280","L3e","ND","44","0400","BEV","009000","","","","",""
"16122025","0","","BMW","CE04","0","2.91","2","VALENCIA","V","A","16122025","46002","X","","B00","46250","VALENCIA","15.00","A2","","0C51","A","175","410","L3e","","77","0400","BEV","013000","","","","",""
