MARCA_ITV,MODELO_ITV,KW_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,COUNT
"ARENA","VORTEX","4.00","L3e",2
"BMW","CE 02","6.00","L3e",4
"BMW","CE 04","11.00","L3e",2
"BMW","CE 04","15.00","L3e",9
"BMW","CE04","15.00","L3e",9
"CECOTEC","CECOTEC SHARK RS","3.00","L3e",2
"CECOTEC","VULCANO","6.00","L3e",6
"DIMEN","F80-FX","6.00","L3e",3
"DIMENTRO","DM-E3","3.50","L3e",1
"E RIDE PRO","SS 3.0","6.00","L3e",1
"E RIDE PRO","SS3.0","6.00","L3e",3
"E-BROH","ALEX","5.10","L3e",1
"E-BROH","BRAVO GLE","5.00","L3e",4
"EFUN","DEER 100","7.10","L3e",3
"EFUN","LION","11.00","L3e",29
"EFUN","MONEY75","5.50","L3e",1
"EFUN","PUSA90","5.50","L3e",9
"EFUN","TIGER 100","7.10","L3e",1
"FELQ","FW03","3.00","L3e",2
"FELQ","FW07","5.00","L3e",3
"HONDA","EVP4","4.20","L3e",9
"HORWIN","F80","4.30","L3e",2
"KAWASAKI","NINJA E-1","5.00","L3e",1
"LIVEWIRE","S2 MULHOLLAND","30.00","L3e",1
"NEXTELECTRICMOTORS","NX PLUS","4.00","L3e",2
"NEXT","MOJITO","3.50","L3e",12
"NEXT","OVEGA","10.00","L3e",1
"NEXT","V5","10.00","L3e",4
"NIU","FQI 500","6.40","L3e",1
"NIU","NQIX 300","5.00","L3e",7
"NIU","NQIX 500","9.00","L3e",4
"OXWIN","ES1 PRO","5.00","L3e",18
"PIAGGIO","PIAGGIO 1","2.00","L3e",4
"PIAGGIO","PIAGGIO 1","2.70","L3e",1
"PIAGGIO","VESPA ELETTRICA","3.60","L3e",1
"SEGWAY","--","7.80","L3e",20
"SEGWAY","E250S","5.00","L3e",3
"SILENCE","S01+","7.50","L3e",6
"SILENCE","S01","7.00","L3e",49
"SILENCE","S02","4.00","L3e",10
"SILENCE","S02","7.00","L3e",87
"SILENCE","SEAT MÓ 125 PERFORMANC","7.50","L3e",1
"SILENCE","SEAT MÓ ESCOOTER 125","7.00","L3e",3
"STARK","STARK VARG","9.00","L3e",3
"STARK","VARG","9.00","L3e",26
"SURRON","ULTRA BEE","6.00","L3e",3
"ULTRAVIOLETTE AUTOMOTIVE PRIVA","F77 MACH 2 RECON","9.50","L3e",3
"ULTRAVIOLETTE AUTOMOTIVE PRIVA","F77 SUPERSTREET RECON","9.50","L3e",5
"URBAN ELECTRIC MOTORS","URBAN DELIVERY","4.70","L3e",2
"VELCA","CALIMA S","5.15","L3e",10
"VELCA","JSQ1","8.00","L3e",2
"VELCA","NUDE","9.50","L3e",1
"VELCA","ONE","7.00","L3e",9
"VELCA","VORTEX","8.00","L3e",5
"VMOTO","CITI","4.00","L3e",2
"VMOTO","STASH","9.00","L3e",3
"ZERO MOTORCYCLES","DSR 15.6","33.00","L3e",2
"ZERO MOTORCYCLES","DSR 15.6","36.00","L3e",3
"ZERO MOTORCYCLES","FX ZF7.2","15.40","L3e",3
"ZERO MOTORCYCLES","S 14.4","11.00","L3e",1
"ZERO MOTORCYCLES","S 15.6","11.00","L3e",1
"ZERO MOTORCYCLES","SR ZF14.4","40.00","L3e",1
"ZERO MOTORCYCLES","ZERO MOTORCYCLE XE","6.00","L3e",3
