MARCA_ITV,COUNT
"ABENDAÑO",2
"AJP",25
"APRILIA",106
"BENELLI",229
"BETA",66
"BMW",877
"BRIXTON",95
"CFMOTO",38
"DAELIM",18
"DAYANG",1
"DUCATI",203
"E-BROH",1
"EFUN",23
"EZNEN",3
"FANTIC MOTOR",13
"FKMOTORS",8
"GAS GAS",111
"GOES",17
"HANWAY",35
"HARLEY-DAVIDSON",107
"HONDA",3778
"HUSQVARNA",127
"HYOSUNG",38
"INDIAN MOTORCYCLE",33
"KANDI MX",1
"KAWASAKI",548
"KEEWAY",269
"KSR MOTO",1
"KSR MOTO AUSTRIA",11
"KTM",446
"KYMCO",1119
"LAMBRETTA",27
"LEONART",26
"LINHAI",3
"MACBOR",160
"MALAGUTI",23
"MALCOR",2
"MASH",10
"MESSERSCHMITT",20
"MH MOTORCYCLES",27
"MITT",110
"MONDIAL",35
"MONKEY BIKES",2
"MONTESA",5
"MOTO GUZZI",45
"MOTORBIKE",2
"MOTRON MOTORRAD",44
"MUTT",6
"MV AGUSTA",12
"ORCAL",10
"PEUGEOT",268
"PIAGGIO",1133
"REDMOTO",4
"RIEJU",59
"ROYAL ENFIELD",140
"SHERCO",55
"SUMCO",20
"SUZUKI",249
"SWM",16
"SYM",951
"TIANDA",1
"TIANYING",1
"TM RACING",3
"TRIUMPH",241
"TRS",15
"UM",80
"VERTIGO MOTORS",3
"VOGE",110
"WOTTAN",172
"YAMAHA",1953
"ZONTES",423
