MARCA_ITV,COUNT
"ADLYMOTO",1
"AEON",2
"AIYUMO",1
"APRILIA",78
"BENELLI",15
"BETA",50
"BMW",709
"DAELIM",114
"DERBI",29
"DUCATI",92
"GASGAS",32
"GENERIC",8
"GUZZI",15
"HANWAY",66
"HARLEY-DAVIDSON",151
"HM",2
"HONDA",1494
"HUSABERG",1
"HUSQVARNA-CAGIVA",46
"HYOSUNG",10
"JONWAY",3
"JTG",1
"KAWASAKI",415
"KEEWAY",211
"KENROD",9
"KTM",167
"KYMCO",1365
"LEONART",2
"LIFAN",9
"LML",31
"MASH",33
"MBK",3
"MINIMOTO",1
"MONKEY BIKES",7
"MONTESA",7
"MOTRAC",1
"MV AGUSTA",6
"OSSA",1
"PEUGEOT",389
"PIAGGIO",1015
"POLARIS",1
"RIDE",31
"RIEJU",78
"RIYA",23
"ROYAL ENFIELD",5
"SANYOU",7
"SHERCO",30
"SKY TEAM",2
"SUMCO",7
"SUZUKI",493
"SYM",724
"TGB",14
"TNT MOTOR",2
"TRIUMPH",149
"TURBHO",1
"WILDLANDER",1
"YAMAHA",1341
"YIYING",23
"ZHENHUA",1
"ZNEN",2
