MARCA_ITV,COUNT
"AJP",5
"APRILIA",203
"ARIIC",3
"BENELLI",180
"BETA",107
"BMW",633
"BRIXTON",34
"BSA",1
"CFMOTO",45
"DAELIM",7
"DUCATI",157
"EFUN",20
"FANTIC MOTOR",31
"GASGAS",116
"HANWAY",5
"HARLEY-DAVIDSON",66
"HONDA",3427
"HUSQVARNA",191
"HYOSUNG",10
"INDIAN",28
"ITALJET",4
"KAWASAKI",483
"KEEWAY",248
"KL",2
"KTM",482
"KYMCO",695
"LAMBRETTA",9
"LEONART",7
"LINHAI",9
"MACBOR",101
"MALAGUTI",10
"MALCOR IBERICA",3
"MASH",3
"MH MOTORCYCLES",64
"MITT",142
"MONDIAL",13
"MONKEY BIKES",3
"MONTESA",17
"MOTO GUZZI",55
"MOTO MORINI",18
"MOTORBIKE",1
"MOTRON MOTORRAD",20
"MUTT",7
"MV AGUSTA",4
"ORCAL",2
"PEUGEOT",177
"PIAGGIO",1000
"QJMOTOR",15
"REDMOTO",8
"RIEJU",68
"RIYA",8
"ROYAL ENFIELD",92
"SHERCO",67
"SUMCO",5
"SUZUKI",147
"SWM",11
"SYM",600
"TM RACING",5
"TRIUMPH",149
"TRS",31
"UM",38
"VERTIGO MOTORS",11
"VOGE",171
"WOTTAN",134
"YAMAHA",1830
"ZONTES",355
