MARCA_ITV,COUNT
"ARENA",2
"BMW",6
"CECOTEC",5
"DIMEN",2
"DIMENTRO",1
"E RIDE PRO",3
"E-BROH",2
"EFUN",64
"FELQ",6
"FRISON",1
"HONDA",3
"HORWIN",4
"KAWASAKI",1
"LIVEWIRE",1
"MONNIER",1
"NEXT",9
"NEXTELECTRICMOTORS",4
"NIU",23
"NUUK",1
"NWOW",1
"OTTOBIKE",1
"OXWIN",4
"PIAGGIO",7
"QUAZZAR",3
"RAY ELECTRIC MOTORS",1
"RIEJU",1
"RODEA",3
"SEGWAY",19
"SILENCE",255
"STARK",52
"SUNRA",1
"SUPER SOCO",3
"SURRON",2
"ULTRAVIOLETTE AUTOMOTIVE PRIVA",7
"URBAN ELECTRIC MOTORS",3
"VELCA",53
"VMOTO",22
"WUBEN",1
"ZERO MOTORCYCLES",9
