FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,POTENCIA_ITV,NUM_PLAZAS,LOCALIDAD_VEHICULO,COD_PROVINCIA_VEH,COD_PROVINCIA_MAT,FEC_TRAMITE,CODIGO_POSTAL,PERSONA_FISICA_JURIDICA,CODIGO_ITV,SERVICIO,COD_MUNICIPIO_INE_VEH,MUNICIPIO,KW_ITV,TIPO_CARNET,TIPO_ITV,VARIANTE_ITV,VERSION_ITV,MASA_ORDEN_MARCHA_ITV,MASA_MAXIMA_TECNICA_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,CARROCERIA,CONSUMO_WH_KM_ITV,CLASIFICACION_REGLAMENTO_VEHICULOS_ITV,CATEGORIA_VEHICULO_ELECTRICO,AUTONOMIA_VEHICULO_ELECTRICO,MARCA_VEHICULO_BASE,FABRICANTE_VEHICULO_BASE,TIPO_VEHICULO_BASE,VARIANTE_VEHICULO_BASE,VERSION_VEHICULO_BASE
"08042026","0","","SILENCE","S01+","0","1.45","2","SANT JOSEP DE SA TALAIA","IB","IB","08042026","07829","D","","B00","07048","SAN JOSE","7.50","A1","","7","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"08042026","0","","SILENCE","S01","0","1.35","2","SANT GREGORI (MUNICIPIO)","GI","GI","08042026","17150","D","","B00","17163","SANT GREGORI","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"08042026","0","","ZERO MOTORCYCLES","FX ZF7.2","0","2.98","2","SABADELL","B","SG","08042026","08204","D","","B00","08187","SABADELL","15.40","A2","","XD","2S5N","94","286","L3e","ND","84","0400","BEV","010400","","","","",""
"08042026","0","","VELCA","ONE","0","1.36","2","CABRA","CO","H","08042026","14940","D","","B00","14013","CABRA","7.00","A1","","A","2","103","300","L3e","","60","0400","BEV","013500","","","","",""
"08042026","0","","SEGWAY","E250S","0","0.97","2","RUBI","B","B","08042026","08191","X","","B00","08184","RUBI","5.00","A1","","001","00","104","290","L3e","ND","46","0400","BEV","010500","","","","",""
"08042026","0","","VELCA","EON","0","2.14","2","LORQUI","MU","MU","08042026","30564","D","","B00","30025","LORQUI","11.00","A1","","---","---","162","409","L3e","","109","0400","BEV","012500","","","","",""
"08042026","0","","CECOTEC","VULCANO","0","1.16","2","VILADECAVALLS","B","SG","08042026","08232","D","","B00","08300","VILADECAVALLS","6.00","A1","","01","00","126","337","L3e","ND","45","0400","BEV","015100","","","","",""
"08042026","0","","FELQ","FW03","0","0.58","2","SANT FRANCESC DE FORMENT","IB","M","08042026","07860","D","","B00","07024","FORMENTERA","3.00","A1","","000","00","67","252","L3e","ND","52","0400","BEV","010400","","","","",""
"08042026","0","","NEXT","OVEGA","0","1.94","2","MASNOU, EL","B","SG","08042026","08320","D","","B00","08118","EL MASNOU","10.00","A1","","EF","E","118","348","L3e","ND","87","0400","BEV","012500","","","","",""
"08042026","0","","PIAGGIO","PIAGGIO 1","0","0.39","2","SOBRADILLO, EL","TF","TF","08042026","38107","D","","B00","38038","S C TENERIFE","2.00","A1","","1","0","79","244","L3e","","35","0400","BEV","006600","","","","",""
"08042026","0","","NEXT","MOJITO","0","0.67","2","ALICANTE/ALACANT","A","A","08042026","03005","D","","B00","03014","ALICANTE","3.50","A1","","EE","00","87","261","L3e","ND","31","0400","BEV","011400","","","","",""
"08042026","0","","QUAZZAR","E-DIVINE PLUS","0","0.77","2","HIDALGA, LA","TF","TF","08042026","38550","D","","B00","38004","ARAFO","4.00","A1","","A","A","83","253","L3e","","45","0400","BEV","010000","","","","",""
"08042026","0","","NIU","RQI SPORT","0","1.45","2","CADRETE","Z","Z","08042026","50420","D","","B00","50066","CADRETE","7.50","A1","","GB-N","00","140","336","L3e","ND","67","0400","BEV","010000","","","","",""
"08042026","0","","SILENCE","S02","0","0.77","2","PALAFOLLS","B","B","08042026","08389","D","","B00","08155","PALAFOLLS","4.00","A1","","00","00","91","293","L3e","ND","55","0400","BEV","013800","","","","",""
"08042026","0","","STARK","VARG","0","1.74","1","MONZON","HU","HU","08042026","22400","D","","B00","22158","MONZON","9.00","A1","","EX","HB","97","275","L3e","ND","126","0400","BEV","011700","","","","",""
"08042026","0","","EFUN","PUSA90","0","1.07","2","ALMERÍA","AL","AL","08042026","04009","D","","B00","04013","ALMERIA","5.50","A1","","02","01","90","261","L3e","","43","0400","BEV","011300","","","","",""
"08042026","0","","EFUN","PUMA","125","1.75","2","BORMUJOS","SE","H","08042026","41930","D","","B00","41017","BORMUJOS","9.90","A1","","2","0","128","338","L3e","","59","0400","BEV","022000","","","","",""
"08042026","0","","SILENCE","S01","0","1.35","2","BARCELONA","B","B","08042026","08012","D","","B00","08019","BARCELONA","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
