MARCA_ITV,COUNT
"AJP",7
"APRILIA",105
"ARIIC",3
"BENELLI",156
"BETA",86
"BMW",735
"BRIXTON",55
"BULLIT",1
"CFMOTO",29
"DAELIM",2
"DAYANG",1
"DUCATI",165
"EFUN",1
"FANTIC MOTOR",36
"FKMOTORS",5
"GAS GAS",92
"GOES",9
"HANWAY",11
"HARLEY-DAVIDSON",60
"HONDA",2674
"HUSQVARNA",178
"HYOSUNG",36
"INDIAN MOTORCYCLE",20
"KAWASAKI",440
"KEEWAY",127
"KTM",485
"KYMCO",512
"LAMBRETTA",13
"LEONART",17
"LINHAI",2
"MACBOR",131
"MALAGUTI",15
"MALCOR",3
"MALCOR IBERICA",1
"MASH",6
"MH MOTORCYCLES",34
"MITT",121
"MONDIAL",26
"MONKEY BIKES",8
"MONTESA",18
"MOTO GUZZI",31
"MOTRON MOTORRAD",44
"MUTT",11
"MV AGUSTA",6
"MX",1
"ORCAL",16
"PEUGEOT",152
"PIAGGIO",764
"QINGQI",1
"REDMOTO",6
"RIEJU",59
"RIYA",4
"ROYAL ALLOY",7
"ROYAL ENFIELD",61
"SCORPA",2
"SHERCO",72
"SUMCO",6
"SUZUKI",134
"SWM",4
"SYM",493
"TIANYING",3
"TM RACING",6
"TRIUMPH",180
"TRS",27
"UM",12
"VERTIGO MOTORS",9
"VOGE",78
"WOTTAN",148
"YAMAHA",1480
"ZONTES",252
