FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,COD_PROVINCIA_VEH,CILINDRADA_ITV
"09022026","0","","RIEJU","RALLY 307","B","292"
"09022026","0","","ZONTES","368G","H","368"
"09022026","0","","MH MOTORCYCLES","TRAY","Z","125"
"09022026","0","","HONDA","SH125i","B","125"
"09022026","0","","MACBOR","MONTANA XR1 125 EVO","H","124"
"09022026","0","","BENELLI","LEONCINO BOBBER 400","M","385"
"09022026","0","","YAMAHA","MT-125","M","125"
"09022026","0","","VOGE","DS800X RALLY","A","798"
"09022026","0","","KTM","KTM 390 ADVENTURE R","T","399"
"09022026","0","","HONDA","XL750 Transalp","H","755"
"09022026","0","","ZONTES","368G","A","368"
"09022026","0","","ZONTES","368G","B","368"
"09022026","0","","ZONTES","703RR","M","699"
"09022026","0","","YAMAHA","RayZR 125","MA","125"
"09022026","0","","YAMAHA","NMAX125","B","125"
"09022026","0","","HONDA","FORZA125","CE","125"
"09022026","0","","BMW","R 1300 RT","M","1300"
"09022026","0","","ZONTES","368G","B","368"
"09022026","0","","VOGE","DS800X RALLY","SE","798"
"09022026","0","","VOGE","DS800X RALLY","SE","798"
"09022026","0","","YAMAHA","TMAX 560","B","562"
"09022026","0","","HONDA","ADV 350","GI","330"
"09022026","0","","HONDA","PCX125","GC","125"
"09022026","0","","YAMAHA","NMAX125","CA","125"
"09022026","0","","KTM","KTM 1390 SUPER ADVENTU","M","1350"
"09022026","0","","HONDA","SH125i","MA","125"
"09022026","0","","VOGE","DS900X","M","895"
"09022026","0","","YAMAHA","XMAX125","B","125"
"09022026","0","","KAWASAKI","NINJA 500","TO","451"
"09022026","0","","MH MOTORCYCLES","TRAY","B","125"
"09022026","0","","PIAGGIO","LIBERTY 125 ABS","GR","124"
"09022026","0","","VOGE","SR1ADV","SE","125"
"09022026","0","","VOGE","DS800X RALLY","AB","798"
"09022026","0","","HONDA","FORZA 750","V","745"
"09022026","0","","KTM","KTM 125 DUKE","T","125"
"09022026","0","","HONDA","XL750 Transalp","MU","755"
"09022026","0","","YAMAHA","RayZR 125","Z","125"
"09022026","0","","KAWASAKI","VERSYS 650","S","649"
"09022026","0","","ZONTES","703RR","M","699"
"09022026","0","","HONDA","XL750 Transalp","OU","755"
"09022026","0","","SYM","ADX 300 TCS","B","278"
"09022026","0","","HONDA","CRF1100","CA","1084"
"09022026","0","","YAMAHA","RayZR 125","M","125"
"09022026","0","","HONDA","PCX125","BA","125"
"09022026","0","","HONDA","CRF1100","M","1084"
"09022026","0","","MITT","125 DESERT","AL","125"
