FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,COD_PROVINCIA_VEH,CILINDRADA_ITV
"03022026","0","","ZONTES","703RR","Z","699"
"03022026","0","","ZONTES","368G","CA","368"
"03022026","0","","MH MOTORCYCLES","TRAY","CO","125"
"03022026","0","","YAMAHA","NMAX125","CA","125"
"03022026","0","","QJMOTOR","SRT 900 SX","CR","904"
"03022026","0","","HONDA","FORZA125","V","125"
"03022026","0","","ZONTES","368G","B","368"
"03022026","0","","VOGE","DS800X RALLY","CA","798"
"03022026","0","","CFMOTO","450MT","J","449"
"03022026","0","","SYM","JOYMAX Z 300 E5+","M","278"
"03022026","0","","VOGE","DS800X RALLY","V","798"
"03022026","0","","YAMAHA","YZF-R125","IB","125"
"03022026","0","","HONDA","FORZA125","M","125"
"03022026","0","","YAMAHA","MT-07","B","689"
"03022026","0","","KAWASAKI","Z125","A","125"
"03022026","0","","YAMAHA","XMAX125","PO","125"
"03022026","0","","VOGE","DS900X","CA","895"
"03022026","0","","ZONTES","125E","V","125"
"03022026","0","","VOGE","DS800X RALLY","GC","798"
"03022026","0","","BMW","F 800 GS","B","895"
"03022026","0","","YAMAHA","MT-125","TF","125"
"03022026","0","","HONDA","ADV 350","GC","330"
"03022026","0","","SYM","SYMPHONY 125","MA","125"
"03022026","0","","HONDA","CRF 300 L","L","286"
"03022026","0","","YAMAHA","WR125","M","125"
"03022026","0","","KOVE","KOVE 800 X RALLY","GR","799"
"03022026","0","","KEEWAY","XDV 125 EVO PRO","MA","125"
"03022026","0","","VOGE","DS800X RALLY","B","798"
"03022026","0","","MORBIDELLI","F352","GI","349"
"03022026","0","","BMW","R 1300 GS","SE","1300"
"03022026","0","","TRIUMPH","TRIDENT 660","B","660"
"03022026","0","","CYCLONE","RX1 PRO","GC","124"
"03022026","0","","HONDA","ADV 350","B","330"
"03022026","0","","SYM","SYMPHONY 125","A","125"
"03022026","0","","SYM","ADX 300 TCS","CO","278"
"03022026","0","","HONDA","CBR 650 R","L","649"
"03022026","0","","HONDA","PCX125","V","125"
"03022026","0","","ZONTES","703RR","T","699"
"03022026","0","","MH MOTORCYCLES","VRT","V","124"
"03022026","0","","HONDA","CBF 125","SS","125"
"03022026","0","","VOGE","DS900X","T","895"
"03022026","0","","HONDA","NT1100","SS","1084"
"03022026","0","","KOVE","KOVE 800 X RALLY","GC","799"
"03022026","0","","HONDA","VISION 110","B","109"
"03022026","0","","CFMOTO","700MT","GC","693"
"03022026","0","","MOTO MORINI","X-CAPE","MA","649"
"03022026","0","","KYMCO","DTX","MU","124"
"03022026","0","","DUCATI","STREETFIGHTER","M","890"
"03022026","0","","MH MOTORCYCLES","VR10","A","124"
"03022026","0","","HONDA","SH125i","V","125"
"03022026","0","","YAMAHA","NMAX125","V","125"
"03022026","0","","CYCLONE","LS-Z","V","124"
"03022026","0","","ZONTES","125D","AL","125"
"03022026","0","","SUZUKI","GSX-S 1000","NA","999"
"03022026","0","","VOGE","DS800X RALLY","SE","798"
"03022026","0","","ZONTES","368K","M","368"
"03022026","0","","KYMCO","SKYTOWN 125","V","125"
"03022026","0","","VOGE","625DSX","M","581"
"03022026","0","","RIEJU","NOT APPLICABLE","BU","124"
"03022026","0","","HONDA","PCX125","MA","125"
"03022026","0","","RIEJU","RALLY 307","BI","292"
"03022026","0","","BMW","F 900 R","A","895"
"03022026","0","","HONDA","NC 750 X","GC","745"
"03022026","0","","HONDA","PCX125","B","125"
"03022026","0","","YAMAHA","XTZ 700 Tenere","CA","689"
"03022026","0","","TRIUMPH","BONNEVILLE BOBBER  (E5","M","1200"
"03022026","0","","HONDA","CBF 125","IB","125"
"03022026","0","","SUZUKI","V-Strom 1050","PO","1037"
"03022026","0","","HONDA","NC 750 X","SS","745"
"03022026","0","","WOTTAN MOTOR","STORM-T","A","125"
"03022026","0","","YAMAHA","NMAX125","IB","125"
"03022026","0","","HONDA","CRF1100","V","1084"
"03022026","0","","YAMAHA","TRICITY 125","TF","125"
"03022026","0","","VOGE","SR1","GI","125"
"03022026","0","","VOGE","DS800X RALLY","T","798"
"03022026","0","","ZONTES","368G","SE","368"
"03022026","0","","YAMAHA","NMAX125","SE","125"
"03022026","0","","HONDA","NT1100","BI","1084"
"03022026","0","","ZONTES","703RR","OU","699"
"03022026","0","","TRIUMPH","TIGER SPORT 800","B","798"
"03022026","0","","BMW","F 900 GS ADVENTURE","A","895"
"03022026","0","","TRIUMPH","TIGER 900 GT PRO","MA","888"
"03022026","0","","BETA","N/A","CA","293"
"03022026","0","","YAMAHA","TMAX 560","M","562"
"03022026","0","","YAMAHA","TMAX 560","B","562"
"03022026","0","","SUZUKI","SV650","B","645"
"03022026","0","","RIEJU","RALLY 307","B","292"
"03022026","0","","QJMOTOR","SRK 125 S E5+","CA","125"
"03022026","0","","HONDA","FORZA125","B","125"
"03022026","0","","VOGE","DS800X RALLY","M","798"
"03022026","0","","SYM","SYMPHONY 125","B","125"
"03022026","0","","PIAGGIO","LIBERTY 125 ABS","MA","124"
"03022026","0","","KTM","KTM 125 DUKE","TF","125"
"03022026","0","","KAWASAKI","Z900","S","948"
"03022026","0","","DUCATI","DESERTX WHITE LIVERY","CA","937"
"03022026","0","","ZONTES","368G","SE","368"
"03022026","0","","SYM","CRUISYM 125 TCS E5+","T","124"
"03022026","0","","TRIUMPH","STREET TRIPLE 765 RS","B","765"
"03022026","0","","TRIUMPH","BONNEVILLE T120","B","1200"
"03022026","0","","KYMCO","SKYTOWN 125","TF","125"
"03022026","0","","VOGE","SR1ADV","M","125"
"03022026","0","","PIAGGIO","LIBERTY 125 ABS","AB","124"
"03022026","0","","HONDA","VISION 110","B","109"
"03022026","0","","ZONTES","ZT125-U1","M","125"
"03022026","0","","YAMAHA","NMAX125","B","125"
"03022026","0","","RIEJU","RALLY 307","MA","292"
"03022026","0","","QJMOTOR","ATR 125 E5+","B","125"
"03022026","0","","HONDA","PCX125","M","125"
"03022026","0","","BMW","R 1300 RT","B","1300"
"03022026","0","","PIAGGIO","MEDLEY 125","GC","125"
"03022026","0","","HONDA","NC 750 X","BI","745"
"03022026","0","","KTM","KTM 1390 SUPER ADVENTU","M","1350"
"03022026","0","","KYMCO","XCITING VS 400","CO","400"
"03022026","0","","YAMAHA","NMAX125","H","125"
"03022026","0","","QJMOTOR","SRT 900 S","M","904"
"03022026","0","","HUSQVARNA","HUSQVARNA TE 300","MA","293"
"03022026","0","","HONDA","PCX125","IB","125"
"03022026","0","","YAMAHA","XMAX125","M","125"
"03022026","0","","HONDA","CRF1100","M","1084"
"03022026","0","","HONDA","FORZA125","VA","125"
"03022026","0","","KAWASAKI","Z1100","SS","1099"
"03022026","0","","VOGE","DS900X","GR","895"
"03022026","0","","HONDA","PCX125","MA","125"
"03022026","0","","RIEJU","RALLY 307","NA","292"
"03022026","0","","BMW","R 1300 RS","PO","1300"
"03022026","0","","ZONTES","125C","V","125"
"03022026","0","","QJMOTOR","SRV 12 E5+","B","125"
"03022026","0","","VOGE","625DSX","B","581"
"03022026","0","","BMW","C 400 X","M","350"
"03022026","0","","ZONTES","125C","M","125"
"03022026","0","","YAMAHA","NMAX125","B","125"
"03022026","0","","YAMAHA","XTZ 700 Tenere","MA","689"
"03022026","0","","HONDA","ADV 750","B","745"
"03022026","0","","HONDA","FORZA125","B","125"
