FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,COD_PROVINCIA_VEH,CILINDRADA_ITV
"17022026","0","","HONDA","SH125i","B","125"
"17022026","0","","SYM","ADX 300 TCS","IB","278"
"17022026","0","","HONDA","CBF 125","L","125"
"17022026","0","","YAMAHA","MT-09","CA","890"
"17022026","0","","CFMOTO","675NK","V","674"
"17022026","0","","VOGE","DS800X RALLY","A","798"
"17022026","0","","VOGE","625DSX","V","581"
"17022026","0","","TRIUMPH","TRIDENT 660 TRIPLE TRI","B","660"
"17022026","0","","KEEWAY","XDV 125 EVO PRO","B","125"
"17022026","0","","VOGE","625DSX","Z","581"
"17022026","0","","RIEJU","NKD 125","NA","124"
"17022026","0","","HONDA","XL750 Transalp","B","755"
"17022026","0","","YAMAHA","NMAX125","T","125"
"17022026","0","","HONDA","SH Mode 125","B","125"
"17022026","0","","KAWASAKI","VERSYS 1100","J","1099"
"17022026","0","","YAMAHA","RayZR 125","MU","125"
"17022026","0","","APRILIA","TUONO 457","AL","457"
"17022026","0","","YAMAHA","NMAX125","T","125"
"17022026","0","","BMW","F 800 GS","BI","895"
"17022026","0","","ROYAL ENFIELD","METEOR 350","A","349"
"17022026","0","","KTM","KTM 125 SMC R","MA","125"
"17022026","0","","YAMAHA","XMAX 300","SE","292"
"17022026","0","","VOGE","DS800X RALLY","BI","798"
"17022026","0","","HONDA","CBR 650 R","B","649"
"17022026","0","","QJMOTOR","MTX 125 E5+","SE","125"
"17022026","0","","KYMCO","AGILITY S","S","125"
"17022026","0","","ROYAL ENFIELD","HIMALAYAN 452","B","452"
"17022026","0","","HONDA","GB350S","GI","348"
"17022026","0","","HONDA","CRF 300 L","A","286"
"17022026","0","","HONDA","SH350i","B","330"
"17022026","0","","BMW","F 800 GS","A","895"
"17022026","0","","RIEJU","RALLY 307","M","292"
"17022026","0","","TRIUMPH","TF450-E","CA","450"
"17022026","0","","ZONTES","703F","A","699"
"17022026","0","","QJMOTOR","SRK 125 S E5+","V","125"
"17022026","0","","VOGE","SR1","IB","125"
"17022026","0","","RIEJU","RALLY 307","B","292"
"17022026","0","","TRIUMPH","SCRAMBLER 400 X","M","398"
"17022026","0","","YAMAHA","NMAX125","V","125"
"17022026","0","","HONDA","SH125i","M","125"
"17022026","0","","HUSQVARNA","HUSQVARNA FE 350","M","350"
"17022026","0","","BMW","F 900 GS","S","895"
"17022026","0","","KYMCO","SUPER DINK GT","B","321"
"17022026","0","","CFMOTO","450MT","V","449"
"17022026","0","","HONDA","ADV 750","B","745"
"17022026","0","","ROYAL ENFIELD","CLASSIC 350","MU","349"
"17022026","0","","YAMAHA","MT-07","B","689"
"17022026","0","","KTM","KTM 125 SMC R","IB","125"
"17022026","0","","TRIUMPH","TF250-E","CA","250"
"17022026","0","","VOGE","DS800X RALLY","A","798"
"17022026","0","","ZONTES","368G","IB","368"
"17022026","0","","KTM","KTM 790 DUKE","M","799"
"17022026","0","","MITT","TY125T-58E","S","125"
"17022026","0","","SYM","JET 14","B","125"
"17022026","0","","DUCATI","MULTISTRADA V2","GI","890"
"17022026","0","","KAWASAKI","Z1100","CO","1099"
"17022026","0","","HONDA","ADV 350","M","330"
"17022026","0","","SUZUKI","V-Strom 1050","MU","1037"
"17022026","0","","DUCATI","DIAVEL V4 RS","LE","1103"
"17022026","0","","QJMOTOR","FORT 125 N E5+","M","125"
"17022026","0","","VOGE","SR16","B","125"
