MARCA_ITV,COUNT
"ADLYMOTO",1
"AIYUMO",3
"AJP",1
"APRILIA",100
"ARIIC",2
"BENELLI",355
"BETA",46
"BMW",1213
"BRIXTON",67
"BULLIT",3
"CF MOTO",17
"DAELIM",137
"DUCATI",269
"EFUN",37
"FANTIC MOTOR",10
"GASGAS",15
"GOES",100
"HANWAY",75
"HARLEY-DAVIDSON",214
"HARTFORD",1
"HONDA",4285
"HUSQVARNA",180
"HYOSUNG",20
"INDIAN",50
"JNEN",5
"KANDI MX",7
"KAWASAKI",948
"KEEWAY",395
"KENROD",3
"KSR MOTO",42
"KTM",618
"KYMCO",2179
"LAMBRETTA",19
"LEONART",14
"LEXMOTO",2
"MACBOR",228
"MALAGUTI",21
"MALCOR",9
"MASH",39
"MH MOTORCYCLES",38
"MONDIAL",86
"MONKEY BIKES",6
"MONTESA",8
"MOTO GUZZI",83
"MOTO SPA",1
"MV AGUSTA",10
"NOOMA",2
"NORTON",1
"ORCAL",5
"PEUGEOT",315
"PIAGGIO",1333
"PIONEER",1
"RIEJU",139
"RIYA",9
"ROYAL ALLOY",7
"ROYAL ENFIELD",104
"SANBEN",6
"SCOMADI",11
"SHERCO",36
"SKY TEAM",4
"SUMCO",43
"SUZUKI",664
"SWM",15
"SYM",1124
"TARO",1
"TIANDA",3
"TIANYING",1
"TRIUMPH",223
"TRS",22
"UM",62
"VERTIGO MOTORS",8
"WANGYE",1
"WOTTAN",231
"YAMAHA",3048
"ZONTES",45
