MARCA_ITV,COUNT
"AJP",2
"ANDES",1
"APRILIA",133
"ARIIC",15
"BAJAJ",34
"BENDA",24
"BENELLI",132
"BETA",87
"BMW",883
"BRIXTON",17
"CFMOTO",60
"CYCLONE",24
"DUCATI",180
"EFUN",2
"F.B MONDIAL",5
"FANTIC MOTOR",26
"GASGAS",19
"HARLEY-DAVIDSON",122
"HONDA",4315
"HUSQVARNA",68
"HYOSUNG",15
"INDIAN MOTORCYCLE",31
"ITALJET",5
"JIAJUE",1
"KAWASAKI",882
"KEEWAY",173
"KOVE",79
"KTM",245
"KYMCO",937
"LAMBRETTA",13
"LEONART",6
"LETBE",6
"LINHAI",10
"MACBOR",169
"MALAGUTI",4
"MALCOR IBERICA",6
"MBP",25
"MH MOTORCYCLES",139
"MITT",171
"MONDIAL",13
"MONKEY BIKES",3
"MONTESA",7
"MORBIDELLI",28
"MOTO GUZZI",27
"MOTO MORINI",8
"MOTORBIKE",1
"MOTRON MOTORRAD",7
"MTR BIKES",2
"MUTT",2
"MV AGUSTA",18
"NEXT",3
"ORCAL",5
"PEUGEOT",150
"PIAGGIO",585
"QJMOTOR",528
"REDMOTO",3
"RIEJU",138
"ROYAL ENFIELD",154
"SHERCO",33
"SUZUKI",178
"SWM",27
"SYM",1207
"TM MOTO",1
"TM RACING",1
"TRIUMPH",293
"TRS",7
"UM",17
"VENT",1
"VENT SRL",1
"VERTIGO MOTORS",2
"VOGE",1361
"WOTTAN",111
"WOTTAN MOTOR",17
"YAMAHA",2972
"ZONTES",1741
