MARCA_ITV,MODELO_ITV,KW_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,COUNT
"YADEA","Y1S PRO","3.60","L3e",5
"YASAN MOTOR","E-BEE","4.00","L3e",1
"ZEEHO","AE6+","4.70","L3e",1
"ZERO MOTORCYCLES","DS 11KW ZF14.4","11.00","L3e",2
"ZERO MOTORCYCLES","DS 14.4 11KW","11.00","L3e",15
"ZERO MOTORCYCLES","DS 14.4","11.00","L3e",4
"ZERO MOTORCYCLES","DS 15.6","11.00","L3e",5
"ZERO MOTORCYCLES","DS ZF14.4 11KW","11.00","L3e",1
"ZERO MOTORCYCLES","DSR 15.6","33.00","L3e",1
"ZERO MOTORCYCLES","DSR/X 17.3","36.00","L3e",1
"ZERO MOTORCYCLES","DSR/X","36.00","L3e",5
"ZERO MOTORCYCLES","FX ZF7.2","15.40","L3e",2
"ZERO MOTORCYCLES","FX","15.00","L3e",1
"ZERO MOTORCYCLES","FXE ZF7.2","15.40","L3e",1
"ZERO MOTORCYCLES","FXE","10.60","L3e",1
"ZERO MOTORCYCLES","LS1","5.00","L3e",14
"ZERO MOTORCYCLES","LS1","6.00","L3e",2
"ZERO MOTORCYCLES","S 14.4","11.00","L3e",5
"ZERO MOTORCYCLES","S 15.6","11.00","L3e",11
"ZERO MOTORCYCLES","SR 15.6+","28.00","L3e",1
"ZERO MOTORCYCLES","SR ZF14.4","40.00","L3e",1
"ZERO MOTORCYCLES","SR ZF15.6","40.00","L3e",1
"ZERO MOTORCYCLES","SR/S 17.3","35.00","L3e",1
"ZERO MOTORCYCLES","ZERO MOTORCYCLE XE","6.00","L3e",6
"ZXMCO","WIZY GT-E","3.00","L3e",2
