MARCA_ITV,COUNT
"AJP",10
"ALPINA DI RENANIA",1
"ANDES",3
"APRILIA",306
"ARIIC",3
"ASIAWING",2
"BAJAJ",56
"BENDA",94
"BENELLI",100
"BETA",72
"BMW",1165
"BRIXTON",8
"BSA",13
"CFMOTO",107
"CYCLONE",56
"DUCATI",162
"EFUN",29
"F.B MONDIAL",1
"FANTIC MOTOR",24
"GASGAS",25
"HANWAY",1
"HARLEY-DAVIDSON",50
"HERO MOTOCORP",19
"HONDA",3598
"HUSQVARNA",75
"INDIAN",13
"ITALJET",4
"JIAJUE",1
"KAWASAKI",540
"KEEWAY",145
"KOVE",161
"KTM",317
"KYMCO",717
"LAMBRETTA",10
"LEONART",8
"LETBE",26
"LINHAI",3
"MACBOR",134
"MALAGUTI",1
"MALCOR IBERICA",1
"MBP",9
"MH MOTORCYCLES",64
"MITT",143
"MONDIAL",4
"MONTESA",12
"MORBIDELLI",186
"MOTO GUZZI",52
"MOTO MORINI",6
"MTR BIKES",2
"MV AGUSTA",8
"NEXT",39
"ORCAL",2
"PEUGEOT",177
"PIAGGIO",395
"QJMOTOR",527
"REDMOTO",5
"RIEJU",187
"ROYAL ALLOY",2
"ROYAL ENFIELD",122
"SCORPA",2
"SHERCO",48
"SUZUKI",225
"SWM",7
"SYM",706
"TM MOTO",4
"TM RACING",1
"TRIUMPH",247
"TRS",31
"UM",5
"VENT S.R.L.",4
"VERTIGO MOTORS",2
"VOGE",1521
"WOTTAN",78
"YAMAHA",1862
"ZNEN",1
"ZONTES",1326
