MARCA_ITV,COUNT
"AJP",5
"ANDES",3
"APRILIA",257
"ARIIC",3
"BAJAJ",70
"BENDA",41
"BENELLI",69
"BETA",63
"BMW",1216
"BRIXTON",2
"BSA",1
"CFMOTO",111
"CYCLONE",64
"DAYANG",2
"DUCATI",199
"EFUN",43
"F.B MONDIAL",1
"FANTIC MOTOR",14
"GAS GAS",1
"GASGAS",28
"HARLEY-DAVIDSON",51
"HERO MOTOCORP",34
"HONDA",3776
"HUSQVARNA",62
"HYOSUNG",1
"INDIAN MOTORCYCLE",16
"ITALJET",1
"KAWASAKI",621
"KEEWAY",170
"KOVE",179
"KTM",336
"KYMCO",886
"LAMBRETTA",11
"LEONART",11
"LETBE",32
"LINHAI",6
"MACBOR",222
"MALCOR IBERICA",2
"MBP",3
"MH MOTORCYCLES",94
"MITT",160
"MONDIAL",9
"MONTESA",7
"MORBIDELLI",126
"MOTO GUZZI",29
"MOTO MORINI",8
"MOTRON MOTORRAD",1
"MTR BIKES",2
"MV AGUSTA",14
"NEXT",19
"ORCAL",4
"PEUGEOT",129
"PIAGGIO",456
"QJMOTOR",538
"REDMOTO",9
"RIEJU",252
"ROYAL ALLOY",1
"ROYAL ENFIELD",123
"SHERCO",39
"SUMCO",2
"SUZUKI",130
"SWM",8
"SYM",867
"TM MOTO",8
"TRIUMPH",287
"TRS",23
"UM",6
"VOGE",1795
"WOTTAN",52
"WOTTAN MOTOR",24
"YAMAHA",2287
"ZNEN",18
"ZONTES",1655
