MARCA_ITV,COUNT
"APRILIA",11
"BENELLI",16
"BETA",3
"BMW",35
"BRIXTON",2
"DAELIM",5
"DUCATI",1
"FANTIC MOTOR",2
"GOES",4
"HARLEY-DAVIDSON",24
"HONDA",42
"HUSQVARNA",14
"HYOSUNG",3
"INDIAN",1
"KAWASAKI",22
"KEEWAY",11
"KSR MOTO",2
"KTM",18
"KYMCO",60
"LAMBRETTA",2
"LEONART",2
"MACBOR",6
"MALAGUTI",4
"MALCOR",1
"MASH",3
"MH MOTORCYCLES",2
"MITT",3
"MONDIAL",2
"MONTESA",2
"PEUGEOT",58
"PIAGGIO",46
"RIEJU",6
"ROYAL ENFIELD",3
"SHERCO",5
"SUZUKI",14
"SWM",2
"SYM",27
"TRIUMPH",4
"UM",3
"VERTIGO MOTORS",1
"WOTTAN",15
"YAMAHA",72
