MARCA_ITV,MODELO_ITV,KW_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,COUNT
"ARENA","VORTEX","4.00","L3e",2
"BENOD","MAX","4.00","L3e",2
"BMW","CE 02","6.00","L3e",8
"BMW","CE 04","15.00","L3e",4
"BMW","CE04","15.00","L3e",3
"CECOTEC","CECOTEC SHARK RS","3.00","L3e",2
"CECOTEC","VULCANO","6.00","L3e",21
"E RIDE PRO","SR","6.00","L3e",1
"E RIDE PRO","SS 3.0","6.00","L3e",2
"E-BROH","BRAVO CR","5.00","L3e",1
"E-BROH","BRAVO GLE","5.00","L3e",2
"E-BROH","BRAVO GLS","5.00","L3e",1
"E-ZI","GOCCIA GEV3000","3.00","L3e",12
"EFUN","DEER 100","7.10","L3e",4
"EFUN","LION","11.00","L3e",39
"EFUN","LIPO70","4.11","L3e",1
"EFUN","PUMA","9.90","L3e",2
"EFUN","PUSA90","5.50","L3e",13
"EFUN","TIGER 100","7.10","L3e",22
"FELQ","FW03","3.00","L3e",1
"FELQ","FW07","5.00","L3e",4
"HONDA","EVP4","4.20","L3e",26
"HORWIN","F80","4.30","L3e",1
"JCADI","ALEX","5.10","L3e",1
"KAINING","KN-OA","4.00","L3e",1
"LIVEWIRE","S2 ALPINISTA","30.00","L3e",1
"LIVEWIRE","S2 DEL MAR","30.00","L3e",2
"LIVEWIRE","S2 MULHOLLAND","30.00","L3e",2
"MILG","JY","1.50","L3e",1
"NEXTELECTRICMOTORS","NX PLUS","4.00","L3e",3
"NEXTELECTRICMOTORS","OVEGA","10.00","L3e",1
"NEXT","MOJITO","3.50","L3e",8
"NEXT","OVEGA","10.00","L3e",1
"NEXT","V5","10.00","L3e",9
"NIU","FQI 500","6.40","L3e",2
"NIU","MQI GT EVO ESTANDAR E5","6.50","L3e",2
"NIU","NQIX 300","5.00","L3e",1
"NIU","NQIX 500","9.00","L3e",1
"NIU","RQI SPORT","7.50","L3e",1
"OXWIN","ES1 PRO","5.00","L3e",1
"PIAGGIO","PIAGGIO 1","2.00","L3e",1
"QUAZZAR","E-DIVINE PLUS","4.00","L3e",3
"RAY ELECTRIC MOTORS","RAY 7.7","11.00","L3e",1
"SEGWAY","--","7.80","L3e",14
"SEGWAY","E250S","5.00","L3e",5
"SILENCE","S01+","7.50","L3e",11
"SILENCE","S01","7.00","L3e",174
"SILENCE","S02","7.00","L3e",11
"SILENCE","SEAT MÓ 125 PERFORMANC","7.50","L3e",1
"SILENCE","SEAT MÓ ESCOOTER 125","7.00","L3e",5
"STARK","STARK VARG","9.00","L3e",34
"SUPER SOCO","CPX","4.00","L3e",10
"SUPER SOCO","TC 125","1.90","L3e",18
"SUPER SOCO","TC MAX E5","3.90","L3e",2
"SUPER SOCO","TC WANDERER","2.50","L3e",8
"SUPER SOCO","TS STREET HUNTER","2.50","L3e",9
"SURRON","ULTRA BEE","6.00","L3e",2
"URBAN ELECTRIC MOTORS","LX08MAX","4.00","L3e",1
"VELCA","CALIMA S","5.15","L3e",10
"VELCA","NUDE LITE","6.30","L3e",1
"VELCA","NUDE","9.50","L3e",1
"VELCA","ONE","7.00","L3e",22
"VELCA","TRAMONTANA S","4.68","L3e",9
"VELCA","VORTEX","8.00","L3e",5
"VMOTO","F01","3.50","L3e",11
"VMOTO","STASH","9.00","L3e",4
"YADEA","C1S PRO","6.00","L3e",1
"YADEA","G5S","4.10","L3e",1
"YASAN MOTOR","E-BEE","4.00","L3e",1
"ZEEHO","N/A","10.20","L3e",2
"ZERO MOTORCYCLES","DS 14.4 11KW","11.00","L3e",1
"ZERO MOTORCYCLES","DS ZF14.4 11KW","11.00","L3e",2
"ZERO MOTORCYCLES","DSR-X ZF17.3","36.00","L3e",1
"ZERO MOTORCYCLES","S 14.4","11.00","L3e",1
"ZERO MOTORCYCLES","SR ZF14.4","40.00","L3e",1
"ZERO MOTORCYCLES","ZERO MOTORCYCLE XE","6.00","L3e",3
