FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,POTENCIA_ITV,NUM_PLAZAS,LOCALIDAD_VEHICULO,COD_PROVINCIA_VEH,COD_PROVINCIA_MAT,FEC_TRAMITE,CODIGO_POSTAL,PERSONA_FISICA_JURIDICA,CODIGO_ITV,SERVICIO,COD_MUNICIPIO_INE_VEH,MUNICIPIO,KW_ITV,TIPO_CARNET,TIPO_ITV,VARIANTE_ITV,VERSION_ITV,MASA_ORDEN_MARCHA_ITV,MASA_MAXIMA_TECNICA_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,CARROCERIA,CONSUMO_WH_KM_ITV,CLASIFICACION_REGLAMENTO_VEHICULOS_ITV,CATEGORIA_VEHICULO_ELECTRICO,AUTONOMIA_VEHICULO_ELECTRICO,MARCA_VEHICULO_BASE,FABRICANTE_VEHICULO_BASE,TIPO_VEHICULO_BASE,VARIANTE_VEHICULO_BASE,VERSION_VEHICULO_BASE
"20102025","0","","SUPER SOCO","TC MAX E5","0","0.76","2","ANTEQUERA","MA","SE","20102025","29200","D","","B00","29015","ANTEQUERA","3.90","A1","","2","2","79","254","L3e","ND","33","0400","BEV","009200","","","","",""
"20102025","0","","SEGWAY","--","0","1.51","2","MADRID","M","SG","20102025","28016","D","","B00","28079","MADRID","7.80","A1","","000","00","101","280","L3e","ND","44","0400","BEV","009000","","","","",""
"20102025","0","","EFUN","PUSA90","0","1.07","2","LEBRIJA","SE","SE","20102025","41740","D","","B00","41053","LEBRIJA","5.50","A1","","02","01","90","261","L3e","","43","0400","BEV","011300","","","","",""
"20102025","0","","SILENCE","S01","0","1.35","2","BARCELONA","B","B","20102025","08035","D","","B00","08019","BARCELONA","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"20102025","0","","NEXT","MOJITO","0","0.67","2","MADRID","M","SG","20102025","28029","D","","B00","28079","MADRID","3.50","A1","","EE","00","87","261","L3e","","31","0400","BEV","011400","","","","",""
"20102025","0","","SILENCE","S01","0","1.35","2","BARCELONA","B","B","20102025","08014","D","","B00","08019","BARCELONA","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"20102025","0","","E RIDE PRO","SS 3.0","0","1.16","1","LLINARS DEL VALLES","B","V","20102025","08450","D","","B00","08106","LLINARS DEL VALLES","6.00","A1","","SR","02/02","60","224","L3e","","45","0400","BEV","007300","","","","",""
"20102025","0","","VELCA","TRAMONTANA S","0","0.91","2","PICASSENT","V","MU","20102025","46220","D","","B00","46194","PICASSENT","4.68","A1","","01","01","85","263","L3e","","46","0400","BEV","010300","","","","",""
"20102025","0","","E RIDE PRO","SR","0","1.16","1","CABEZO DE TORRES","MU","V","20102025","30110","D","","B00","30030","MURCIA","6.00","A1","","SR","02/02","60","224","L3e","","45","0400","BEV","007300","","","","",""
"20102025","0","","SILENCE","S01","0","1.35","2","AMBROZ","GR","GR","20102025","18102","D","","B00","18911","VEGAS DEL GENIL","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"20102025","0","","CECOTEC","VULCANO","0","1.16","2","GRANADA","GR","MA","20102025","18010","D","","B00","18087","GRANADA","6.00","A1","","01","00","126","337","L3e","ND","45","0400","BEV","015100","","","","",""
"20102025","0","","HONDA","EVP4","0","0.78","2","VITORIA-GASTEIZ","VI","VI","20102025","01013","X","","B00","01059","VITORIA GASTEIZ","4.20","A1","","1","1","119","292","L3e","","63","0400","BEV","007200","","","","",""
