FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,POTENCIA_ITV,NUM_PLAZAS,LOCALIDAD_VEHICULO,COD_PROVINCIA_VEH,COD_PROVINCIA_MAT,FEC_TRAMITE,CODIGO_POSTAL,PERSONA_FISICA_JURIDICA,CODIGO_ITV,SERVICIO,COD_MUNICIPIO_INE_VEH,MUNICIPIO,KW_ITV,TIPO_CARNET,TIPO_ITV,VARIANTE_ITV,VERSION_ITV,MASA_ORDEN_MARCHA_ITV,MASA_MAXIMA_TECNICA_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,CARROCERIA,CONSUMO_WH_KM_ITV,CLASIFICACION_REGLAMENTO_VEHICULOS_ITV,CATEGORIA_VEHICULO_ELECTRICO,AUTONOMIA_VEHICULO_ELECTRICO,MARCA_VEHICULO_BASE,FABRICANTE_VEHICULO_BASE,TIPO_VEHICULO_BASE,VARIANTE_VEHICULO_BASE,VERSION_VEHICULO_BASE
"01102025","0","","BMW","CE 02","0","1.16","2","SAN JUAN DE LA RAMBLA","TF","TF","01102025","38420","D","","B00","38034","S JUAN RAMBLA","6.00","A1","","0C71","A","105","312","L3e","","60","0400","BEV","009500","","","","",""
"01102025","0","","FELQ","FW07","0","0.97","2","MURCIA","MU","M","01102025","30009","D","","B00","30030","MURCIA","5.00","A1","","000","01","91","280","L3e","ND","55","0400","BEV","009400","","","","",""
"01102025","0","","FELQ","FW07","0","0.97","2","TOLEDO","TO","M","01102025","45007","D","","B00","45168","TOLEDO","5.00","A1","","000","01","91","280","L3e","ND","55","0400","BEV","009400","","","","",""
"01102025","0","","E-BROH","BRAVO GLE","0","0.97","2","ZARAGOZA","Z","Z","01102025","50009","D","","B00","50297","ZARAGOZA","5.00","A1","","NM5000D","NM5000D-A","119","304","L3e","ND","58","0400","BEV","012300","","","","",""
