FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,POTENCIA_ITV,NUM_PLAZAS,LOCALIDAD_VEHICULO,COD_PROVINCIA_VEH,COD_PROVINCIA_MAT,FEC_TRAMITE,CODIGO_POSTAL,PERSONA_FISICA_JURIDICA,CODIGO_ITV,SERVICIO,COD_MUNICIPIO_INE_VEH,MUNICIPIO,KW_ITV,TIPO_CARNET,TIPO_ITV,VARIANTE_ITV,VERSION_ITV,MASA_ORDEN_MARCHA_ITV,MASA_MAXIMA_TECNICA_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,CARROCERIA,CONSUMO_WH_KM_ITV,CLASIFICACION_REGLAMENTO_VEHICULOS_ITV,CATEGORIA_VEHICULO_ELECTRICO,AUTONOMIA_VEHICULO_ELECTRICO,MARCA_VEHICULO_BASE,FABRICANTE_VEHICULO_BASE,TIPO_VEHICULO_BASE,VARIANTE_VEHICULO_BASE,VERSION_VEHICULO_BASE
"22082025","0","","BMW","CE 02","0","1.16","2","ALCOBENDAS","M","M","22082025","28109","D","","B00","28006","ALCOBENDAS","6.00","A1","","0C71","A","105","312","L3e","","60","0400","BEV","009500","","","","",""
"22082025","0","","SILENCE","S02","0","1.35","2","PALMA","IB","IB","22082025","07008","X","","B00","07040","PALMA","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"22082025","0","","SILENCE","S02","0","0.88","2","FORNALUTX","IB","IB","22082025","07109","X","","B00","07025","FORNALUTX","4.54","A1","","10","4","127","315","L3e","","56","0400","BEV","014100","","","","",""
"22082025","0","","VELCA","CALIMA S","0","0.99","2","ALMERÍA","AL","AL","22082025","04009","D","","B00","04013","ALMERIA","5.15","A1","","1","6","84","256","L3e","","36","0400","BEV","008600","","","","",""
"22082025","0","","SILENCE","S01","0","1.35","2","BARCELONA","B","B","22082025","08035","D","","B00","08019","BARCELONA","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"22082025","0","","SILENCE","S02","0","1.35","2","SANTA CRUZ DE TENERIFE","TF","GC","22082025","38004","D","","B00","38038","S C TENERIFE","7.00","A1","","0","2","105","330","L3e","","60","0400","BEV","012700","","","","",""
"22082025","0","","SILENCE","S02","0","1.35","2","ARRECIFE","GC","GC","22082025","35500","D","","B00","35004","ARRECIFE","7.00","A1","","0","2","105","330","L3e","","60","0400","BEV","012700","","","","",""
"22082025","0","","BMW","CE04","0","2.91","2","SANTA POLA","A","A","22082025","03130","D","","B00","03121","SANTA POLA","15.00","A2","","0C51","A","175","410","L3e","","77","0400","BEV","013000","","","","",""
"22082025","0","","NEXT","MOJITO","0","0.67","2","PINOSO","A","A","22082025","03650","D","","B00","03105","PINOSO","3.50","A1","","EE","00","87","261","L3e","ND","31","0400","BEV","011400","","","","",""
"22082025","0","","VELCA","VORTEX","0","1.55","2","AGUADULCE","AL","AL","22082025","04720","D","","B00","04079","ROQUETAS DE MAR","8.00","A1","","00","B","129","356","L3e","","65","0400","BEV","014500","","","","",""
"22082025","0","","VELCA","VORTEX","0","1.55","2","ALMERÍA","AL","MU","22082025","04007","D","","B00","04013","ALMERIA","8.00","A1","","00","B","129","356","L3e","","65","0400","BEV","014500","","","","",""
"22082025","0","","NIU","NQIX 500","0","1.74","2","MADRID","M","SG","22082025","28032","D","","B00","28079","MADRID","9.00","A1","","GA-T","00","104","300","L3e","ND","51","0400","BEV","009500","","","","",""
"22082025","0","","STARK","STARK VARG","0","1.74","1","SANTA AGNES DE CORONA","IB","IB","22082025","07828","D","","B00","07046","SANT ANTONI DE PORTMANY","9.00","A1","","EX","HB","97","275","L3e","ND","126","0400","BEV","011700","","","","",""
"22082025","0","","SILENCE","S01","0","1.35","2","TERRASSA","B","B","22082025","08221","D","","B00","08279","TERRASSA","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"22082025","0","","EFUN","PUSA90","0","1.07","2","VALDEMORO","M","SG","22082025","28341","D","","B00","28161","VALDEMORO","5.50","A1","","02","01","90","261","L3e","","43","0400","BEV","011300","","","","",""
"22082025","0","","SILENCE","S01+","0","1.45","2","MADRID","M","M","22082025","28026","D","","B00","28079","MADRID","7.50","A1","","7","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"22082025","0","","NIU","NQIX 500","0","1.74","2","MADRID","M","SG","22082025","28006","X","","B00","28079","MADRID","9.00","A1","","GA-T","00","104","300","L3e","ND","51","0400","BEV","009500","","","","",""
"22082025","0","","SILENCE","S02","0","1.35","2","SANTA CRUZ DE TENERIFE","TF","GC","22082025","38002","X","","B00","38038","S C TENERIFE","7.00","A1","","0","2","105","330","L3e","","60","0400","BEV","012700","","","","",""
