FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,POTENCIA_ITV,NUM_PLAZAS,LOCALIDAD_VEHICULO,COD_PROVINCIA_VEH,COD_PROVINCIA_MAT,FEC_TRAMITE,CODIGO_POSTAL,PERSONA_FISICA_JURIDICA,CODIGO_ITV,SERVICIO,COD_MUNICIPIO_INE_VEH,MUNICIPIO,KW_ITV,TIPO_CARNET,TIPO_ITV,VARIANTE_ITV,VERSION_ITV,MASA_ORDEN_MARCHA_ITV,MASA_MAXIMA_TECNICA_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,CARROCERIA,CONSUMO_WH_KM_ITV,CLASIFICACION_REGLAMENTO_VEHICULOS_ITV,CATEGORIA_VEHICULO_ELECTRICO,AUTONOMIA_VEHICULO_ELECTRICO,MARCA_VEHICULO_BASE,FABRICANTE_VEHICULO_BASE,TIPO_VEHICULO_BASE,VARIANTE_VEHICULO_BASE,VERSION_VEHICULO_BASE
"09012025","0","","SILENCE","S01","0","1.35","2","BARCELONA","B","B","09012025","08008","X","","B00","08019","BARCELONA","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"09012025","0","","SILENCE","S01+","0","1.45","2","ESPLUGUES DE LLOBREGAT","B","M","09012025","08950","X","","B00","08077","ESPLUGUES DE LLOB","7.50","A1","","7","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"09012025","0","","SUPER SOCO","TC MAX E5","0","0.75","2","CANET D'EN BERENGUER","V","V","09012025","46529","D","","B00","46082","CANET D EN BERENGUER","3.90","A1","","2","2","79","254","L3e","","33","0400","BEV","009200","","","","",""
"09012025","0","","URBAN ELECTRIC MOTORS","URBAN DELIVERY","0","0.91","1","SAN FERNANDO DE HENARES","M","M","09012025","28830","X","","A01","28130","SAN FERNANDO HENARES","4.70","A1","","MD80A","MDF9B","89","262","L3e","","55","0400","BEV","010400","","","","",""
"09012025","0","","BMW","CE 02","0","1.16","2","VALENCIA","V","V","09012025","46015","D","","B00","46250","VALENCIA","6.00","A1","","0C71","A","105","312","L3e","","60","0400","BEV","009500","","","","",""
"09012025","0","","FELQ","FW03","0","0.58","2","MOLINS DE REI","B","M","09012025","08750","X","","B00","08123","MOLINS DE REI","3.00","A1","","000","00","67","252","L3e","ND","52","0400","BEV","010400","","","","",""
"09012025","0","","BMW","CE04","0","2.13","2","EIVISSA","IB","IB","09012025","07800","X","BMW21360","B00","07026","EIVISSA","11.00","A1","","0C51","B","175","410","L3e","","77","0400","BEV","010000","","","","",""
"09012025","0","","PIAGGIO","PIAGGIO 1","0","0.39","2","VALENCIA","V","PO","09012025","46009","D","","B00","46250","VALENCIA","2.00","A1","","1","00","79","244","L3e","","35","0400","BEV","006600","","","","",""
"09012025","0","","EFUN","PUSA90","0","1.07","2","ZARAGOZA","Z","Z","09012025","50011","D","","B00","50297","ZARAGOZA","5.50","A1","","01","01","99","261","L3e","","47","0400","BEV","008200","","","","",""
"09012025","0","","SILENCE","SEAT MÓ ESCOOTER 125","0","1.35","2","MASSANASSA","V","V","09012025","46470","X","","B00","46165","MASSANASSA","7.00","A1","","6","2","111","320","L3e","","70","0400","BEV","013300","","","","",""
"09012025","0","","EFUN","PUSA90","0","1.07","2","GIBRALEON","H","H","09012025","21500","D","","B00","21035","GIBRALEON","5.50","A1","","01","01","99","261","L3e","","47","0400","BEV","008200","","","","",""
"09012025","0","","NIU","NQI GTS SPORTL3 3,2KWH","0","0.60","2","VALLADOLID","VA","VA","09012025","47014","D","","B00","47186","VALLADOLID","4.60","A1","","E8-A","04","90","269","L3e","","56","0400","BEV","006100","","","","",""
"09012025","0","","EFUN","PUSA90","0","1.07","2","LLEIDA","L","B","09012025","25003","D","","B00","25120","LLEIDA","5.50","A1","","01","01","99","261","L3e","","47","0400","BEV","008200","","","","",""
"09012025","0","","URBAN ELECTRIC MOTORS","URBAN DELIVERY","0","0.91","1","SAN FERNANDO DE HENARES","M","M","09012025","28830","X","","A01","28130","SAN FERNANDO HENARES","4.70","A1","","MD80A","MDF9B","89","262","L3e","","55","0400","BEV","010400","","","","",""
"09012025","0","","SILENCE","S01","0","1.35","2","PRAT DE LLOBREGAT, EL","B","M","09012025","08820","D","","B00","08169","EL PRAT DE LLOBREGAT","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"09012025","0","","ZERO MOTORCYCLES","DSR/X ZF17.3","0","6.99","2","VALSEQUILLO (CAPITAL MUN","GC","MU","09012025","35217","D","","B00","35031","VALSEQUILLO G C","36.00","A","","ZA","0X4E","167","500","L3e","","100","0400","BEV","017200","","","","",""
"09012025","0","","SILENCE","SEAT MÓ ESCOOTER 125","0","1.35","2","SANT FELIU DE LLOBREGAT","B","B","09012025","08980","D","","B00","08211","S FELIU DE LLOB","7.00","A1","","6","2","111","320","L3e","","70","0400","BEV","013300","","","","",""
"09012025","0","","URBAN ELECTRIC MOTORS","URBAN DELIVERY","0","0.91","1","SAN FERNANDO DE HENARES","M","M","09012025","28830","X","","A01","28130","SAN FERNANDO HENARES","4.70","A1","","MD80A","MDF9B","89","262","L3e","","55","0400","BEV","010400","","","","",""
"09012025","0","","SILENCE","S01+","0","1.45","2","CERVELLO","B","M","09012025","08758","D","","B00","08068","CERVELLO","7.50","A1","","7","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
