MARCA_ITV,MODELO_ITV,KW_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,COUNT
"ARENA","R30","3.20","L3e",4
"ARENA","VORTEX","4.00","L3e",2
"ASKOLL","N.A.","4.10","L3e",1
"BMW","CE 02","6.00","L3e",9
"BMW","CE04","11.00","L3e",2
"BMW","CE04","15.00","L3e",6
"CECOTEC","CECOTEC SHARK RS","3.00","L3e",2
"CECOTEC","VULCANO","6.00","L3e",4
"DOFERN","D2","5.00","L3e",1
"EFUN","PUMA","9.90","L3e",3
"EFUN","PUSA90","5.50","L3e",15
"EFUN","TIGER 100","7.10","L3e",2
"FELQ","FW03","3.00","L3e",3
"FELQ","FW07","5.00","L3e",2
"HONGFANWX","STREET RAPTOR 300S-T10","6.00","L3e",1
"HORWIN","EK3, HORWIN EK3","3.50","L3e",1
"HORWIN","HORWIN CR6","3.10","L3e",1
"HORWIN","HORWIN SK3","4.00","L3e",1
"HORWIN","SK3","4.00","L3e",3
"IONIK","VELAR","3.00","L3e",1
"JNEN","MODEL 1","3.50","L3e",1
"LIFAN","E4","3.70","L3e",1
"LINZE","ROAD","4.00","L3e",1
"LVNENG","NCE S","6.60","L3e",1
"LVNENG","NCS S","4.65","L3e",80
"NEXTELECTRICMOTORS","OVEGA","10.00","L3e",8
"NEXT","MOJITO","3.50","L3e",8
"NIU","NQI GTS SPORTL3 3,2KWH","4.60","L3e",1
"OTTOBIKE","--","10.50","L3e",2
"PIAGGIO","PIAGGIO 1","2.00","L3e",2
"PIAGGIO","PIAGGIO 1","2.70","L3e",1
"QUAZZAR","E-DIVINE PLUS","4.00","L3e",2
"SEGWAY","--","7.80","L3e",12
"SILENCE","S01+","7.50","L3e",24
"SILENCE","S01","7.00","L3e",72
"SILENCE","S02","7.00","L3e",35
"SILENCE","SEAT MÓ ESCOOTER 125","7.00","L3e",28
"SUPER SOCO","CPX","4.00","L3e",1
"SUPER SOCO","CPXPRO","4.00","L3e",1
"SUPER SOCO","TC MAX E5","3.90","L3e",6
"SWAPPER","TWO+","4.70","L3e",1
"URBAN ELECTRIC MOTORS","LX06MAX","4.00","L3e",1
"URBAN ELECTRIC MOTORS","URBAN DELIVERY","4.70","L3e",4
"VELCA","CALIMA S","5.15","L3e",3
"VELCA","JSQ1","8.00","L3e",48
"VELCA","ONE","7.00","L3e",5
"VELCA","TRAMONTANA S","4.68","L3e",7
"VELIMOTOR","VMX10S","4.00","L3e",2
"VERGE","TS","35.00","L3e",1
"VMOTO","F01","3.50","L3e",1
"VOGE","ER10","6.00","L3e",1
"WAYSCRAL","E-SPEED","3.00","L3e",1
"YADEA","C1S PRO","6.00","L3e",6
"YADEA","G5S","4.10","L3e",8
"YADEA","Y1S PRO","3.60","L3e",6
"ZEEHO","AE6+","4.70","L3e",1
"ZEEHO","N.A.","10.20","L3e",1
"ZEEHO","N/A","10.20","L3e",1
"ZERO MOTORCYCLES","DSR/X ZF17.3","36.00","L3e",1
"ZERO MOTORCYCLES","DSR","33.00","L3e",2
"ZERO MOTORCYCLES","S","11.00","L3e",1
