FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,POTENCIA_ITV,NUM_PLAZAS,LOCALIDAD_VEHICULO,COD_PROVINCIA_VEH,COD_PROVINCIA_MAT,FEC_TRAMITE,CODIGO_POSTAL,PERSONA_FISICA_JURIDICA,CODIGO_ITV,SERVICIO,COD_MUNICIPIO_INE_VEH,MUNICIPIO,KW_ITV,TIPO_CARNET,TIPO_ITV,VARIANTE_ITV,VERSION_ITV,MASA_ORDEN_MARCHA_ITV,MASA_MAXIMA_TECNICA_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,CARROCERIA,CONSUMO_WH_KM_ITV,CLASIFICACION_REGLAMENTO_VEHICULOS_ITV,CATEGORIA_VEHICULO_ELECTRICO,AUTONOMIA_VEHICULO_ELECTRICO,MARCA_VEHICULO_BASE,FABRICANTE_VEHICULO_BASE,TIPO_VEHICULO_BASE,VARIANTE_VEHICULO_BASE,VERSION_VEHICULO_BASE
"28012025","0","","VELCA","JSQ1","0","1.55","2","UCIEDA","S","M","28012025","39513","D","","B00","39066","RUENTE","8.00","A1","","00","B","129","356","L3e","","65","0400","BEV","014500","","","","",""
"28012025","0","","VELCA","ONE","0","1.35","2","ALMERÍA","AL","MU","28012025","04007","D","","B00","04013","ALMERIA","7.00","A1","","A","2","103","300","L3e","","60","0400","BEV","013500","","","","",""
"28012025","0","","SILENCE","SEAT MÓ ESCOOTER 125","0","1.35","2","BARCELONA","B","B","28012025","08014","D","","B00","08019","BARCELONA","7.00","A1","","6","2","111","320","L3e","","70","0400","BEV","013300","","","","",""
"28012025","0","","SILENCE","S01","0","1.35","2","VILANOVA I LA GELTRU","B","B","28012025","08800","D","","B00","08307","VILANOVA I LA GELTRU","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"28012025","0","","SILENCE","S01","0","1.35","2","MÁLAGA","MA","MA","28012025","29006","D","","B00","29067","MALAGA","7.00","A1","","5","2","111","320","L3e","","70","0400","BEV","013300","","","","",""
"28012025","0","","SILENCE","S01+","0","1.45","2","ARROYO DE LA MIEL","MA","MA","28012025","29631","D","","B00","29025","BENALMADENA","7.50","A1","","7","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"28012025","0","","SILENCE","S01","0","1.35","2","BADALONA","B","B","28012025","08915","D","","B00","08015","BADALONA","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"28012025","0","","URBAN ELECTRIC MOTORS","LX06MAX","0","0.70","2","ALMANSA","AB","AB","28012025","02640","D","","B00","02009","ALMANSA","4.00","A1","","E3","01","90","261","L3e","","57","0400","BEV","009900","URBAN ELECTRIC MOTORS","JIANGSU LVNENG ELECTRICAL BICYCLE T","LX06MAX","E3","01"
"28012025","0","","VELCA","JSQ1","0","1.55","2","CASTRILLO DE LA VEGA","BU","BU","28012025","09391","X","","B00","09085","CASTRILLO DE VEGA","8.00","A1","","00","B","129","356","L3e","","65","0400","BEV","014500","","","","",""
"28012025","0","","VELCA","TRAMONTANA S","0","0.90","2","MADRID","M","M","28012025","28027","D","","B00","28079","MADRID","4.68","A1","","01","01","85","263","L3e","","46","0400","BEV","010300","","","","",""
"28012025","0","","VELCA","JSQ1","0","1.55","2","BURGOS","BU","BU","28012025","09007","D","","B00","09059","BURGOS","8.00","A1","","00","B","129","356","L3e","","65","0400","BEV","014500","","","","",""
"28012025","0","","EFUN","PUMA","125","1.75","2","SEVILLA","SE","H","28012025","41005","D","","B00","41091","SEVILLA","9.90","A1","","2","0","128","338","L3e","","59","0400","BEV","022000","","","","",""
"28012025","0","","SILENCE","S01","0","1.35","2","HOSPITALET DE LLOBREGAT","B","B","28012025","08907","D","","B00","08101","L HOSPITALET DE LLOB","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"28012025","0","","SILENCE","S02","0","1.35","2","BARCELONA","B","B","28012025","08041","X","","B00","08019","BARCELONA","7.00","A1","","0","2","105","330","L3e","ND","60","0400","BEV","012700","","","","",""
