FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV
"17082026","0","","ZONTES","125X","Illes Balears","Illes Balears","125"
"17082026","0","","KAWASAKI","ELIMINATOR","Barcelona","Cataluña","451"
"17082026","0","","SHARMAX","CR125","Barcelona","Cataluña","125"
"17082026","0","","CYCLONE","CARRERA","Ávila","Castilla y León","125"
"17082026","0","","KAWASAKI","Z125","Madrid","Comunidad de Madrid","125"
"17082026","0","","ZONTES","368E","Illes Balears","Illes Balears","368"
"17082026","0","","PIAGGIO","MEDLEY 125","Sevilla","Andalucía","125"
"17082026","0","","ZONTES","703RR","Ciudad Real","Castilla-La Mancha","699"
"17082026","0","","CYCLONE","SR600-3B","Guadalajara","Castilla-La Mancha","549"
"17082026","0","","SUZUKI","V-Strom 800","Asturias","Principado de Asturias","776"
"17082026","0","","HONDA","ADV 350","Cádiz","Andalucía","330"
"17082026","0","","KAWASAKI","NINJA 500","Bizkaia","País Vasco","451"
"17082026","0","","HONDA","FORZA125","Barcelona","Cataluña","125"
"17082026","0","","HONDA","PCX 125","Cádiz","Andalucía","125"
"17082026","0","","KEEWAY","XDV 125 EVO PRO","Málaga","Andalucía","125"
"17082026","0","","DUCATI","SCRAMBLER NIGHTSHIFT","Madrid","Comunidad de Madrid","803"
"17082026","0","","SYM","JET 14","Illes Balears","Illes Balears","125"
"17082026","0","","ZONTES","125X","Cantabria","Cantabria","125"
"17082026","0","","ROYAL ENFIELD","SUPER METEOR 650","Asturias","Principado de Asturias","648"
"17082026","0","","HONDA","SH Mode 125","Gipuzkoa","País Vasco","125"
"17082026","0","17082026","EFUN","LION","Cádiz","Andalucía","125"
"17082026","0","","HONDA","NC 750 X","Palmas (Las)","Canarias","745"
"17082026","0","","KYMCO","DTX","Granada","Andalucía","321"
"17082026","0","","HONDA","FORZA 350","Sevilla","Andalucía","330"
"17082026","0","","HONDA","SH125i","Gipuzkoa","País Vasco","125"
"17082026","0","","PIAGGIO","VESPA PRIMAVERA 125","Santa Cruz de Tenerife","Canarias","124"
"17082026","0","","KOVE","450 RALLY 2026","Cantabria","Cantabria","449"
"17082026","0","","ZONTES","125X","Cádiz","Andalucía","125"
"17082026","0","","ZONTES","ZT125-G1","Madrid","Comunidad de Madrid","125"
"17082026","0","","YAMAHA","MT-09","Illes Balears","Illes Balears","890"
"17082026","0","","KOVE","KOVE 800 X PRO 2026","Coruña (A)","Galicia","799"
"17082026","0","","HONDA","PCX 125","Santa Cruz de Tenerife","Canarias","125"
"17082026","0","","VOGE","R125S","Palencia","Castilla y León","125"
"17082026","0","","VOGE","DS800X RALLY","Rioja (La)","La Rioja","798"
"17082026","0","","CFMOTO","675SR-R","Cádiz","Andalucía","674"
"17082026","0","","BMW","F 450 GS","Barcelona","Cataluña","420"
"17082026","0","","VOGE","SR16","Gipuzkoa","País Vasco","125"
"17082026","0","","HONDA","PCX 125","Valencia/València","Comunidad Valenciana","125"
"17082026","0","","VOGE","DS800X RALLY","Illes Balears","Illes Balears","798"
"17082026","0","","HONDA","PCX 125","Madrid","Comunidad de Madrid","125"
"17082026","0","","ZONTES","125X","Illes Balears","Illes Balears","125"
"17082026","0","","MTR BIKES","S8-ZY125","Barcelona","Cataluña","124"
"17082026","0","","RIEJU","X-OVER 357","Huelva","Andalucía","330"
"17082026","0","","DUCATI","DUCATI SCRAMBLER NIGHT","Madrid","Comunidad de Madrid","803"
"17082026","0","","MITT","TY125T-58E","Zamora","Castilla y León","125"
"17082026","0","","HUSQVARNA","HUSQVARNA TE 300","Madrid","Comunidad de Madrid","293"
"17082026","0","","KYMCO","DTX","Santa Cruz de Tenerife","Canarias","321"
"17082026","0","","ZONTES","ZT125-GK","Málaga","Andalucía","125"
"17082026","0","","CYCLONE","RT1","Cádiz","Andalucía","125"
"17082026","0","","QJMOTOR","SRV 600 V","Córdoba","Andalucía","561"
"17082026","0","","BENDA","V302C","Jaén","Andalucía","298"
"17082026","0","","KOVE","KOVE 800 X GT","Murcia","Región de Murcia","799"
"17082026","0","","MITT","125 NK","Badajoz","Extremadura","124"
"17082026","0","","ZONTES","125X","Madrid","Comunidad de Madrid","125"
"17082026","0","","MITT","125 DESERT","Cáceres","Extremadura","125"
"17082026","0","","BETA","N/A","Álava/Araba","País Vasco","348"
"17082026","0","","QJMOTOR","FORT 125 N E5+","Girona","Cataluña","125"
"17082026","0","","ZONTES","125X","Málaga","Andalucía","125"
"17082026","0","","MITT","IBIZA","Lleida","Cataluña","125"
"17082026","0","","HONDA","PCX 125","Murcia","Región de Murcia","125"
"17082026","0","","ROYAL ENFIELD","HIMALAYAN 452","Tarragona","Cataluña","452"
"17082026","0","","ZONTES","125X","Valencia/València","Comunidad Valenciana","125"
"17082026","0","","PIAGGIO","LIBERTY 125 ABS","Cantabria","Cantabria","124"
"17082026","0","","BMW","K 1600 GTL","León","Castilla y León","1649"
"17082026","0","","KTM","KTM 350 EXC-F","Soria","Castilla y León","350"
"17082026","0","","HONDA","FORZA 350","Alicante/Alacant","Comunidad Valenciana","330"
"17082026","0","","HONDA","CBR500","Barcelona","Cataluña","471"
"17082026","0","","HONDA","PCX 125","Murcia","Región de Murcia","125"
"17082026","0","","MITT","TY125T-26F","Lleida","Cataluña","125"
"17082026","0","","HONDA","SH125i","Murcia","Región de Murcia","125"
"17082026","0","","SYM","JET 14","Sevilla","Andalucía","125"
"17082026","0","","ZONTES","368M","Castellón/Castelló","Comunidad Valenciana","368"
"17082026","0","","ZONTES","703F","Asturias","Principado de Asturias","699"
"17082026","0","","APRILIA","SX 125","Cantabria","Cantabria","124"
"17082026","0","","ZONTES","125X","Alicante/Alacant","Comunidad Valenciana","125"
"17082026","0","","HONDA","PCX 125","Illes Balears","Illes Balears","125"
"17082026","0","","ZONTES","ZT125-Z2","Badajoz","Extremadura","125"
"17082026","0","","YAMAHA","TMAX 560","Cádiz","Andalucía","562"
"17082026","0","","KYMCO","DTX","Illes Balears","Illes Balears","124"
"17082026","0","","ZONTES","125X","Málaga","Andalucía","125"
"17082026","0","","HONDA","FORZA125","Palmas (Las)","Canarias","125"
"17082026","0","","HONDA","ADV 350","Granada","Andalucía","330"
"17082026","0","","PIAGGIO","VESPA GTS 125","Illes Balears","Illes Balears","125"
"17082026","0","","KYMCO","DTX","Asturias","Principado de Asturias","321"
"17082026","0","","HONDA","CB750 Hornet","Badajoz","Extremadura","755"
"17082026","0","","KEEWAY","ICON 125 S","Castellón/Castelló","Comunidad Valenciana","124"
"17082026","0","","YAMAHA","XMAX 125","Granada","Andalucía","125"
"17082026","0","","ZONTES","125X","Málaga","Andalucía","125"
"17082026","0","","HONDA","PCX 125","Granada","Andalucía","125"
"17082026","0","","ZONTES","125X","Illes Balears","Illes Balears","125"
"17082026","0","","VOGE","DS900X","Almería","Andalucía","895"
"17082026","0","","VOGE","DS900X","Málaga","Andalucía","895"
"17082026","0","","HONDA","PCX 125","Valencia/València","Comunidad Valenciana","125"
"17082026","0","","KYMCO","DTX","Madrid","Comunidad de Madrid","124"
"17082026","0","","ZONTES","368G","Almería","Andalucía","368"
"17082026","0","","MACBOR","ROCKSTER 125 EVO E5+","Alicante/Alacant","Comunidad Valenciana","125"
"17082026","0","","ZONTES","125X","Toledo","Castilla-La Mancha","125"
"17082026","0","","HONDA","NX500","Sevilla","Andalucía","471"
"17082026","0","","KYMCO","SUPER DINK GT","Illes Balears","Illes Balears","321"
"17082026","0","","KAWASAKI","Z650","Palmas (Las)","Canarias","649"
"17082026","0","","ZONTES","125X","Valencia/València","Comunidad Valenciana","125"
"17082026","0","","ZONTES","ZT125-U1","Illes Balears","Illes Balears","125"
"17082026","0","","YAMAHA","NMAX 125","Cádiz","Andalucía","125"
"17082026","0","","HONDA","PCX 125","Santa Cruz de Tenerife","Canarias","125"
"17082026","0","","PEUGEOT","KISBEE M","Alicante/Alacant","Comunidad Valenciana","125"
"17082026","0","","LETBE","ISLAND","Asturias","Principado de Asturias","125"
"17082026","0","","HONDA","CB 125 F","Illes Balears","Illes Balears","124"
"17082026","0","","YAMAHA","NMAX 125","Santa Cruz de Tenerife","Canarias","125"
"17082026","0","","YAMAHA","NMAX 125","Huelva","Andalucía","125"
"17082026","0","","SYM","JET 14","Illes Balears","Illes Balears","125"
"17082026","0","","HONDA","CB1000SP","Almería","Andalucía","1000"
"17082026","0","","BMW","F 900 R","Jaén","Andalucía","895"
"17082026","0","","YAMAHA","RayZR 125","Palmas (Las)","Canarias","125"
"17082026","0","","HONDA","FORZA125","Madrid","Comunidad de Madrid","125"
"17082026","0","","SYM","SYMPHONY 125","Cádiz","Andalucía","125"
"17082026","0","","PIAGGIO","VESPA GTS 125 SUPERTEC","Illes Balears","Illes Balears","125"
"17082026","0","","PIAGGIO","VESPA GTS","Illes Balears","Illes Balears","310"
"17082026","0","","YAMAHA","NMAX 125","Madrid","Comunidad de Madrid","125"
"17082026","0","","YAMAHA","NMAX 125","Alicante/Alacant","Comunidad Valenciana","125"
"17082026","0","","HONDA","FORZA 750","Valencia/València","Comunidad Valenciana","745"
"17082026","0","","CYCLONE","RX2","Cádiz","Andalucía","124"
"17082026","0","","HONDA","FORZA125","Barcelona","Cataluña","125"
"17082026","0","","YAMAHA","NMAX 125","Cádiz","Andalucía","125"
"17082026","0","","HONDA","FORZA 750","Palmas (Las)","Canarias","745"
"17082026","0","","BAJAJ","PULSAR N 125","Madrid","Comunidad de Madrid","125"
"17082026","0","","ZONTES","125X","Málaga","Andalucía","125"
"17082026","0","","MOTO GUZZI","V7 SPORT","Sevilla","Andalucía","853"
"17082026","0","","PIAGGIO","VESPA PRIMAVERA 125","Palmas (Las)","Canarias","124"
"17082026","0","","YAMAHA","XMAX 125","Málaga","Andalucía","125"
"17082026","0","","YAMAHA","MT-125","Madrid","Comunidad de Madrid","125"
"17082026","0","","YAMAHA","RayZR 125","Huelva","Andalucía","125"
"17082026","0","","YAMAHA","XMAX 300","Cádiz","Andalucía","292"
"17082026","0","","QJMOTOR","ATR 125 E5+","Illes Balears","Illes Balears","125"
"17082026","0","","HONDA","NC 750 X","Barcelona","Cataluña","745"
"17082026","0","","VOGE","SR1","Rioja (La)","La Rioja","125"
"17082026","0","","HONDA","ADV 350","Madrid","Comunidad de Madrid","330"
"17082026","0","","MH MOTORCYCLES","VR10","Santa Cruz de Tenerife","Canarias","124"
"17082026","0","","YAMAHA","NMAX 125","Sevilla","Andalucía","125"
"17082026","0","","ZONTES","125X","Málaga","Andalucía","125"
"17082026","0","","VOGE","SR16","Málaga","Andalucía","125"
"17082026","0","","KYMCO","AGILITY S","Tarragona","Cataluña","125"
"17082026","0","","SUZUKI","ADDRESS 125","Málaga","Andalucía","124"
"17082026","0","","BMW","R 1300 GS ADVENTURE","Málaga","Andalucía","1300"
"17082026","0","","ZONTES","125X","Málaga","Andalucía","125"
"17082026","0","","ZONTES","125X","Barcelona","Cataluña","125"
"17082026","0","","HONDA","NT1100","Alicante/Alacant","Comunidad Valenciana","1084"
"17082026","0","","QJMOTOR","MTX 125 E5+","Cádiz","Andalucía","125"
"17082026","0","","YAMAHA","NMAX 125","Madrid","Comunidad de Madrid","125"
"17082026","0","","KTM","KTM 390 ADVENTURE R","Barcelona","Cataluña","399"
"17082026","0","","SUZUKI","GSX-8S","Tarragona","Cataluña","776"
"17082026","0","","SYM","JET 14","Illes Balears","Illes Balears","125"
"17082026","0","","YAMAHA","R7","Santa Cruz de Tenerife","Canarias","689"
"17082026","0","","ZONTES","125E","Asturias","Principado de Asturias","125"
"17082026","0","","HONDA","PCX 125","Barcelona","Cataluña","125"
"17082026","0","","HONDA","PCX 125","Madrid","Comunidad de Madrid","125"
"17082026","0","","YAMAHA","WR125","Madrid","Comunidad de Madrid","125"
"17082026","0","","ZONTES","125X","Cantabria","Cantabria","125"
"17082026","0","","YAMAHA","XMAX 300","Illes Balears","Illes Balears","292"
"17082026","0","","ZONTES","125X","Almería","Andalucía","125"
"17082026","0","","ZONTES","125X","Alicante/Alacant","Comunidad Valenciana","125"
"17082026","0","","ZONTES","125X","Valencia/València","Comunidad Valenciana","125"
"17082026","0","","ZONTES","125X","Tarragona","Cataluña","125"
"17082026","0","","DUCATI","MULTISTRADA V2","Almería","Andalucía","890"
"17082026","0","","ZONTES","125X","Burgos","Castilla y León","125"
"17082026","0","","ZONTES","703F","León","Castilla y León","699"
"17082026","0","","SUZUKI","ADDRESS 125","Alicante/Alacant","Comunidad Valenciana","124"
"17082026","0","","KYMCO","AGILITY NX 125","Almería","Andalucía","125"
"17082026","0","","BMW","F 800 GS","Madrid","Comunidad de Madrid","895"
"17082026","0","","DUCATI","STREETFIGHTER","Madrid","Comunidad de Madrid","890"
"17082026","0","","YAMAHA","NMAX 125","Madrid","Comunidad de Madrid","125"
"17082026","0","","SYM","FUGUE 125 ABS TOP CASE","Cádiz","Andalucía","124"
"17082026","0","","HONDA","SH125i","Granada","Andalucía","125"
"17082026","0","","HONDA","SH Mode 125","Barcelona","Cataluña","125"
"17082026","0","","QJMOTOR","MTX 125 E5+","Illes Balears","Illes Balears","125"
"17082026","0","","HONDA","SH125i","Málaga","Andalucía","125"
"17082026","0","","YAMAHA","MT-125","Illes Balears","Illes Balears","125"
"17082026","0","","KYMCO","SKYTOWN 125","Murcia","Región de Murcia","125"
"17082026","0","","KEEWAY","VIESTE 125","Madrid","Comunidad de Madrid","125"
"17082026","0","","YAMAHA","NMAX 125","Ceuta","Ceuta","125"
"17082026","0","","KTM","KTM 350 EXC-F","Soria","Castilla y León","350"
"17082026","0","","KTM","KTM 300 EXC","Cádiz","Andalucía","293"
"17082026","0","","QJMOTOR","MTX 125 E5+","Gipuzkoa","País Vasco","125"
"17082026","0","","HONDA","ADV 350","Murcia","Región de Murcia","330"
"17082026","0","","VOGE","625DSX","Málaga","Andalucía","581"
"17082026","0","","VOGE","625DSX","Valencia/València","Comunidad Valenciana","581"
"17082026","0","","TRIUMPH","STREET TRIPLE RS","Barcelona","Cataluña","765"
"17082026","0","","KYMCO","SUPER DINK GT 125 E5+","Asturias","Principado de Asturias","124"
"17082026","0","","KAWASAKI","KLE500","Salamanca","Castilla y León","451"
"17082026","0","","ZONTES","368G","Almería","Andalucía","368"
"17082026","0","","QJMOTOR","MTX 125 E5+","Illes Balears","Illes Balears","125"
"17082026","0","","QJMOTOR","SQ 16 E5+","Tarragona","Cataluña","125"
"17082026","0","","HONDA","PCX 125","Asturias","Principado de Asturias","125"
"17082026","0","","MACBOR","SHIFTER 125 EVO","Barcelona","Cataluña","125"
"17082026","0","","SYM","JET X","Valencia/València","Comunidad Valenciana","125"
"17082026","0","","HONDA","CB1000GT","Santa Cruz de Tenerife","Canarias","1000"
"17082026","0","","KTM","KTM 390 ADVENTURE R","Madrid","Comunidad de Madrid","399"
"17082026","0","","ZONTES","125X","Almería","Andalucía","124"
"17082026","0","","VOGE","SR3","Huelva","Andalucía","244"
"17082026","0","","HONDA","FORZA125","Tarragona","Cataluña","125"
"17082026","0","","SYM","SYMPHONY 125","Málaga","Andalucía","125"
"17082026","0","","QJMOTOR","ATR 125 E5+","Illes Balears","Illes Balears","125"
"17082026","0","","ZONTES","125X","Jaén","Andalucía","125"
"17082026","0","","ZONTES","125X","Girona","Cataluña","125"
"17082026","0","","ZONTES","125X","Málaga","Andalucía","125"
"17082026","0","","LAMBRETTA","X125","Málaga","Andalucía","124"
"17082026","0","","ZONTES","125X","Valencia/València","Comunidad Valenciana","125"
"17082026","0","","SUZUKI","GSX-R1000","Tarragona","Cataluña","1000"
"17082026","0","","BETA","N/A","Valladolid","Castilla y León","125"
"17082026","0","","KTM","KTM 390 DUKE","Santa Cruz de Tenerife","Canarias","399"
"17082026","0","","MITT","GT-S","Illes Balears","Illes Balears","125"
"17082026","0","","ZONTES","125X","Málaga","Andalucía","125"
"17082026","0","","KTM","KTM 390 ADVENTURE R","Santa Cruz de Tenerife","Canarias","399"
"17082026","0","","HONDA","SH125i","Jaén","Andalucía","125"
"17082026","0","","YAMAHA","RayZR 125","Málaga","Andalucía","125"
"17082026","0","","VOGE","625DSX","Almería","Andalucía","581"
