MARCA_ITV,MODELO_ITV,KW_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,COUNT
"3PLUSCOCO","MH3P","4.00","L3e",1
"ALRENDO","TS BRAVO","10.00","L3e",2
"ARENA","R30","3.20","L3e",9
"ARENA","R30","4.00","L3e",45
"ARENA","VORTEX","4.00","L3e",15
"ASKOLL","ES3EVO 2.8","2.70","L3e",1
"ASKOLL","N.A.","2.70","L3e",4
"ASKOLL","N.A.","4.10","L3e",1
"BENOD","MAX","4.00","L3e",2
"BLUESHARK","BLUESHARK R1 LITE 2-HS","3.00","L3e",1
"BLUESHARK","BLUESHARK R80","3.00","L3e",2
"BMW","CE 02","6.00","L3e",92
"BMW","CE 04","11.00","L3e",8
"BMW","CE 04","15.00","L3e",27
"BMW","CE04","11.00","L3e",5
"BMW","CE04","15.00","L3e",76
"BRP","2W ORIGIN EV46-14 BK I","10.60","L3e",2
"BRP","2W ORIGIN EV46-14 WH I","10.60","L3e",1
"BRP","2W ORIGIN EV46-27 BK I","30.10","L3e",1
"BRP","2W ORIGIN EV46-27 WH I","30.10","L3e",2
"BRP","2W ORIGIN SS73 EV46-27","30.10","L3e",2
"BRP","2W PULSE EV46-14 BK IN","10.60","L3e",4
"BRP","2W PULSE EV46-27 WH IN","30.10","L3e",1
"BRP","2W PULSE SS73 EV46-27","30.10","L3e",1
"CANOMOBILITY","JS2A","4.00","L3e",1
"CECOTEC","CECOTEC SHARK RS","3.00","L3e",24
"CECOTEC","HALO","7.55","L3e",2
"CECOTEC","VULCANO","6.00","L3e",130
"CHAOYA","E-ROAD","4.60","L3e",1
"DAYI MOTOR","E-RIG","6.00","L3e",1
"DIMEN","DP03","9.50","L3e",3
"DIMEN","F80-FX","6.00","L3e",4
"DIMENTRO","DM-E3","3.50","L3e",3
"DOFERN","D2","5.00","L3e",1
"E RIDE PRO","SR","6.00","L3e",4
"E RIDE PRO","SS 3.0","6.00","L3e",5
"E RIDE PRO","SS3.0","6.00","L3e",4
"E-BROH","---","7.00","L3e",1
"E-BROH","ALEX","5.10","L3e",2
"E-BROH","BRAVO CR","5.00","L3e",7
"E-BROH","BRAVO GLE","5.00","L3e",17
"E-BROH","BRAVO GLS","5.00","L3e",5
"E-BROH","E-F10","4.70","L3e",3
"E-BROH","VERACRUZ","4.70","L3e",8
"E-MAX","N.A.","3.50","L3e",8
"E-ZI","GOCCIA GEV3000","3.00","L3e",17
"EFUN","DEER 100","7.10","L3e",16
"EFUN","LION","11.00","L3e",114
"EFUN","LIPO70","4.11","L3e",6
"EFUN","MONEY75","5.50","L3e",3
"EFUN","PUMA","9.90","L3e",32
"EFUN","PUSA90","5.50","L3e",108
"EFUN","TIGER 100","7.10","L3e",68
"FANTIC MOTOR","--","3.00","L3e",2
"FELQ","FW03","3.00","L3e",54
"FELQ","FW06","5.00","L3e",3
"FELQ","FW07","5.00","L3e",25
"FRISON","RIDER-X","6.80","L3e",2
"HONDA","EVP4","4.20","L3e",59
"HONGFANWX","STREET RAPTOR 300S-T10","6.00","L3e",1
"HORWIN","EK3, HORWIN EK3","3.50","L3e",1
"HORWIN","EK3","3.50","L3e",9
"HORWIN","F80","4.30","L3e",6
"HORWIN","HORWIN CR6","3.10","L3e",8
"HORWIN","HORWIN SK3","4.00","L3e",6
"HORWIN","SK3","4.00","L3e",16
"INVICTA ELECTRIC","VMX10S","4.00","L3e",1
"IONIK","HOMCAN","2.00","L3e",5
"IONIK","VELAR","3.00","L3e",23
"JCADI","ALEX","5.10","L3e",1
"JNEN","MODEL 1","3.50","L3e",4
"KAINING","KN-OA","4.00","L3e",3
"KAWASAKI","NINJA E-1","5.00","L3e",4
"KAWASAKI","Z E-1","5.00","L3e",2
"KTM","KTM FREERIDE E-XC","9.15","L3e",1
"LIFAN","E4","3.70","L3e",1
"LINZE","JS2A-2","4.00","L3e",1
"LINZE","ROAD","4.00","L3e",7
