MARCA_ITV,COUNT
"3PLUSCOCO",1
"ALRENDO",2
"ARENA",69
"ASKOLL",6
"BENOD",2
"BLUESHARK",3
"BMW",208
"BRP",14
"CANOMOBILITY",1
"CECOTEC",156
"CHAOYA",1
"DAYI MOTOR",1
"DIMEN",7
"DIMENTRO",3
"DOFERN",1
"E RIDE PRO",13
"E-BROH",43
"E-MAX",8
"E-ZI",17
"EFUN",347
"FANTIC MOTOR",2
"FELQ",82
"FRISON",2
"HONDA",59
"HONGFANWX",1
"HORWIN",46
"INVICTA ELECTRIC",1
"IONIK",28
"JCADI",1
"JNEN",4
"KAINING",3
"KAWASAKI",6
"KTM",1
"LIFAN",1
"LINZE",8
"LIVEWIRE",17
"LVNENG",326
"MAEVING",1
"MILG",3
"NEXT",173
"NEXTELECTRICMOTORS",38
"NIU",55
"NUUK",2
"NWOW",9
"OTTOBIKE",4
"OXWIN",27
"PIAGGIO",45
"QJMOTOR",1
"QUAZZAR",37
"RAY ELECTRIC MOTORS",12
"RIEJU",828
"RODEA",12
"SAKURA",8
"SEGWAY",182
"SILENCE",1777
"STARK",275
"SUPER SOCO",127
"SURRON",19
"SWAPPER",11
"UGBEST",2
"ULTRAVIOLETTE AUTOMOTIVE",2
"ULTRAVIOLETTE AUTOMOTIVE PRIVA",14
"URBAN ELECTRIC MOTORS",37
"VELCA",487
"VELIMOTOR",6
"VERGE",3
"VMOTO",48
"VOGE",1
"VOSTOK",9
"WAYSCRAL",1
"YADEA",30
"YASAN MOTOR",3
"ZEEHO",20
"ZERO MOTORCYCLES",112
