FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV
"08042026","0","","VOGE","DS800X RALLY","Barcelona","Cataluña","798"
"08042026","0","","ZONTES","368G","Ceuta","Ceuta","368"
"08042026","0","","ZONTES","703RR","Zaragoza","Aragón","699"
"08042026","0","","RIEJU","RALLY 307","Tarragona","Cataluña","292"
"08042026","0","","SYM","JOYMAX Z 125 E5","Illes Balears","Illes Balears","124"
"08042026","0","","KOVE","KOVE 800 X PRO 2026","Cádiz","Andalucía","799"
"08042026","0","","KTM","KTM 390 ADVENTURE R","Illes Balears","Illes Balears","399"
"08042026","0","","KOVE","KOVE 800 X PRO 2026","Barcelona","Cataluña","799"
"08042026","0","","ZONTES","125E","Asturias","Principado de Asturias","125"
"08042026","0","","HARLEY-DAVIDSON","STREET BOB","Madrid","Comunidad de Madrid","1923"
"08042026","0","","HERO MOTOCORP","X PULSE 200 4V","Cádiz","Andalucía","200"
"08042026","0","","HONDA","SH125i","Gipuzkoa","País Vasco","125"
"08042026","0","","ZONTES","ZT125-U1","Sevilla","Andalucía","125"
"08042026","0","","ZONTES","703RR","Alicante/Alacant","Comunidad Valenciana","699"
"08042026","0","","PIAGGIO","MEDLEY 125","Córdoba","Andalucía","125"
"08042026","0","","HONDA","PCX125","Madrid","Comunidad de Madrid","125"
"08042026","0","","VOGE","DS800X RALLY","Madrid","Comunidad de Madrid","798"
"08042026","0","","TRIUMPH","TIGER SPORT 800","Lleida","Cataluña","798"
"08042026","0","","RIEJU","RALLY 307","Albacete","Castilla-La Mancha","292"
"08042026","0","","KYMCO","PEOPLE S 125 E5+","Barcelona","Cataluña","125"
"08042026","0","","TRS","TR1 300","León","Castilla y León","294"
"08042026","0","","YAMAHA","NMAX 125","Barcelona","Cataluña","125"
"08042026","0","","SYM","SYMPHONY 125","Alicante/Alacant","Comunidad Valenciana","125"
"08042026","0","","HONDA","CBR 650 R","Barcelona","Cataluña","649"
"08042026","0","","HONDA","PCX125","Salamanca","Castilla y León","125"
"08042026","0","","KYMCO","PEOPLE S 125 E5+","Barcelona","Cataluña","125"
"08042026","0","","ZONTES","125E","Coruña (A)","Galicia","125"
"08042026","0","","YAMAHA","MT-125","Barcelona","Cataluña","125"
"08042026","0","","HONDA","NT1100","Barcelona","Cataluña","1084"
"08042026","0","","KTM","KTM 125 DUKE","Madrid","Comunidad de Madrid","125"
"08042026","0","","VOGE","625DSX","Illes Balears","Illes Balears","581"
"08042026","0","","HONDA","SH350i","Gipuzkoa","País Vasco","330"
"08042026","0","","YAMAHA","XMAX 300","Sevilla","Andalucía","292"
"08042026","0","","HONDA","ADV 350","Valencia/València","Comunidad Valenciana","330"
"08042026","0","","VOGE","SR1","Granada","Andalucía","125"
"08042026","0","","KAWASAKI","NINJA ZX-10R","Tarragona","Cataluña","998"
"08042026","0","","ZONTES","368G","Barcelona","Cataluña","368"
"08042026","0","","KYMCO","DTX","Santa Cruz de Tenerife","Canarias","321"
"08042026","0","","HONDA","VISION 110","Murcia","Región de Murcia","109"
"08042026","0","","HONDA","ADV 350","Cuenca","Castilla-La Mancha","330"
"08042026","0","","KAWASAKI","NINJA ZX-6R","Barcelona","Cataluña","636"
"08042026","0","","KAWASAKI","Z650","Barcelona","Cataluña","649"
"08042026","0","","BETA","N/A","Granada","Andalucía","125"
"08042026","0","","VOGE","DS900X","Barcelona","Cataluña","895"
"08042026","0","","ZONTES","368E","Barcelona","Cataluña","368"
"08042026","0","","HONDA","FORZA125","Valladolid","Castilla y León","125"
"08042026","0","","HONDA","GB350S","Pontevedra","Galicia","348"
"08042026","0","","HONDA","VISION 110","Barcelona","Cataluña","109"
"08042026","0","","BAJAJ","PULSAR NS 125","Cáceres","Extremadura","124"
"08042026","0","","HONDA","PCX125","Zaragoza","Aragón","125"
"08042026","0","","YAMAHA","MT-07","Barcelona","Cataluña","689"
"08042026","0","","SYM","JET 14","Barcelona","Cataluña","125"
"08042026","0","","MORBIDELLI","T502X","Huelva","Andalucía","486"
"08042026","0","","SUZUKI","V-Strom 800","Alicante/Alacant","Comunidad Valenciana","776"
"08042026","0","","HONDA","CRF1100L Africa Twin","Barcelona","Cataluña","1084"
"08042026","0","","HONDA","Z125MA","Pontevedra","Galicia","124"
