MARCA_ITV,COUNT
"AJP",3
"ALPINA DI RENANIA",1
"ANDES",5
"APRILIA",366
"ARIIC",2
"ATAC",1
"BAJAJ",89
"BENDA",117
"BENELLI",88
"BETA",78
"BMW",1004
"BRIXTON",16
"BSA",23
"BULTACO",1
"CFMOTO",374
"CYCLONE",148
"DAYANG",1
"DUCATI",199
"EFUN",39
"F.B MONDIAL",1
"FANTIC MOTOR",18
"GASGAS",15
"HANWAY",1
"HARLEY-DAVIDSON",77
"HERO MOTOCORP",27
"HONDA",4422
"HUSQVARNA",72
"HYOSUNG",1
"INDIAN",25
"ITALJET",27
"KAWASAKI",876
"KEEWAY",312
"KOVE",382
"KTM",358
"KYMCO",1107
"LAMBRETTA",21
"LEONART",13
"LETBE",82
"LINHAI",22
"MACBOR",190
"MALAGUTI",14
"MALCOR IBERICA",4
"MBP",1
"MH MOTORCYCLES",146
"MITT",232
"MONDIAL",1
"MONTESA",7
"MORBIDELLI",144
"MOTO GUZZI",40
"MOTO MORINI",120
"MOTRON MOTORRAD",4
"MTR BIKES",1
"MUTT",1
"MV AGUSTA",7
"NEXT",45
"ORCAL",1
"PEUGEOT",283
"PIAGGIO",647
"QJMOTOR",684
"REDMOTO",5
"RIEJU",799
"ROYAL ALLOY",1
"ROYAL ENFIELD",117
"SCORPA",5
"SENKE",1
"SHERCO",49
"SUZUKI",260
"SWM",5
"SYM",1141
"TM MOTO",1
"TNT MOTOR",1
"TRIUMPH",301
"TRS",10
"UM",9
"VENT S.R.L.",5
"VERTIGO MOTORS",2
"VOGE",1988
"WOTTAN",40
"YAMAHA",3498
"ZNEN",9
"ZONTES",2121
