MARCA_ITV,COUNT
"AJP",22
"APRILIA",296
"ARIIC",4
"BAJAJ",99
"BENDA",96
"BENELLI",85
"BETA",83
"BMW",1027
"BRIXTON",4
"BSA",3
"CFMOTO",172
"CYCLONE",125
"DUCATI",182
"EFUN",41
"F.B MONDIAL",4
"FANTIC MOTOR",19
"GAS GAS",1
"GASGAS",18
"HARLEY-DAVIDSON",65
"HERO",23
"HERO MOTOCORP",6
"HONDA",5100
"HUSQVARNA",81
"INDIAN MOTORCYCLE",34
"ITALJET",7
"KAWASAKI",842
"KEEWAY",264
"KOVE",100
"KTM",384
"KYMCO",1386
"LAMBRETTA",31
"LEONART",17
"LETBE",56
"LINHAI",6
"MACBOR",255
"MALCOR IBERICA",2
"MBP",10
"MH MOTORCYCLES",144
"MITT",226
"MONDIAL",14
"MONTESA",7
"MORBIDELLI",139
"MOTO GUZZI",43
"MOTO MORINI",10
"MOTRON MOTORRAD",1
"MTR BIKES",4
"MV AGUSTA",15
"NEXT",29
"ORCAL",1
"PEUGEOT",142
"PIAGGIO",646
"QJMOTOR",762
"REDMOTO",16
"RIEJU",252
"ROYAL ALLOY",4
"ROYAL ENFIELD",140
"SCORPA",1
"SHERCO",45
"SUZUKI",197
"SWM",13
"SYM",1415
"TM MOTO",1
"TRIUMPH",302
"TRS",1
"UM",12
"VENT S.R.L.",1
"VESPA",1
"VOGE",1918
"WOTTAN",68
"WOTTAN MOTOR",34
"YAMAHA",3606
"ZNEN",2
"ZONTES",2212
