MARCA_ITV,COUNT
"AEON",4
"ALPINA",1
"APRILIA",98
"BENELLI",20
"BETA",19
"BMW",877
"DAELIM",235
"DERBI",35
"DUCATI",164
"GAS-GAS",17
"GENERIC",23
"GOES",1
"GUZZI",44
"HANWAY",107
"HARLEY DAVIDSON",193
"HM",1
"HONDA",2608
"HUSQVARNA-CAGIVA",14
"HYOSUNG",23
"JTG",5
"KAWASAKI",650
"KEEWAY",412
"KENROD",14
"KTM",127
"KYMCO",2517
"LAMBRETTA",2
"LEONART",4
"LIFAN",11
"LML",60
"MASH",76
"MBK",4
"MONKEY BIKES",6
"MONTESA",3
"MOTOR HISPANIA",1
"MOTRAC",5
"MTR",2
"MV AGUSTA",16
"NO STOCK BIKES",1
"OSSA",1
"PEUGEOT",426
"PGO",1
"PIAGGIO",1725
"PIONEER",2
"RIDE",62
"RIEJU",136
"RIYA",66
"ROYAL ENFIELD",26
"S.Y.M",943
"SAMADA",1
"SANYOU",13
"SCOMADI",34
"SHERCO",18
"SKY TEAM",1
"SUMCO",7
"SUZUKI",932
"TGB",28
"TNT MOTOR",1
"TRIUMPH",198
"TURBHO",1
"WILDLANDER",2
"YAMAHA",2192
"YIBEN",1
"YIYING",11
"ZNEN",6
