FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,POTENCIA_ITV,NUM_PLAZAS,LOCALIDAD_VEHICULO,COD_PROVINCIA_VEH,COD_PROVINCIA_MAT,FEC_TRAMITE,CODIGO_POSTAL,PERSONA_FISICA_JURIDICA,CODIGO_ITV,SERVICIO,COD_MUNICIPIO_INE_VEH,MUNICIPIO,KW_ITV,TIPO_CARNET,TIPO_ITV,VARIANTE_ITV,VERSION_ITV,MASA_ORDEN_MARCHA_ITV,MASA_MAXIMA_TECNICA_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,CARROCERIA,CONSUMO_WH_KM_ITV,CLASIFICACION_REGLAMENTO_VEHICULOS_ITV,CATEGORIA_VEHICULO_ELECTRICO,AUTONOMIA_VEHICULO_ELECTRICO,MARCA_VEHICULO_BASE,FABRICANTE_VEHICULO_BASE,TIPO_VEHICULO_BASE,VARIANTE_VEHICULO_BASE,VERSION_VEHICULO_BASE
"18092025","0","","FELQ","FW03","0","0.58","2","BRULL, EL","B","M","18092025","08559","D","","B00","08026","EL BRULL","3.00","A1","","000","00","67","252","L3e","ND","52","0400","BEV","010400","","","","",""
"18092025","0","","E-ZI","GOCCIA GEV3000","0","0.58","2","TOLEDO","TO","TO","18092025","45007","D","","B00","45168","TOLEDO","3.00","A1","","00","00","83","278","L3e","ND","35","0400","BEV","009000","","","","",""
"18092025","0","","ULTRAVIOLETTE AUTOMOTIVE PRIVA","F77 SUPERSTREET RECON","0","1.84","2","MÁLAGA","MA","M","18092025","29002","X","","B00","29067","MALAGA","9.50","A1","","2","1","137","360","L3e","","86","0400","BEV","014300","","","","",""
"18092025","0","","VELCA","CALIMA S","0","0.99","2","SEVILLA","SE","SE","18092025","41015","D","","B00","41091","SEVILLA","5.15","A1","","1","6","84","256","L3e","","36","0400","BEV","008600","","","","",""
"18092025","0","","ULTRAVIOLETTE AUTOMOTIVE PRIVA","F77 SUPERSTREET RECON","0","1.84","2","MÁLAGA","MA","M","18092025","29002","X","","B00","29067","MALAGA","9.50","A1","","2","1","137","360","L3e","","86","0400","BEV","014300","","","","",""
"18092025","0","","VELCA","CALIMA S","0","0.99","2","SON SUNYER (ARENAL)","IB","IB","18092025","07600","D","","B00","07040","PALMA","5.15","A1","","1","6","84","256","L3e","","36","0400","BEV","008600","","","","",""
"18092025","0","","VELCA","CALIMA S","0","0.99","2","MONÓVER/MONÓVAR","A","MU","18092025","03640","D","","B00","03089","MONOVAR","5.15","A1","","1","6","84","256","L3e","","36","0400","BEV","008600","","","","",""
"18092025","0","","SILENCE","S01","0","1.35","2","BARCELONA","B","B","18092025","08035","D","","B00","08019","BARCELONA","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"18092025","0","","BMW","CE 02","0","1.16","2","NAVAJAS","CS","V","18092025","12470","D","","B00","12081","NAVAJAS","6.00","A1","","0C71","A","105","312","L3e","","60","0400","BEV","009500","","","","",""
"18092025","0","","VELCA","CALIMA S","0","0.99","2","FORTALENY","V","M","18092025","46418","D","","B00","46125","FORTALENY","5.15","A1","","1","6","84","256","L3e","","36","0400","BEV","008600","","","","",""
"18092025","0","","ULTRAVIOLETTE AUTOMOTIVE PRIVA","F77 MACH 2 RECON","0","1.84","2","MÁLAGA","MA","M","18092025","29002","X","","B00","29067","MALAGA","9.50","A1","","1","1","137","360","L3e","","86","0400","BEV","014300","","","","",""
"18092025","0","","ZERO MOTORCYCLES","ZERO MOTORCYCLE XE","0","1.16","1","IGUALADA","B","B","18092025","08700","X","","B00","08102","IGUALADA","6.00","A1","","0","1","82","215","L3e","ND","110","0400","BEV","011000","","","","",""
"18092025","0","","ARENA","VORTEX","0","0.77","2","ALICANTE/ALACANT","A","A","18092025","03011","D","","B00","03014","ALICANTE","4.00","A1","","2","0","108","300","L3e","","46","0400","BEV","011300","","","","",""
"18092025","0","","SILENCE","S01","0","1.35","2","BARCELONA","B","B","18092025","08016","D","","B00","08019","BARCELONA","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"18092025","0","","SILENCE","S01+","0","1.45","2","VITORIA-GASTEIZ","VI","LO","18092025","01010","D","","B00","01059","VITORIA GASTEIZ","7.50","A1","","7","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"18092025","0","","SILENCE","S01","0","1.35","2","PALMA","IB","IB","18092025","07011","D","","B00","07040","PALMA","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"18092025","0","","SILENCE","S01","0","1.35","2","SEVILLA","SE","SE","18092025","41009","D","","B00","41091","SEVILLA","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
