MARCA_ITV,COUNT
"ADLYMOTO",1
"AJP",7
"APRILIA",58
"BENELLI",293
"BETA",50
"BMW",1067
"BRIXTON",49
"CF MOTO",4
"DAELIM",97
"DUCATI",311
"EFUN",10
"GASGAS",23
"GOES",72
"HANWAY",34
"HARLEY-DAVIDSON",138
"HONDA",3003
"HUSQVARNA",158
"HYOSUNG",20
"INDIAN",31
"KANDI MX",2
"KAWASAKI",821
"KEEWAY",238
"KSR MOTO",30
"KTM",532
"KYMCO",1467
"LAMBRETTA",13
"LEONART",9
"LEXMOTO",3
"MACBOR",161
"MALAGUTI",3
"MALCOR",3
"MASH",27
"MH MOTORCYCLES",34
"MONDIAL",47
"MONKEY BIKES",5
"MONTESA",18
"MOTO GUZZI",57
"MOTO SPA",1
"MV AGUSTA",5
"ORCAL",5
"PEUGEOT",238
"PIAGGIO",1100
"PIONEER",2
"RIEJU",68
"RIYA",19
"ROYAL ENFIELD",91
"SANBEN",2
"SCOMADI",7
"SCORPA",1
"SHERCO",41
"SIN MARCA",2
"SKY TEAM",7
"SUMCO",24
"SUZUKI",590
"SWM",24
"SYM",720
"TIANDA",5
"TM RACING",1
"TRIUMPH",218
"TRS",21
"UM",36
"VERTIGO MOTORS",17
"WOTTAN",125
"YAMAHA",2173
"ZONTES",45
