MARCA_ITV,COUNT
"APRILIA",25
"BENELLI",181
"BETA",87
"BMW",658
"BRIXTON",32
"CC",1
"CF MOTO",3
"DAELIM",88
"DERBI",1
"DUCATI",125
"GASGAS",92
"GENERIC",1
"GOES",30
"HANGLONG",1
"HANWAY",37
"HARLEY-DAVIDSON",173
"HM",24
"HONDA",2020
"HUSQVARNA",175
"HYOSUNG",7
"INDIAN",14
"KAWASAKI",582
"KEEWAY",140
"KENROD",1
"KSR MOTO",20
"KTM",473
"KYMCO",1001
"LEONART",3
"LINTEX",2
"LML",2
"MACBOR",94
"MASH",25
"MH MOTORCYCLES",14
"MONDIAL",40
"MONSTERPRO",3
"MONTESA",33
"MOTO GUZZI",17
"MOTO SPA",3
"MV AGUSTA",9
"MX",3
"ORCAL",2
"PEUGEOT",180
"PIAGGIO",656
"PIONEER",3
"RIDE",2
"RIEJU",42
"RIYA",22
"ROYAL ENFIELD",63
"SCOMADI",23
"SHERCO",41
"SKY TEAM",1
"SUMCO",12
"SUZUKI",387
"SWM",4
"SYM",415
"TGB",5
"TIANDA",1
"TRIUMPH",119
"TRS",16
"UM",15
"VERTIGO MOTORS",3
"WOTTAN",73
"YAM",1
"YAMAHA",1660
"ZNEN",1
