FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV
"08052026","0","","HONDA","SH125i","Málaga","Andalucía","125"
"08052026","0","","HONDA","ADV 350","Granada","Andalucía","330"
"08052026","0","","KAWASAKI","Z500","Murcia","Región de Murcia","451"
"08052026","0","","CFMOTO","675NK","Barcelona","Cataluña","674"
"08052026","0","","HONDA","PCX125","Murcia","Región de Murcia","125"
"08052026","0","","BMW","F 900 R","Córdoba","Andalucía","895"
"08052026","0","","KAWASAKI","KLE500","Zaragoza","Aragón","451"
"08052026","0","","KYMCO","DTX","Tarragona","Cataluña","124"
"08052026","0","","YAMAHA","NMAX 125","Almería","Andalucía","125"
"08052026","0","","MOTO GUZZI","V9 BOBBER","Cádiz","Andalucía","853"
"08052026","0","","KAWASAKI","VERSYS 1100","Guadalajara","Castilla-La Mancha","1099"
"08052026","0","","HONDA","FORZA 750","Barcelona","Cataluña","745"
"08052026","0","","MORBIDELLI","SC300","Barcelona","Cataluña","278"
"08052026","0","","VOGE","DS800X RALLY","Barcelona","Cataluña","798"
"08052026","0","","ZONTES","125E","Madrid","Comunidad de Madrid","125"
"08052026","0","","BMW","R 1300 GS","Cantabria","Cantabria","1300"
"08052026","0","","BMW","F 800 GS","Madrid","Comunidad de Madrid","895"
"08052026","0","","QJMOTOR","SRV 125 E5+","Santa Cruz de Tenerife","Canarias","125"
"08052026","0","","HONDA","ADV 350","Barcelona","Cataluña","330"
"08052026","0","","KOVE","KOVE 800 X GT","Madrid","Comunidad de Madrid","799"
"08052026","0","","SYM","SYMPHONY 125","Barcelona","Cataluña","125"
"08052026","0","","APRILIA","SR GT 125","Alicante/Alacant","Comunidad Valenciana","125"
"08052026","0","","ZONTES","368G","Málaga","Andalucía","368"
"08052026","0","","BMW","R 1300 GS","Pontevedra","Galicia","1300"
"08052026","0","","KYMCO","DTX","Cantabria","Cantabria","124"
"08052026","0","","SYM","SYMPHONY 125","Gipuzkoa","País Vasco","125"
"08052026","0","","HONDA","GB350S","Málaga","Andalucía","348"
"08052026","0","","QJMOTOR","SRV 125 E5+","Córdoba","Andalucía","125"
"08052026","0","","HONDA","FORZA125","Alicante/Alacant","Comunidad Valenciana","125"
"08052026","0","","SYM","SYMPHONY 125","Barcelona","Cataluña","125"
"08052026","0","","HONDA","Rebel 500","León","Castilla y León","471"
"08052026","0","","VOGE","625DSX","Pontevedra","Galicia","581"
"08052026","0","","YAMAHA","NMAX 125","Illes Balears","Illes Balears","125"
"08052026","0","","YAMAHA","NMAX 125","Rioja (La)","La Rioja","125"
"08052026","0","","KYMCO","DTX","Illes Balears","Illes Balears","321"
"08052026","0","","YAMAHA","XMAX 300","Madrid","Comunidad de Madrid","292"
"08052026","0","","YAMAHA","TRACER 700","Sevilla","Andalucía","689"
"08052026","0","","VOGE","R125","Cuenca","Castilla-La Mancha","125"
"08052026","0","","YAMAHA","NMAX 125","Barcelona","Cataluña","125"
"08052026","0","","QJMOTOR","ATR 125 E5+","Málaga","Andalucía","125"
"08052026","0","","HONDA","SH125i","Girona","Cataluña","125"
"08052026","0","","PIAGGIO","VESPA GTS","Illes Balears","Illes Balears","310"
"08052026","0","","MOTO MORINI","X-CAPE 1200","Navarra","Comunidad Foral de Navarra","1187"
"08052026","0","","ZONTES","368K","Barcelona","Cataluña","368"
