MARCA_ITV,COUNT
"AJP",210
"ALPINA DI RENANIA",17
"APRILIA",4282
"ARIIC",396
"BAJAJ",51
"BENDA",129
"BENELLI",2606
"BETA",831
"BIMOTA",2
"BLUROC MOTORC.",2
"BMW",12649
"BRIXTON",335
"BSA",65
"BULLIT",1
"BULTACO",3
"CFMOTO",1983
"CYCLONE",92
"DAELIM",75
"DAYANG",1
"DUCATI",2085
"EFUN",90
"F.B MONDIAL",22
"FANTIC MOTOR",545
"FENDT",1
"GASGAS",1117
"GOES",4
"GREASY BOBBER (GB)",1
"GUZZI",1
"HANWAY",138
"HARLEY-DAVIDSON",1099
"HONDA",48104
"HUSQVARNA",2603
"HYOSUNG",143
"INDIAN",339
"ITALJET",33
"JONWAY",1
"JUNAK",1
"KAWASAKI",8681
"KEEWAY",3290
"KENROD",1
"KL",66
"KOVE",512
"KTM",7796
"KYMCO",13529
"LAMBRETTA",225
"LEONART",97
"LETBE",3
"LINHAI",258
"MACBOR",1602
"MALAGUTI",62
"MALCOR IBERICA",46
"MASH",9
"MBP",303
"MH MOTORCYCLES",1292
"MITT",2184
"MONDIAL",125
"MONKEY BIKES",58
"MONTESA",75
"MORBIDELLI",40
"MOTO GUZZI",820
"MOTO GUZZI HISPANIA",1
"MOTO MORINI",405
"MOTORBIKE",5
"MOTRON MOTORRAD",208
"MTR BIKES",40
"MUTT",101
"MV AGUSTA",146
"NO STOCK BIKES",3
"ORCAL",109
"PEUGEOT",2735
"PIAGGIO",11492
"QJMOTOR",3504
"REDMOTO",109
"RIEJU",1300
"RIYA",17
"ROYAL ALLOY",31
"ROYAL ENFIELD",1645
"SCORPA",7
"SHERCO",743
"SIN MARCA",1
"SUMCO",13
"SUZUKI",3905
"SWM",122
"SYM",11316
"TM RACING",16
"TRIUMPH",3847
"TRS",356
"UM",612
"URAL",2
"VENT",2
"VENT S.R.L.",19
"VENT SRL",1
"VERTIGO MOTORS",98
"VOGE",9302
"WOTTAN",1503
"YAMAHA",33237
"ZONGSHEN",2
"ZONTES",8369
