FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV
"21072026","0","","ZONTES","ZT125-G1","Jaén","Andalucía","125"
"21072026","0","","HONDA","XL750 Transalp","Asturias","Principado de Asturias","755"
"21072026","0","","HONDA","PCX 125","Madrid","Comunidad de Madrid","125"
"21072026","0","","YAMAHA","MT-09","Palmas (Las)","Canarias","890"
"21072026","0","","ZONTES","125X","Valencia/València","Comunidad Valenciana","125"
"21072026","0","","HONDA","SH Mode 125","Barcelona","Cataluña","125"
"21072026","0","","YAMAHA","NMAX 125","Badajoz","Extremadura","125"
"21072026","0","","SYM","ADX 300 TCS","Álava/Araba","País Vasco","278"
"21072026","0","","KEEWAY","ICON 125 S","Almería","Andalucía","124"
"21072026","0","","VOGE","R125S","Madrid","Comunidad de Madrid","125"
"21072026","0","","YAMAHA","XMAX 125","Madrid","Comunidad de Madrid","125"
"21072026","0","","VOGE","DS900X","Asturias","Principado de Asturias","895"
"21072026","0","","ZONTES","125X","Asturias","Principado de Asturias","125"
"21072026","0","","SYM","SYMPHONY 125","Girona","Cataluña","125"
"21072026","0","","KYMCO","SUPER DINK GT 125 E5+","Málaga","Andalucía","124"
"21072026","0","","ZONTES","125X","Navarra","Comunidad Foral de Navarra","125"
"21072026","0","","HONDA","ADV 750","Madrid","Comunidad de Madrid","745"
"21072026","0","","SYM","ADX 300 TCS","Córdoba","Andalucía","278"
"21072026","0","","SYM","JET 14","Illes Balears","Illes Balears","125"
"21072026","0","","ZONTES","125X","Alicante/Alacant","Comunidad Valenciana","125"
"21072026","0","","VOGE","DS800X RALLY","Granada","Andalucía","798"
"21072026","0","","SWM","RS300R","Santa Cruz de Tenerife","Canarias","298"
"21072026","0","","SYM","SYMPHONY 125","Barcelona","Cataluña","125"
"21072026","0","","YAMAHA","XMAX 300","Gipuzkoa","País Vasco","292"
"21072026","0","","CYCLONE","RX2","Zaragoza","Aragón","124"
"21072026","0","","ZONTES","368G","Barcelona","Cataluña","368"
"21072026","0","","CFMOTO","DUAL250","Badajoz","Extremadura","249"
"21072026","0","","LETBE","ISLAND","Illes Balears","Illes Balears","125"
"21072026","0","","KAWASAKI","Z900","Tarragona","Cataluña","948"
"21072026","0","","SYM","SYMPHONY 125","Gipuzkoa","País Vasco","125"
"21072026","0","","KYMCO","SKYTOWN 125","Coruña (A)","Galicia","125"
"21072026","0","","HONDA","SH Mode 125","Gipuzkoa","País Vasco","125"
"21072026","0","","ZONTES","350V","Valladolid","Castilla y León","348"
"21072026","0","","SYM","JET 14","Barcelona","Cataluña","125"
"21072026","0","","VOGE","DS525X","Asturias","Principado de Asturias","494"
"21072026","0","","KAWASAKI","NINJA ZX-6R","Toledo","Castilla-La Mancha","636"
"21072026","0","","KAWASAKI","NINJA ZX-10R","León","Castilla y León","998"
"21072026","0","","HONDA","XL750 Transalp","Barcelona","Cataluña","755"
"21072026","0","","YAMAHA","YZF-R3","Asturias","Principado de Asturias","321"
"21072026","0","","BMW","R 1300 RS","Illes Balears","Illes Balears","1300"
"21072026","0","","APRILIA","SR GT 125","Palmas (Las)","Canarias","125"
"21072026","0","","PEUGEOT","KISBEE M","Illes Balears","Illes Balears","125"
"21072026","0","","HONDA","ADV 750","Málaga","Andalucía","745"
"21072026","0","","KTM","KTM 390 DUKE","Barcelona","Cataluña","399"
"21072026","0","","CFMOTO","450MT","Badajoz","Extremadura","449"
"21072026","0","","MOTO MORINI","X-CAPE 1200","Valencia/València","Comunidad Valenciana","1187"
"21072026","0","","YAMAHA","XMAX 125","Valencia/València","Comunidad Valenciana","125"
"21072026","0","","KYMCO","AGILITY S","Málaga","Andalucía","125"
"21072026","0","","HARLEY-DAVIDSON","STREET GLIDE LIMITED","Almería","Andalucía","1923"
"21072026","0","","HONDA","PCX 125","Valencia/València","Comunidad Valenciana","125"
"21072026","0","","YAMAHA","RayZR 125","Valencia/València","Comunidad Valenciana","125"
"21072026","0","","QJMOTOR","ATR 125 E5+","Cádiz","Andalucía","125"
"21072026","0","","SYM","JET 14","Tarragona","Cataluña","125"
"21072026","0","","PIAGGIO","VESPA GTV","Illes Balears","Illes Balears","310"
"21072026","0","","BMW","F 900 XR A2","Barcelona","Cataluña","895"
"21072026","0","","ZONTES","368G","Valladolid","Castilla y León","368"
"21072026","0","","SYM","SYMPHONY 125","Illes Balears","Illes Balears","125"
"21072026","0","","PIAGGIO","VESPA GTS","Bizkaia","País Vasco","310"
"21072026","0","","ZONTES","368G","Granada","Andalucía","368"
"21072026","0","","HONDA","FORZA125","Cádiz","Andalucía","125"
"21072026","0","","YAMAHA","TMAX 560","Palmas (Las)","Canarias","562"
"21072026","0","","ZONTES","125X","Barcelona","Cataluña","125"
"21072026","0","","HONDA","PCX 125","Santa Cruz de Tenerife","Canarias","125"
"21072026","0","","HONDA","NC 750 X","Madrid","Comunidad de Madrid","745"
"21072026","0","","SUZUKI","AVENIS 125","Guadalajara","Castilla-La Mancha","124"
"21072026","0","","KYMCO","AGILITY S","Alicante/Alacant","Comunidad Valenciana","125"
"21072026","0","","APRILIA","SR GT 125","Málaga","Andalucía","125"
"21072026","0","","VOGE","DS525X","Murcia","Región de Murcia","494"
"21072026","0","","APRILIA","RS 125","Tarragona","Cataluña","124"
"21072026","0","","ZONTES","125X","Cáceres","Extremadura","125"
"21072026","0","","LINHAI","BUCK ADV","Alicante/Alacant","Comunidad Valenciana","124"
"21072026","0","","YAMAHA","YZF-R9","Cádiz","Andalucía","890"
"21072026","0","","BMW","R 1300 GS","Alicante/Alacant","Comunidad Valenciana","1300"
"21072026","0","","YAMAHA","NMAX 125","Cádiz","Andalucía","125"
"21072026","0","","SYM","JET 14","Ávila","Castilla y León","125"
"21072026","0","","HONDA","CBR 650 R","Palmas (Las)","Canarias","649"
"21072026","0","","ZONTES","ZT125-GK","Málaga","Andalucía","125"
"21072026","0","","VOGE","R125S","Santa Cruz de Tenerife","Canarias","125"
"21072026","0","","KYMCO","SKYTOWN 125","Barcelona","Cataluña","125"
"21072026","0","","VOGE","DS800X RALLY","Barcelona","Cataluña","798"
"21072026","0","","YAMAHA","MT-07","Málaga","Andalucía","689"
