MARCA_ITV,COUNT
"AJP",7
"ANDES",1
"APRILIA",108
"ARIIC",15
"BAJAJ",21
"BENDA",35
"BENELLI",62
"BETA",72
"BMW",913
"BRIXTON",10
"CFMOTO",55
"CYCLONE",22
"DAELIM",1
"DUCATI",130
"EFUN",9
"F.B MONDIAL",5
"FANTIC MOTOR",30
"GASGAS",23
"GUZZI-HISPANIA",1
"HARLEY-DAVIDSON",53
"HONDA",3785
"HUSQVARNA",69
"HYOSUNG",17
"INDIAN MOTORCYCLE",31
"ITALJET",3
"KAWASAKI",601
"KEEWAY",115
"KOVE",77
"KTM",192
"KYMCO",752
"LAMBRETTA",10
"LEONART",11
"LINHAI",13
"MACBOR",122
"MALAGUTI",7
"MALCOR IBERICA",5
"MBP",18
"MH MOTORCYCLES",88
"MITT",153
"MONDIAL",17
"MONKEY BIKES",5
"MONTESA",14
"MORBIDELLI",25
"MOTO GUZZI",22
"MOTO MORINI",9
"MOTORBIKE",1
"MOTRON MOTORRAD",10
"MUTT",2
"MV AGUSTA",15
"ORCAL",5
"PEUGEOT",44
"PIAGGIO",294
"QJMOTOR",309
"REDMOTO",6
"RIEJU",103
"ROYAL ENFIELD",139
"SCORPA",1
"SHERCO",48
"SUZUKI",149
"SWM",14
"SYM",547
"TRIUMPH",249
"TRS",11
"UM",16
"VENT S.R.L.",1
"VERTIGO MOTORS",2
"VOGE",540
"VORTEX",1
"WOTTAN",103
"WOTTAN MOTOR",4
"YAMAHA",2064
"ZNEN",1
"ZONTES",1162
