MARCA_ITV,COUNT
"APRILIA",64
"BENELLI",30
"BETA",64
"BMW",1019
"DAELIM",173
"DERBI",15
"DUCATI",138
"GAS-GAS",34
"GENERIC",9
"GILERA",1
"GOES",1
"HANGLONG",1
"HANWAY",117
"HARLEY DAVIDSON",150
"HM",6
"HONDA",2355
"HUSQVARNA",131
"HYOSUNG",66
"INDIAN MOTORCYCLE",8
"KAWASAKI",696
"KEEWAY",417
"KENROD",13
"KSR MOTO",1
"KTM",541
"KYMCO",2321
"LEONART",1
"LIFAN",4
"LINTEX",2
"LML",32
"MASH",64
"MH MOTORCYCLES",17
"MONKEY BIKES",1
"MONSTERPRO",3
"MONTESA",6
"MOTO GUZZI",48
"MV AGUSTA",11
"MX",1
"ORCAL",4
"PEUGEOT",288
"PIAGGIO",1119
"PIONEER",1
"RIDE",28
"RIEJU",72
"RIYA",58
"ROYAL ENFIELD",48
"S.Y.M",933
"SANYOU",4
"SCOMADI",73
"SCORPA",3
"SHERCO",14
"SKY TEAM",5
"SUMCO",6
"SUZUKI",625
"SWM",2
"TGB",14
"TNT MOTOR",1
"TRIUMPH",185
"TRS",4
"VERTIGO MOTORS",5
"VICTORY MOTOR DIVISION",6
"YAMAHA",2065
"ZHENHUA",1
"ZNEN",4
