MARCA_ITV,COUNT
"AJP",46
"APRILIA",3381
"ARIIC",47
"BENDA",18
"BENELLI",3215
"BETA",721
"BITRI",1
"BMW",11935
"BRIXTON",771
"BULLIT",1
"CFMOTO",633
"DAELIM",115
"DAYANG",16
"DUCATI",2162
"EFUN",86
"FANTIC MOTOR",354
"FKMOTORS",40
"GAS GAS",923
"GASGAS",2
"GOES",51
"GUZZI-HISPANIA",1
"HANWAY",179
"HARLEY-DAVIDSON",1098
"HARTFORD",1
"HONDA",38159
"HUSQVARNA",1776
"HUVE",5
"HYOSUNG",366
"INDIAN",3
"INDIAN MOTORCYCLE",350
"ITALJET",58
"KAWASAKI",5404
"KEEWAY",2819
"KENROD",1
"KL",11
"KSR MOTO",1
"KSR MOTO AUSTRIA",16
"KTM",5635
"KYMCO",12061
"LAMBRETTA",226
"LEONART",206
"LINHAI",86
"MACBOR",1915
"MALAGUTI",251
"MALCOR",102
"MALCOR IBERICA",38
"MASH",77
"MH MOTORCYCLES",898
"MITT",2232
"MONDIAL",355
"MONKEY BIKES",86
"MONTESA",113
"MOTO GUZZI",644
"MOTO GUZZI HISPANIA",1
"MOTO MORINI",148
"MOTORBIKE",7
"MOTRON MOTORRAD",752
"MUTT",183
"MV",1
"MV AGUSTA",103
"MX",1
"NO STOCK BIKES",3
"ORCAL",150
"PEUGEOT",3284
"PIAGGIO",10837
"PIONEER",2
"PRUEBAS",2
"QINGQI",1
"QJMOTOR",100
"REDMOTO",70
"RIEJU",979
"RIYA",118
"ROYAL ALLOY",63
"ROYAL ENFIELD",1143
"SCORPA",24
"SHERCO",561
"SUMCO",128
"SUZUKI",2122
"SWM",89
"SYM",10845
"TGB",1
"TIANYING",19
"TM RACING",44
"TRIUMPH",2817
"TRS",239
"UM",509
"VENT S.R.L.",2
"VERTIGO MOTORS",87
"VESPA",1
"VOGE",1271
"VTA",10
"WOTTAN",2073
"YAMAHA",21189
"ZNEN",3
"ZONTES",5006
