MARCA_ITV,COUNT
"AEON",1
"APRILIA",47
"BENELLI",9
"BETA",39
"BMW",520
"DAELIM",101
"DERBI",9
"DUCATI",89
"GAS-GAS",8
"GENERIC",6
"GOES",1
"GUZZI",27
"GUZZI-HISPANIA",1
"HANWAY",54
"HARLEY DAVIDSON",132
"HONDA",1426
"HUSQVARNA-CAGIVA",86
"HYOSUNG",20
"INDIAN MOTORCYCLE",4
"JTG",1
"KAWASAKI",375
"KEEWAY",192
"KENROD",6
"KTM",240
"KYMCO",797
"LAMBRETTA",1
"LEONART",5
"LIFAN",2
"LML",28
"MASH",36
"MBK",10
"MINIMOTO",1
"MONKEY BIKES",5
"MONTESA",13
"MOTOR HISPANIA",1
"MOTRAC",2
"MV AGUSTA",17
"OSSA",1
"PEUGEOT",285
"PIAGGIO",621
"PIONEER",1
"RIDE",23
"RIEJU",68
"RIYA",32
"ROYAL ENFIELD",23
"S.Y.M",344
"SANYOU",4
"SCOMADI",15
"SHERCO",43
"SUMCO",3
"SUZUKI",364
"TGB",17
"TRIUMPH",135
"VICTORY MOTOR DIVISION",1
"YAMAHA",1287
"YIYING",5
"ZNEN",2
