MARCA_ITV,COUNT
"AEON",1
"AGM",1
"AIYUMO",1
"APRILIA",146
"BENELLI",13
"BETA",34
"BMW",966
"CF MOTO",1
"DAELIM",197
"DERBI",32
"DUCATI",135
"GASGAS",8
"GENERIC",22
"GUZZI",35
"HANGLONG",1
"HANWAY",79
"HARLEY-DAVIDSON",199
"HM",2
"HONDA",2134
"HUSQVARNA-CAGIVA",21
"HYOSUNG",20
"IMOTO",1
"JONWAY",1
"JTG",1
"KAWASAKI",546
"KEEWAY",367
"KENROD",14
"KTM",133
"KYMCO",2074
"LAMBRETTA",1
"LEONART",2
"LIFAN",11
"LML",39
"MASH",50
"MBK",6
"MINIMOTO",2
"MONKEY BIKES",9
"MONSTERPRO",2
"MONTESA",6
"MOTOR HISPANIA",7
"MOTRAC",3
"MV AGUSTA",20
"NO STOCK BIKES",1
"PEUGEOT",441
"PIAGGIO",1373
"RIDE",59
"RIEJU",103
"RIYA",42
"ROYAL ENFIELD",17
"SANYOU",20
"SCOMADI",15
"SCORPA",1
"SHERCO",17
"SUMCO",14
"SUZUKI",916
"SYM",674
"TGB",19
"TNT MOTOR",2
"TRIUMPH",162
"TURBHO",4
"WANGYE",1
"YAMAHA",2008
"YIBEN",3
"YIYING",9
"ZETHS",1
"ZHENHUA",1
"ZNEN",12
