MARCA_ITV,COUNT
"ABENDAÑO",2
"AJP",1
"APRILIA",61
"BENELLI",164
"BETA",68
"BMW",676
"BRIXTON",41
"CC",2
"CF MOTO",8
"DAELIM",47
"DAYANG",3
"DUCATI",144
"E-BROH",1
"EFUN",4
"EZNEN",1
"FANTIC MOTOR",2
"FKMOTORS",6
"GASGAS",122
"GOES",25
"GUZZI",1
"HANWAY",24
"HARLEY-DAVIDSON",38
"HMC",1
"HONDA",1507
"HUSQVARNA",126
"HYOSUNG",15
"INDIAN",25
"KANDI MX",1
"KAWASAKI",400
"KEEWAY",107
"KSR MOTO",12
"KTM",438
"KYMCO",367
"LAMBRETTA",7
"LEONART",4
"LONCIN",2
"MACBOR",179
"MALAGUTI",29
"MALCOR",15
"MASH",4
"MH MOTORCYCLES",22
"MITT",31
"MONDIAL",15
"MONTESA",14
"MOTO GUZZI",25
"MOTORBIKE",3
"MOTOVESPA",1
"MUTTI",4
"MV AGUSTA",8
"NORTON",1
"ORCAL",8
"PEUGEOT",182
"PIAGGIO",332
"PIONEER",1
"RIEJU",55
"ROYAL ENFIELD",45
"SHERCO",68
"SUMCO",8
"SUZUKI",150
"SWM",9
"SYM",420
"TIANDA",1
"TIANYING",5
"TRIUMPH",106
"TRS",36
"UM",54
"VERTIGO MOTORS",7
"VOGE",21
"WOTTAN",83
"YAMAHA",941
"ZONTES",120
