MARCA_ITV,COUNT
"AJP",8
"APRILIA",280
"ARIIC",8
"BENELLI",265
"BETA",72
"BMW",1166
"BRIXTON",43
"CFMOTO",53
"DAELIM",5
"DAYANG",1
"DUCATI",176
"EFUN",1
"FANTIC MOTOR",30
"GAS GAS",77
"GOES",1
"HANWAY",8
"HARLEY-DAVIDSON",68
"HONDA",3467
"HUSQVARNA",128
"HYOSUNG",28
"INDIAN MOTORCYCLE",31
"ITALJET",4
"KAWASAKI",412
"KEEWAY",249
"KL",2
"KSR MOTO AUSTRIA",1
"KTM",488
"KYMCO",859
"LAMBRETTA",13
"LEONART",16
"LINHAI",6
"MACBOR",114
"MALAGUTI",12
"MALCOR",1
"MALCOR IBERICA",1
"MASH",3
"MH MOTORCYCLES",68
"MITT",160
"MONDIAL",8
"MONKEY BIKES",4
"MONTESA",5
"MOTO GUZZI",78
"MOTO MORINI",27
"MOTORBIKE",2
"MOTRON MOTORRAD",42
"MUTT",14
"MV",1
"MV AGUSTA",9
"ORCAL",10
"PEUGEOT",222
"PIAGGIO",681
"QJMOTOR",47
"REDMOTO",6
"RIEJU",87
"RIYA",11
"ROYAL ALLOY",3
"ROYAL ENFIELD",85
"SCORPA",2
"SHERCO",40
"SUMCO",11
"SUZUKI",175
"SWM",10
"SYM",752
"TM RACING",6
"TRIUMPH",223
"TRS",20
"UM",45
"VERTIGO MOTORS",9
"VOGE",127
"WOTTAN",171
"YAMAHA",2109
"ZONTES",433
